Jerzy Wiktor Slezak;1939.04.12;Wilno;Klub Poselski Stronnictwa Demokratycznego;009 Białystok;M
Teresa Katarzyna Dobielińska-Eliszewska;1941.04.22;Radomsko;Klub Poselski Stronnictwa Demokratycznego;;F
Józef Gajewicz;1944.03.12;Wymysłów;Parlamentarny Klub Lewicy Demokratycznej;050 Kraków-Podgórze;M
Jarosław Marian Barańczak;1951.04.30;Wałbrzych;Obywatelski Klub Parlamentarny;107 Zielona Góra;M
Jan Antoni Rzymełka;1952.06.07;Katowice;Obywatelski Klub Parlamentarny;039 Tychy;M
Alicja Anna Bieńkowska;1934.01.24;Warszawa;Klub Niezależnych Posłów;102 Włocławek;F
Tadeusz Marchlik;1946.12.22;Chełmno;Klub Poselski Stowarzyszenia PAX;014 Chojnice;M
Zbigniew Mirosław Lech;1946.01.05;Nasławice;Obywatelski Klub Parlamentarny;103 Wrocław-Psie Pole;M
Lucjan Feliks Chojecki;1946.12.04;Topola Wielka;Parlamentarny Klub Lewicy Demokratycznej;026 Choszczno;M
Józef Sałata;1934.03.07;Skarszewek woj. kaliskie;Obywatelski Klub Parlamentarny;029 Kalisz;M
Stefan Wincenty Gębicki;1938.06.09;Piotrków Trybunalski;Klub Niezależnych Posłów;046 Koszalin;M
Andrzej Bondarewski;1938.02.21;Warszawa;Klub Poselski Stronnictwa Demokratycznego;073 Piotrków Trybunalski;M
Jerzy Hopfer;1946.07.26;Piła;Klub Poselski Unii Chrześcijańsko-Społecznej;025 Gorzów Wielkopolski;M
Krzysztof Bronisław Bielecki;1952.02.05;Warszawa;Klub Poselski Unii Chrześcijańsko-Społecznej;004 Warszawa-Wola;M
Janusz Henryk Rożek;1921.12.18;Lublin;Klub Poselski Polskiego Stronnictwa Ludowego;058 Lubartów;M
Tadeusz Kowalczyk;1933.01.05;Bieliny;Obywatelski Klub Parlamentarny;044 Pińczów;M
Jan Władysław Sroczyński;1921.07.26;Grzymiszew woj. konińskie;Poselski Klub Pracy;037 Gliwice;M
