Piotr Nowina-Konopka;1949-05-27;Chorzów;Klub Parlamentarny Unii Wolności;37 Radom;;M
Wojciech Szczęsny Zarzycki;1942-06-26;Warszawa;Klub Parlamentarny Polskiego Stronnictwa Ludowego;40 Sieradz;;M
Andrzej Bajołek;1945-11-20;Kraków;Klub Parlamentarny Polskiego Stronnictwa Ludowego;21 Kraków;;M
Czesław Pogoda;1952-08-24;Lądek Zdrój;Sojusz Lewicy Demokratycznej Klub Parlamentarny;48 Wałbrzych;;M
Paweł Saar;1935-04-26;Łódź;poseł niezrzeszony;27 Łódź;;M
Jolanta Banach;1958-11-11;Lębork;Sojusz Lewicy Demokratycznej Klub Parlamentarny;11 Gdańsk;;F
Jadwiga Błoch;1957-03-28;Lubań Śląski;Sojusz Lewicy Demokratycznej Klub Parlamentarny;52 Zielona Góra;;F
Marcin Zawiła;1958-05-06;Jelenia Góra;Klub Parlamentarny Unii Wolności;13 Jelenia Góra;;M
Lubomir Gliniecki;1957-03-20;Barciany;Sojusz Lewicy Demokratycznej Klub Parlamentarny;23 Legnica;;M
Joanna Staręga-Piasek;1939-10-23;Warszawa;Klub Parlamentarny Unii Wolności;19 Konin;;F
Franciszek Jerzy Stefaniuk;1944-06-04;Drelów;Klub Parlamentarny Polskiego Stronnictwa Ludowego;03 Biała Podlaska;;M
Bogdan Bujak;1954-07-14;Piotrków Trybunalski;Sojusz Lewicy Demokratycznej Klub Parlamentarny;33 Piotrków Trybunalski;;M
Longin Pastusiak;1935-08-22;Łódź;Sojusz Lewicy Demokratycznej Klub Parlamentarny;11 Gdańsk;;M
Janusz Wierzbicki;1947-04-12;Jabłonna Lacka;Klub Parlamentarny Polskiego Stronnictwa Ludowego;39 Siedlce;;M
Krzysztof Popenda;1958-03-08;Dobrodzień;Federacyjny Klub Parlamentarny na rzecz Akcji Wyborczej Solidarność;09 Częstochowa;;M
Lidia Błądek;1956-05-05;Jeżowe;Klub Parlamentarny Unii Wolności;45 Tarnobrzeg;;F
Lesław Podkański;1956-02-11;Tarnawa Mała woj. zamojskie;Klub Parlamentarny Polskiego Stronnictwa Ludowego;51 Zamość;;M
Leszek Bugaj;1947-03-05;Opole Lubelskie;Klub Parlamentarny Polskiego Stronnictwa Ludowego;18 Kielce;;M
Jan Komornicki;1943-03-13;Iwonicz;Klub Parlamentarny Polskiego Stronnictwa Ludowego;29 Olsztyn;;M
Zdobysław Milewski;1956-08-25;Tarnów;Koło Konserwatywno-Ludowe;28 Nowy Sącz;;M
Jerzy Szteliga;1953-05-09;Zebrzydowice-Kalwaria Zebrzyd.;Sojusz Lewicy Demokratycznej Klub Parlamentarny;30 Opole;;M
Izabella Sierakowska;1946-09-22;Góra Śląska;Sojusz Lewicy Demokratycznej Klub Parlamentarny;25 Lublin;;F
Sławomir Marczewski;1950-01-01;Skarżysko-Kamienna;Sojusz Lewicy Demokratycznej Klub Parlamentarny;18 Kielce;;M
Zbigniew Bujak;1954-11-29;Łopuszno;Unia Pracy Klub Parlamentarny;16 Katowice;;M
Jan Byra;1958-05-27;Józefów;Sojusz Lewicy Demokratycznej Klub Parlamentarny;51 Zamość;;M
Krzysztof Dołowy;1949-12-15;Warszawa;Klub Parlamentarny Unii Wolności;01 Warszawa;;M
Sergiusz Karpiński;1952-06-12;Katowice;Unia Pracy Klub Parlamentarny;16 Katowice;;M
Tadeusz Syryjczyk;1948-02-09;Kraków;Klub Parlamentarny Unii Wolności;21 Kraków;;M
Małgorzata Winiarczyk-Kossakowska;1961-06-06;Staszów woj. tarnobrzeskie;Sojusz Lewicy Demokratycznej Klub Parlamentarny;10 Elbląg;;F
Władysław Medwid;1945-04-06;Wiktorówka;Klub Parlamentarny Polskiego Stronnictwa Ludowego;30 Opole;;M
Jan Kowalik;1948-02-13;Wronów;Klub Parlamentarny Polskiego Stronnictwa Ludowego;51 Zamość;;M
Alojzy Gąsiorczyk;1945-05-12;Kosztowy;Klub Parlamentarny Polskiego Stronnictwa Ludowego;16 Katowice;;M
Stanisław Żelichowski;1944-04-09;Księżostany;Klub Parlamentarny Polskiego Stronnictwa Ludowego;08 Ciechanów;;M
Wojciech Błasiak;1952-02-04;Sosnowiec;Federacyjny Klub Parlamentarny na rzecz Akcji Wyborczej Solidarność;50 Wrocław;;M
Maria Nowakowska;1954-12-02;Trzebiatów;Unia Pracy Klub Parlamentarny;44 Szczecin;;F
Waldemar Michna;1929-01-13;Śniadówka;Klub Parlamentarny Polskiego Stronnictwa Ludowego;17 Gliwice;;M
Andrzej Micewski;1926-11-03;Warszawa;poseł niezrzeszony;01 Warszawa;;M
Mirosław Pawlak;1942-04-02;Zielonki gm. Sędziszów;Klub Parlamentarny Polskiego Stronnictwa Ludowego;18 Kielce;;M
Janusz Maksymiuk;1947-01-19;Janówka;Sojusz Lewicy Demokratycznej Klub Parlamentarny;50 Wrocław;;M
Józef Mioduszewski;1937-03-19;Miodusy Stok;Klub Parlamentarny Polskiego Stronnictwa Ludowego;26 Łomża;;M
Grzegorz Gruszka;1962-09-02;Koski woj. częstochowskie;Sojusz Lewicy Demokratycznej Klub Parlamentarny;06 Bydgoszcz;;M
Maria Trzcińska-Fajfrowska;1937-08-01;Poznań;Klub Parlamentarny Unii Wolności;16 Katowice;;F
Ignacy Półćwiartek;1947-12-30;Przychojec-Leżajsk;Klub Parlamentarny Polskiego Stronnictwa Ludowego;38 Rzeszów;;M
Marian Korczak;1930-05-24;Parcelówka woj. radomskie;Klub Parlamentarny Polskiego Stronnictwa Ludowego;37 Radom;;M
Barbara Labuda;1946-04-19;Żmigród;poseł niezrzeszony;50 Wrocław;;F
Włodzimierz Puzyna;1947-07-09;Szczecin;Klub Parlamentarny Unii Wolności;44 Szczecin;;M
Zygmunt Suszczewicz;1944-06-03;Lubieniec woj. nowogródzkie;Klub Parlamentarny Polskiego Stronnictwa Ludowego;29 Olsztyn;;M
