NumerRSPO;Typ;Nazwa;Ulica;numerBudynku;numerLokalu;kodPocztowy;miejscowosc;kodterytorialnyUlica;kodterytorialnyMiejscowosc;kodterytorialnyGmina;Telefon;Faks;E-mail;stronaWww;wojewodztwo;powiat;gmina;REGON;NIP;publicznoscStatus;Kategoriauczniów;Specyfikaplacówki;Dyrektor;organProwadzący;TypOrganuProwadzącego;WojewództwoOrganuProwadzącego;PowiatOrganuProwadzącego;GminaOrganuProwadzącego;DataZałożenia;DataLikwidacji
21411;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA IM. IGNACEGO JANA PADEREWSKIEGO W KRAKOWIE;ul. Basztowa;8;;31-134;Kraków-Śródmieście;00861;0951327;1261059;124227160;124227202;osm1@poczta.onet.pl;szkolapaderewski.krakow.pl;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście - delegatura;000276593;6761114022;publiczna;Bez kategorii;brak specyfiki;WŁODZIMIERZ PABIAN;GMINA MIEJSKA KRAKÓW-MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;1950-09-01;
29428;OSM1;POZNAŃSKA OGÓLNOKSZTAŁĄCA SZKOŁA MUZYCZNA I STOPNIA NR 1 IM. HENRYKA WIENIAWSKIEGO;ul. Solna;12;;61-736;Poznań-Stare Miasto;20541;0970224;3064059;618522855;618522855;posm@op.pl;www.posm1.edu.pl;WIELKOPOLSKIE;Poznań;Poznań-Stare Miasto - delegatura;630571373;7781055300;publiczna;Bez kategorii;brak specyfiki;AGNIESZKA NOWAK;MIASTO POZNAŃ;Miasto na prawach powiatu;WIELKOPOLSKIE;Poznań;Poznań-Stare Miasto;1946-04-01;
31487;OSM1;POZNAŃSKA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. NR 2 IM. T.SZELIGOWSKIEGO;ul. Bydgoska;4;;61-127;Poznań-Nowe Miasto;02498;0969770;3064049;618774526;618774526;sekretariat@posm2.poznan.pl;www.posm2.poznan.pl;WIELKOPOLSKIE;Poznań;Poznań-Nowe Miasto - delegatura;000276469;7822165251;publiczna;Bez kategorii;brak specyfiki;JACEK FOKT;MIASTO POZNAŃ;Miasto na prawach powiatu;WIELKOPOLSKIE;Poznań;Poznań-Stare Miasto;1967-08-15;
77986;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Szosa Chełmińska;224/226;;87-100;Toruń;48367;0982724;0463011;566122410;;sekretariat@zsm.torun.pl;zsm.torun.pl;KUJAWSKO-POMORSKIE;Toruń;Toruń - gmina miejska;871679052;;publiczna;Bez kategorii;brak specyfiki;;TORUŃ-MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;KUJAWSKO-POMORSKIE;Toruń;Toruń;1990-09-01;
85575;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W BYDGOSZCZY;ul. Andrzeja Szwalbego;1;;85-080;Bydgoszcz;37527;0928363;0461011;523229718;523219794;dyrektor@szkolamuzyczna.bydgoszcz.pl;http://www.szkolamuzyczna.bydgoszcz.pl/;KUJAWSKO-POMORSKIE;Bydgoszcz;Bydgoszcz - gmina miejska;341352338;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1952-09-01;
90372;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. FELIKSA NOWOWIEJSKIEGO W GNIEŹNIE;ul. Mieszka I;20;;62-200;Gniezno;12832;0970632;3003011;614263460;;zpsm2gniezno@o2.pl;;WIELKOPOLSKIE;gnieźnieński;Gniezno - gmina miejska;634385176;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1945-04-05;
103664;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W PRZEMYŚLU;ul. Juliusza Słowackiego;91;;37-700;Przemyśl;20291;0971672;1862011;166783766;;sekretariat@muzyk.edu.pl;;PODKARPACKIE;Przemyśl;Przemyśl - gmina miejska;180037058;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1978-09-01;
109440;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA IM. CZESŁAWA NIEMENA;ul. Wiejska;29;;87-800;Włocławek;24048;0984752;0464011;542311988;542311988;sekretariat@zsmwlo.edu.pl;zsmwlo.edu.pl;KUJAWSKO-POMORSKIE;Włocławek;Włocławek - gmina miejska;341391798;8881173904;publiczna;Bez kategorii;brak specyfiki;;GMINA MIASTO WŁOCŁAWEK;Miasto na prawach powiatu;KUJAWSKO-POMORSKIE;Włocławek;Włocławek;1994-01-01;
22875;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Jana III Sobieskiego;15;;35-002;Rzeszów;20431;0974133;1863011;177482995;;sekretariat@zsm2.resman.pl;www.zsm2.rzeszow.pl;PODKARPACKIE;Rzeszów;Rzeszów - gmina miejska;691689101;8132854743;publiczna;Bez kategorii;brak specyfiki;;GMINA MIASTO RZESZÓW;Miasto na prawach powiatu;PODKARPACKIE;Rzeszów;Rzeszów;1995-04-11;
111954;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Fryderyka Szopena;32;;35-055;Rzeszów;22023;0974133;1863011;177482200;;;;PODKARPACKIE;Rzeszów;Rzeszów - gmina miejska;691688998;;publiczna;Bez kategorii;brak specyfiki;;GMINA MIASTO RZESZÓW;Miasto na prawach powiatu;PODKARPACKIE;Rzeszów;Rzeszów;1995-04-25;
38534;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;al. Niepodległości;53;;43-100;Tychy;14199;0944534;2477011;322276929;322276929;zsm@oswiata.tychy.pl;www.zsm.tychy.pl;ŚLĄSKIE;Tychy;Tychy - gmina miejska;277822919;6462371739;publiczna;Bez kategorii;brak specyfiki;;TYCHY - MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;ŚLĄSKIE;Tychy;Tychy;1996-09-01;
59838;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Wirgiliusza Grynia;17;;41-300;Dąbrowa Górnicza;51807;0939473;2465011;322620162;;sekretariat@zsmdabrowa.edu.pl;www.zsmdabrowa.edu.pl;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza - gmina miejska;277611648;6292204711;publiczna;Bez kategorii;brak specyfiki;;DĄBROWA GÓRNICZA - MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;ŚLĄSKIE;Dąbrowa Górnicza;Dąbrowa Górnicza;2001-04-25;
115470;OSM1;PRYWATNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. LEONARDA PIWONI W SZCZECINIE;ul. ks. Piotra Ściegiennego;34/35;;70-345;Szczecin;22290;0977976;3262011;914878000;;muzyczna@piwoni.pl;www.piwoni.pl;ZACHODNIOPOMORSKIE;Szczecin;Szczecin - gmina miejska;321400082;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Dariusz Dyczewski;Mateusz Piwoni;Osoba fizyczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;2001-08-08;
103935;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA W ZESPOLE SZKÓŁ  NR 74;ul. Niepołomicka;26;;04-256;Rembertów;14209;0988810;1465098;228798018;228798018;sekretariat@zs74.pl;www.zs74.szkolnastrona.pl;MAZOWIECKIE;Warszawa;Rembertów - dzielnica;015211320;9521897629;publiczna;Bez kategorii;brak specyfiki;;REMBERTÓW;Miasto na prawach powiatu;MAZOWIECKIE;Warszawa;Rembertów;2002-06-14;
114132;OSM1;PRYWATNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. INSPIRACJA W KRAKOWIE;ul. Jana i Jędrzeja Śniadeckich;12b;;31-531;Kraków-Śródmieście;22383;0951327;1261059;124230798;;sekretariat@inspiracja.edu.pl;www.inspiracja.edu.pl;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście - delegatura;122835931;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Robert Warykiewicz;INSPIRACJA SP. Z O.O.;Spółki Handlowe;MAŁOPOLSKIE;Kraków;Kraków;2003-06-02;
38738;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Kolegialna;23;;09-402;Płock;08818;0968687;1462011;242622470;242622923;osmplock@op.pl;muzycznaplock.pl;MAZOWIECKIE;Płock;Płock - gmina miejska;140201247;7742872093;publiczna;Bez kategorii;brak specyfiki;Michał Zawadzki;GMINA - MIASTO PŁOCK;Miasto na prawach powiatu;MAZOWIECKIE;Płock;Płock;2005-04-26;
