typ;numer;patrole;statki;tonaz;okrety;okrety.tonaz
ii;1;2;0;0;0;0
ii;2;2;0;0;0;0
ii;3;5;2;2348;0;0
ii;4;4;3;5133;1;1090
ii;5;2;0;0;0;0
ii;6;2;0;0;0;0
ii;7;6;1;2694;0;0
ii;8;0;0;0;0;0
ii;9;9;7;16669;1;552
ii;10;5;2;6356;0;0
ii;11;0;0;0;0;0
ii;12;2;0;0;0;0
ii;13;9;9;28056;0;0
ii;14;6;9;12344;0;0
ii;15;5;3;4532;0;0
ii;16;3;1;3378;0;0
ii;17;4;3;1825;0;0
ii;18;4;2;1500;0;0
ii;19;0;0;0;0;0
ii;20;6;13;30067;0;0
ii;21;7;5;10706;0;0
ii;22;7;6;7344;1;1475
ii;23;6;7;11179;2;1410
ii;24;9;1;961;5;571
ii;25;5;7;33209;0;0
ii;26;6;11;48645;0;0
ii;56;2;3;8860;0;0
ii;57;1;11;48053;0;0
ii;58;2;6;16148;0;0
ii;59;3;17;34130;0;0
ii;60;9;3;7561;0;0
ii;61;1;5;19668;0;0
ii;62;5;1;4581;1;1350
ii;63;0;0;0;0;0
ii;120;0;0;0;0;0
ii;121;0;0;0;0;0
ii;137;4;6;24136;0;0
ii;138;5;6;48564;0;0
ii;139;2;0;0;0;0
ii;140;3;3;12410;1;206
ii;141;4;4;6801;0;0
ii;142;3;0;0;0;0
ii;143;4;1;1409;0;0
ii;144;3;0;0;1;206
ii;145;3;0;0;0;0
ii;146;2;1;3496;0;0
ii;147;3;2;6145;0;0
ii;148;0;0;0;0;0
ii;149;0;0;0;0;0
ii;150;0;0;0;0;0
ii;151;0;0;0;0;0
ii;152;0;0;0;0;0
ix;37;1;53;200124;2;2404
ix;38;1;35;188967;0;0
ix;39;0;0;0;0;0
ix;40;2;0;0;0;0
ix;41;3;5;22815;0;0
ix;42;0;0;0;0;0
ix;43;4;21;117036;0;0
ix;44;2;8;30885;0;0
ix;64;0;0;0;0;0
ix;65;6;12;66174;0;0
ix;66;9;33;200021;0;0
ix;67;7;13;72138;0;0
ix;68;0;0;0;0;0
ix;103;1;45;237596;0;0
ix;104;0;0;0;0;0
ix;105;9;22;123924;1;1546
ix;106;0;0;0;0;0
ix;107;4;37;207375;0;0
ix;108;1;25;118722;0;0
ix;109;9;12;79969;0;0
ix;110;2;3;10149;0;0
ix;111;2;4;24176;0;0
ix;122;2;1;5911;0;0
ix;123;2;42;219924;1;683
ix;124;1;46;219862;2;5775
ix;125;7;17;82873;0;0
ix;126;6;24;111564;1;450
ix;127;0;0;0;0;0
ix;128;6;12;83639;0;0
ix;129;0;0;0;0;0
ix;130;6;21;127608;0;0
ix;131;0;0;0;0;0
ix;153;2;3;16186;0;0
ix;154;8;10;49288;0;0
ix;155;0;0;0;0;0
ix;156;5;20;97504;0;0
ix;157;2;1;6401;0;0
ix;158;2;17;101321;0;0
ix;159;5;23;119554;0;0
ix;160;5;26;156082;0;0
ix;161;6;12;60107;1;1130
ix;162;3;14;82027;0;0
ix;163;3;3;15011;0;0
ix;164;2;3;8133;0;0
ix;165;0;0;0;0;0
ix;166;2;4;7593;0;0
ix;167;2;1;5449;0;0
ix;168;4;2;6568;0;0
ix;169;0;0;0;0;0
ix;170;4;1;4663;0;0
ix;171;0;0;0;0;0
ix;172;6;26;152080;0;0
ix;173;2;0;0;0;0
ix;174;3;5;30813;0;0
ix;175;3;10;40619;0;0
ix;176;3;11;53307;0;0
ix;177;3;14;87388;0;0
ix;178;3;13;87030;0;0
ix;179;0;0;0;0;0
ix;180;2;2;13298;0;0
ix;181;4;27;138779;0;0
ix;182;0;0;0;0;0
ix;183;6;4;19260;0;0
ix;184;0;0;0;0;0
ix;185;3;9;62761;0;0
ix;186;2;3;18782;0;0
ix;187;0;0;0;0;0
ix;188;3;8;49725;1;1190
ix;189;0;0;0;0;0
ix;190;6;1;7015;1;590
ix;191;0;0;0;0;0
ix;192;0;0;0;0;0
ix;193;3;1;10172;0;0
ix;194;0;0;0;0;0
ix;195;3;2;14391;0;0
ix;196;3;3;17739;0;0
ix;197;0;0;0;0;0
ix;198;2;11;59690;0;0
ix;199;0;0;0;0;0
ix;200;0;0;0;0;0
ix;501;0;0;0;0;0
ix;502;4;14;78843;0;0
ix;503;0;0;0;0;0
ix;504;7;15;78123;0;0
ix;505;2;8;45005;0;0
ix;506;5;14;69893;0;0
ix;507;4;19;77143;0;0
ix;508;6;14;74087;0;0
ix;509;4;5;29091;0;0
ix;510;7;11;71100;0;0
ix;511;4;5;41373;0;0
ix;512;0;0;0;0;0
ix;513;4;6;29940;0;0
ix;514;4;4;16329;0;0
ix;515;7;21;131769;0;0
ix;516;6;16;89385;0;0
ix;517;2;8;26383;1;900
ix;518;7;9;55747;0;0
ix;519;2;0;0;0;0
ix;520;0;0;0;0;0
ix;521;3;3;19551;0;0
ix;522;2;7;45826;0;0
ix;523;4;1;5848;0;0
ix;524;2;2;16256;0;0
ix;525;3;1;3454;0;0
ix;526;0;0;0;0;0
ix;527;2;1;5242;1;291
ix;528;0;0;0;0;0
ix;529;0;0;0;0;0
ix;530;7;2;12063;0;0
ix;531;0;0;0;0;0
ix;532;4;8;46895;0;0
ix;533;2;0;0;0;0
ix;534;3;0;0;0;0
ix;535;0;0;0;0;0
ix;536;2;0;0;0;0
ix;537;3;0;0;0;0
ix;538;0;0;0;0;0
ix;539;3;1;1517;0;0
ix;540;0;0;0;0;0
ix;541;4;1;2140;0;0
ix;542;0;0;0;0;0
ix;543;2;0;0;0;0
ix;544;0;0;0;0;0
ix;545;0;0;0;0;0
ix;546;3;0;0;1;1200
ix;547;3;2;8371;0;0
ix;548;4;0;0;1;1445
ix;549;2;0;0;1;9393
ix;550;0;0;0;0;0
ix;801;2;0;0;0;0
ix;802;4;1;1621;0;0
ix;803;0;0;0;0;0
ix;804;2;0;0;1;1300
ix;805;0;0;0;0;0
ix;806;0;0;0;0;0
ix;841;0;0;0;0;0
ix;842;0;0;0;0;0
ix;843;3;1;8261;0;0
ix;844;0;0;0;0;0
ix;845;0;0;0;0;0
ix;846;2;0;0;0;0
ix;847;0;0;0;0;0
ix;848;0;0;0;0;0
ix;849;0;0;0;0;0
ix;850;0;0;0;0;0
ix;851;0;0;0;0;0
ix;852;0;0;0;0;0
ix;853;3;1;5353;1;430
ix;854;0;0;0;0;0
ix;855;0;0;0;0;0
ix;856;0;0;0;0;0
ix;857;3;2;15259;0;0
ix;858;2;0;0;0;0
ix;859;0;0;0;0;0
ix;860;0;0;0;0;0
ix;861;2;3;20311;0;0
ix;862;2;7;42374;0;0
ix;863;0;0;0;0;0
ix;864;0;0;0;0;0
ix;865;0;0;0;0;0
ix;866;0;0;0;0;0
ix;867;0;0;0;0;0
ix;868;2;0;0;1;672
ix;869;0;0;0;0;0
ix;870;0;0;0;0;0
ix;871;0;0;0;0;0
ix;872;0;0;0;0;0
ix;873;0;0;0;0;0
ix;874;0;0;0;0;0
ix;875;0;0;0;0;0
ix;876;0;0;0;0;0
ix;877;0;0;0;0;0
ix;878;2;0;0;0;0
ix;879;0;0;0;0;0
ix;880;0;0;0;0;0
ix;881;0;0;0;0;0
ix;883;0;0;0;0;0
ix;889;0;0;0;0;0
ix;1221;0;0;0;0;0
ix;1222;0;0;0;0;0
ix;1223;0;0;0;0;0
ix;1224;0;0;0;0;0
ix;1225;0;0;0;0;0
ix;1226;0;0;0;0;0
ix;1227;0;0;0;0;0
ix;1228;2;0;0;1;900
ix;1229;0;0;0;0;0
ix;1230;0;0;0;0;0
ix;1231;2;0;0;0;0
ix;1232;0;0;0;0;0
ix;1233;0;0;0;0;0
ix;1234;0;0;0;0;0
ix;1235;2;0;0;0;0
vii;27;0;0;0;0;0
vii;28;6;11;42252;0;0
vii;29;7;12;67277;1;22500
vii;30;8;16;86165;0;0
vii;31;7;11;27751;0;0
vii;32;9;20;116836;0;0
vii;33;3;10;19261;0;0
vii;34;7;19;91989;3;2365
vii;35;3;4;7850;0;0
vii;36;2;2;2813;0;0
vii;45;2;2;19313;0;0
vii;46;3;20;85792;0;0
vii;47;0;0;0;0;0
vii;48;2;51;306875;1;1060
vii;49;4;1;4258;0;0
vii;50;2;4;16089;0;0
vii;51;4;5;26296;0;0
vii;52;8;13;56333;0;0
vii;53;3;7;27316;0;0
vii;54;0;0;0;0;0
vii;55;0;0;0;0;0
vii;69;1;16;67500;0;0
vii;70;0;0;0;0;0
vii;71;0;0;0;0;0
vii;72;0;0;0;0;0
vii;73;5;8;43945;4;22947
vii;74;8;4;24694;1;925
vii;75;5;7;37884;2;744
vii;76;0;0;0;0;0
vii;77;1;14;31186;1;1050
vii;78;0;0;0;0;0
vii;79;6;2;2983;0;0
vii;80;0;0;0;0;0
vii;81;7;24;41784;1;22600
vii;82;3;8;51859;1;1190
