nm0556813;LeRoy Mason;18;1903;The Arizona Streak|Bride of the Desert|Texas Pioneers|Smoky|The Fighting Trooper|Rainbow Valley|Valley of Wanted Men|The Border Patrolman|Comin' 'Round the Mountain|Western Gold|Yodelin' Kid from Pine Ridge|Lure of the Wasteland|The Apache Kid|Blazing Guns|Raiders of Sunset Pass|Beneath Western Skies|The Phantom Rider|Red River Renegades|
nm0495285;Rex Lease;18;1903;The Law of the Range|Riders of the Dark|The Utah Kid|In Old Cheyenne|Cyclone of the Saddle|The Ghost Rider|Aces and Eights|Fast Bullets|Lightnin' Bill Carson|Ridin' On|Code of the Rangers|Riders of Black Mountain|Billy the Kid in Santa Fe|The Phantom Cowboy|Days of Buffalo Bill|Heroes of the Alamo|Springtime in Texas|The Lone Trail|
nm0566948;Joel McCrea;18;1905;Wells Fargo|Union Pacific|Four Faces West|Colorado Territory|South of St. Louis|Saddle Tramp|Stars in My Crown|Cattle Drive|The San Francisco Story|The Lone Hand|The Oklahoman|The Tall Stranger|Trooper Hook|Fort Massacre|The Gunfight at Dodge City|Ride the High Country|Mustang Country|The Young Rounders|
nm0267912;William Farnum;18;1876;The Spoilers|The Man from Bitter Roots|Riders of the Purple Sage|Rough and Ready|True Blue|The Last of the Duanes|The Lone Star Ranger|The Orphan|Moonshine Valley|Without Compromise|Brass Commandments|The Gunfighter|The Painted Desert|The Drifter|Between Men|The Brand of Hate|The Eagle's Brood|Public Cowboy No. 1|
nm0151420;Lane Chandler;18;1899;Open Range|Beyond the Law|Firebrand Jordan|The Lightning Express|Under Texas Skies|The Hurricane Horseman|Riders of the Rio|Trouble Busters|Sagebrush Trail|Via Pony Express|War of the Range|North of Arizona|Wild Horse Rustlers|Battling Buckaroo|Heroes of the Alamo|Lawless Valley|The Reckless Rider|The Lone Bandit|
nm0192763;Pauline Curley;18;1903;The Invisible Hand|The Veiled Mystery|Hands Off!|The Vengeance Trail|The Prairie Mystery|Cowboy Courage|Prince of the Saddle|Walloping Kid|West of the Rainbow's End|Judge Her Not|Ridin' Wild|Thunderbolt's Tracks|Twin Six O'Brien|Two Fisted Buckaroo|The Desert Secret|Code of the Range|The Laffin' Fool|Pony Express Rider|
nm0933045;Ben F. Wilson;18;1876;The Desert Hawk|The Man from Lone Mountain|Vic Dyson Pays|The Baited Trap|The Mystery Brand|The Range Riders|Riders of the West|A Yellow Streak|A Two-Fisted Sheriff|Fort Frayne|The Fugitive|Renegade Holmes, M.D.|Sand Blind|Warrior Gap|West of the Law|His Majesty the Outlaw|Notch Number One|Sheriff's Girl|
nm0001983;Rory Calhoun;18;1922;Massacre River|Sand|Return of the Frontiersman|Powder River|The Silver Whip|Four Guns to the Border|The Yellow Tomahawk|The Spoilers|Red Sundown|Domino Kid|The Hired Gun|Ride Out for Revenge|Apache Territory|The Saga of Hemp Brown|The Gun Hawk|Black Spurs|Finger on the Trigger|Young Fury|
nm0581611;John Merton;18;1901;Arizona Territory|The Gun Ranger|The Rangers Step In|Knight of the Plains|In Old Montana|Two Gun Troubador|Boot Hill Bandits|The Mysterious Rider|Devil Riders|Rustlers' Hideout|Bandits of the Badlands|The Cherokee Flash|Oregon Trail|Border Bandits|Shadows on the Range|Outlaw Country|Wild Horse Round-Up|Billy the Kid Outlawed|
nm0555005;Arturo Martínez;18;1919;Juan Charrasqueado|The Hidden One|Fugitivos: Pueblo de proscritos|Indio|La bandida|El lobo solitario|El diablo desaparece|El caudillo|Duelo indio|The Coup de Grace|El asaltacaminos|El jinete negro|La muerte en el desfiladero|Northern Courier|Pueblo de odios|El temerario|El tren de la muerte|Los chacales|
nm0568984;Wilbur McGaugh;19;1895;The Broken Spur|Devil Dog Dawson|One Eighth Apache|At Devil's Gorge|The Devil's Dooryard|The Santa Fe Trail|Bringin' Home the Bacon|California in '49|Cupid's Rustler|Days of '49|Romance of the Wasteland|Cactus Trails|Bad Man's Bluff|The Law Rustlers|Ridin' Mad|The Fugitive|Peaceful Peters|Hills of Hate|Dead or Alive|
nm0562771;Kermit Maynard;19;1897;Prince of the Plains|A Wanderer of the West|The Fighting Trooper|Code of the Mounted|His Fighting Blood|The Red Blood of Courage|Wilderness Mail|Timber War|Wildcat Trooper|Rough Riding Rhythm|Whistling Bullets|Fugitive of the Plains|Fighting Bill Carson|The Fighting Texan|Gun-Hand Garrison|Wild Horse Round-Up|Ridin' Luck|Wild Born|The Drifting Kid|
nm0516930;J.P. Lockney;19;1867;Jim Grimsby's Boy|The Gun Fighter|The Silent Man|Flare-Up Sal|The Tiger Man|The Sheriff's Son|Just Tony|Western Speed|Eyes of the Forest|Cyclone Buddy|Deuce High|Double Daring|Twisted Triggers|The Soda Water Cowboy|Flyin' Buckaroo|Double Action Daniels|Galloping Thunder|Partners Three|Born to Battle|
nm0713136;Alma Rayford;19;1903;Romance of the Wasteland|Smoking Trails|Cactus Trails|The Demon Rider|Ace of Action|The Broken Law|Cyclone Bob|Deuce High|Easy Going|Speedy Spurs|The Outlaw Breaker|Lighting Bill|The Lone Rider|Hearts o' the Range|Vanishing Hoofs|Trumpin' Trouble|Young Whirlwind|A Game Fighter|Hurricane Hal|
