urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Burmistrz Złotego Stoku;022407;2;1;52.50;0;1;0;0;0;1;022407;3;Złoty Stok;7527;75;4568;61;1770;1838;gmw;50.397464,16.755252 50.488812,16.947799;50.443138,16.8515255
Wójt Gminy Domaniów;021502;2;1;50.00;0;0;0;0;0;2;021502;2;Domaniów;9446;94;5215;55;1483;1683;gw;50.840471,17.068245 50.986807,17.232166;50.913639,17.1502055
Wójt Gminy Ciepłowody;022402;2;0;50.00;0;0;0;0;0;2;022402;2;Ciepłowody;7741;77;3059;40;1742;2179;gw;50.627409,16.821629 50.715881,17.009932;50.671645,16.9157805
Burmistrz Miasta Oława;021501;4;1;37.75;0;1;1;0;0;2;021501;1;Oława;2736;27;32883;1202;2179;165;gm;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215
Burmistrz Miasta i Gminy Bardo;022401;2;1;51.50;0;0;0;1;0;1;022401;3;Bardo;7303;73;5362;73;1806;1638;gmw;50.455572,16.673713 50.572097,16.828259;50.5138345,16.750986
Burmistrz Jelcza-Laskowic;021503;4;1;53.75;0;1;0;0;0;3;021503;3;Jelcz-Laskowice;16763;168;23269;139;536;277;gmw;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749
Prezydent Miasta Świdnicy;021901;5;1;49.60;0;1;0;0;0;4;021901;1;Świdnica;2176;22;57671;2650;2218;78;gm;50.808023,16.455370 50.873211,16.529676;50.840617,16.492523
Wójt Gminy Dobromierz;021903;2;0;58.50;0;0;0;0;0;2;021903;2;Dobromierz;8593;86;5301;62;1600;1656;gw;50.871606,16.159403 51.018401,16.307029;50.9450035,16.233216
Wójt Gminy Siekierczyn;021007;2;0;47.50;0;0;0;0;0;2;021007;2;Siekierczyn;4950;50;4540;92;2023;1846;gw;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565
Burmistrz Jaworzyny Śląskiej;021904;3;1;42.00;0;0;0;0;0;3;021904;3;Jaworzyna Śląska;6745;67;10344;153;1879;830;gmw;50.856581,16.376061 50.957777,16.497881;50.907179,16.436971
Wójt Gminy Platerówka;021006;2;1;54.00;0;0;0;0;0;2;021006;2;Platerówka;4790;48;1631;34;2037;2288;gw;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186
Wójt Gminy Marcinowice;021905;3;0;58.00;0;0;0;0;0;3;021905;2;Marcinowice;9524;95;6497;68;1468;1385;gw;50.816950,16.529100 50.939377,16.701697;50.8781635,16.6153985
Prezydent Miasta Lubina;021101;6;2;42.67;0;1;1;0;0;4;021101;1;Lubin (a);4077;41;72892;1788;2085;53;gm;51.358967,16.129634 51.439867,16.258249;51.399417,16.1939415
Burmistrz Strzegomia;021906;3;1;55.00;0;1;0;0;0;2;021906;3;Strzegom;14465;145;26102;180;738;228;gmw;50.877668,16.249156 51.029723,16.484416;50.9536955,16.366786
Wójt Gminy Rudna;021103;3;1;60.67;0;1;0;0;0;2;021103;2;Rudna;21664;217;7742;36;266;1150;gw;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445
Wójt Gminy Świdnica;021907;4;2;52.75;0;1;0;0;0;3;021907;2;Świdnica;20784;208;17131;82;300;429;gw;50.711235,16.332294 50.905245,16.605681;50.80824,16.4689875
Wójt Gminy Lubin;021102;3;0;49.00;0;0;0;0;0;3;021102;2;Lubin;28978;290;15605;54;115;489;gw;51.270587,16.004143 51.471704,16.355179;51.3711455,16.179661
Burmistrz Miasta Żarów;021908;2;0;42.50;0;0;0;0;0;2;021908;3;Żarów;8784;88;12506;142;1567;661;gmw;50.892129,16.423223 51.003248,16.630250;50.9476885,16.5267365
Burmistrz Ścinawy;021104;2;0;47.50;0;0;0;0;0;2;021104;3;Ścinawa;16443;164;10081;61;557;852;gmw;51.293699,16.308570 51.490291,16.476860;51.391995,16.392715
Burmistrz Gminy i Miasta Lubomierz;021202;3;0;48.33;1;0;0;0;0;2;021202;3;Lubomierz;13053;131;6235;48;904;1437;gmw;50.937634,15.444598 51.073485,15.650067;51.0055595,15.5473325
Burmistrz Gminy Trzebnica;022003;3;1;59.00;0;1;1;0;0;1;022003;3;Trzebnica;19996;200;24179;121;345;260;gmw;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455
Burmistrz Gminy i Miasta Gryfów Śląski;021201;2;0;61.00;0;1;0;0;0;1;021201;3;Gryfów Śląski;6667;67;9779;147;1884;888;gmw;50.967841,15.375691 51.120657,15.504046;51.044249,15.4398685
Burmistrz Obornik Śląskich;022001;2;1;52.50;0;0;0;0;0;2;022001;3;Oborniki Śląskie;15426;154;20105;130;636;336;gmw;51.196890,16.777447 51.361399,17.002819;51.2791445,16.890133
Burmistrz Gminy i Miasta Lwówek Śląski;021203;3;1;40.67;1;0;0;0;0;2;021203;3;Lwówek Śląski;23993;240;17346;72;204;419;gmw;51.044693,15.443262 51.199301,15.761442;51.121997,15.602352
Burmistrz Miasta i Gminy Prusice;022002;2;1;46.50;0;0;0;0;0;2;022002;3;Prusice;15798;158;9363;59;617;924;gmw;51.322335,16.768008 51.458039,17.059924;51.390187,16.913966
Burmistrz Miasta i Gminy Mirsk;021204;2;0;41.00;0;0;0;0;0;2;021204;3;Mirsk;18650;186;8692;47;411;1013;gmw;50.831886,15.277195 51.006058,15.526394;50.918972,15.4017945
Burmistrz Miasta i Gminy Wleń;021205;2;0;47.50;1;0;0;0;0;1;021205;3;Wleń;8606;86;4308;50;1596;1906;gmw;50.949319,15.579186 51.065156,15.765490;51.0072375,15.672338
Burmistrz Miasta Kudowa-Zdrój;020803;4;2;52.75;0;0;0;0;0;4;020803;1;Kudowa-Zdrój;3390;34;10018;296;2138;861;gm;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813
Burmistrz Miasta Duszniki-Zdrój;020801;3;0;40.00;0;0;0;0;0;3;020801;1;Duszniki-Zdrój;2228;22;4728;212;2212;1800;gm;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848
Burmistrz Miasta Kłodzka;020802;6;0;54.50;0;0;0;0;0;6;020802;1;Kłodzko;2484;25;27193;1095;2197;214;gm;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345
Burmistrz Miasta Polanica-Zdrój;020805;5;0;49.00;0;1;0;0;0;4;020805;1;Polanica-Zdrój;1722;17;6381;371;2258;1408;gm;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725
Burmistrz Miasta Nowa Ruda;020804;3;1;41.33;0;1;0;0;0;2;020804;1;Nowa Ruda;3705;37;22455;606;2113;290;gm;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743
Wójt Gminy Kłodzko;020807;3;0;51.00;0;1;0;0;0;2;020807;2;Kłodzko;25325;252;17285;68;176;421;gw;50.332201,16.521965 50.561829,16.815093;50.447015,16.668529
Burmistrz Bystrzycy Kłodzkiej;020806;3;2;53.67;0;0;0;0;1;2;020806;3;Bystrzyca Kłodzka;33853;339;19077;56;61;368;gmw;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027
Wójt Gminy Lewin Kłodzki;020809;3;1;39.33;0;0;0;0;0;3;020809;2;Lewin Kłodzki;5214;52;1940;37;2003;2276;gw;50.367444,16.237095 50.462412,16.369132;50.414928,16.3031135
Burmistrz Lądka-Zdroju;020808;5;1;51.80;0;1;0;0;0;4;020808;3;Lądek-Zdrój;11727;117;8365;71;1096;1055;gmw;50.289286,16.744505 50.409175,16.939320;50.3492305,16.8419125
Burmistrz Stronia Śląskiego;020813;4;2;49.00;0;1;0;0;0;3;020813;3;Stronie Śląskie;14608;146;7568;52;720;1184;gmw;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545
Prezydent Miasta Głogowa;020301;3;0;46.33;0;1;1;0;0;1;020301;1;Głogów;3511;35;68179;1942;2126;59;gm;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715
Wójt Gminy Nowa Ruda;020811;3;2;44.33;0;0;0;0;0;3;020811;2;Nowa Ruda;13967;140;11755;84;791;715;gw;50.496941,16.377820 50.681102,16.636725;50.5890215,16.5072725
Wójt Gminy Pęcław;020305;1;0;51.00;0;0;0;0;0;1;020305;2;Pęcław;6427;64;2284;36;1912;2263;gw;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515
Burmistrz Miasta i Gminy Międzylesie;020810;4;0;44.00;0;1;0;0;0;3;020810;3;Międzylesie;18875;189;7241;38;396;1243;gmw;50.096583,16.554391 50.245533,16.836086;50.171058,16.6952385
Wójt Gminy Jerzmanowa;020303;3;1;46.67;0;0;0;0;0;3;020303;2;Jerzmanowa;6332;63;4925;78;1921;1747;gw;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256
Burmistrz Miasta i Gminy Radków;020812;1;0;68.00;0;0;0;0;0;1;020812;3;Radków;13995;140;9089;65;786;962;gmw;50.446646,16.294716 50.579570,16.567113;50.513108,16.4309145
Wójt Gminy Kotla;020304;1;0;38.00;0;0;0;0;0;1;020304;2;Kotla;12752;128;4415;35;952;1881;gw;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805
Wójt Gminy Żukowice;020306;2;1;43.00;0;0;0;0;0;2;020306;2;Żukowice;6826;68;3467;51;1869;2107;gw;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772
Wójt Gminy Jemielno;020402;2;1;46.50;0;0;0;0;0;2;020402;2;Jemielno;12402;124;3051;25;995;2180;gw;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235
Burmistrz Góry;020401;3;2;53.33;0;1;0;0;0;2;020401;3;Góra;26611;266;20177;76;142;335;gmw;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938
Wójt Gminy Niechlów;020403;3;2;50.33;0;0;0;0;0;3;020403;2;Niechlów;15103;151;4985;33;665;1735;gw;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028
Burmistrz Wąsosza;020404;3;0;48.67;0;0;0;0;0;3;020404;3;Wąsosz;19711;197;7260;37;362;1239;gmw;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715
Wójt Gminy Podgórzyn;020608;4;0;47.75;1;0;0;0;0;3;020608;2;Podgórzyn;8251;83;8294;101;1666;1064;gw;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145
Burmistrz Szklarskiej Poręby;020604;6;2;51.00;0;0;0;0;0;6;020604;1;Szklarska Poręba;7544;75;6681;89;1766;1346;gm;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423
Burmistrz Miasta Kowary;020602;5;1;45.40;0;0;0;0;0;5;020602;1;Kowary;3739;37;11090;297;2110;767;gm;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766
Burmistrz Karpacza;020601;3;1;57.00;0;0;0;0;0;3;020601;1;Karpacz;3799;39;4711;124;2107;1806;gm;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985
Burmistrz Miasta i Gminy Bogatynia;022503;6;2;50.17;1;1;0;0;0;4;022503;3;Bogatynia;13612;136;23462;172;823;276;gmw;50.862082,14.817458 51.033658,15.021714;50.94787,14.919586
Burmistrz Miasta Piechowice;020603;7;1;51.00;1;0;0;0;0;6;020603;1;Piechowice;4322;43;6314;146;2069;1422;gm;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555
Burmistrz Miasta Zawidowa;022501;2;0;55.00;0;0;0;0;0;2;022501;1;Zawidów;607;6;4232;697;2331;1928;gm;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272
Burmistrz Miasta Zgorzelec;022502;3;2;41.33;0;1;0;0;0;2;022502;1;Zgorzelec;1588;16;30738;1936;2269;181;gm;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122
Wójt Gminy Sulików;022505;2;1;53.50;0;1;0;0;0;1;022505;2;Sulików;9451;95;6082;64;1482;1472;gw;50.990142,14.983514 51.133328,15.168249;51.061735,15.0758815
Burmistrz Miasta i Gminy Pieńsk;022504;2;0;44.50;0;0;0;0;0;2;022504;3;Pieńsk;11053;111;9179;83;1214;948;gmw;51.187013,14.965036 51.363905,15.221041;51.275459,15.0930385
Burmistrz Gminy i Miasta Węgliniec;022506;3;0;49.00;0;0;0;0;0;3;022506;3;Węgliniec;33834;338;8402;25;62;1050;gmw;51.220227,14.990542 51.464033,15.339877;51.34213,15.1652095
Wójt Gminy Zgorzelec;022507;2;0;45.00;0;0;0;0;0;2;022507;2;Zgorzelec;13715;137;8489;62;814;1039;gw;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307
Burmistrz Ziębic;022406;3;1;50.67;0;0;0;0;0;3;022406;3;Ziębice;22228;222;17242;78;252;422;gmw;50.463291,16.910828 50.700906,17.164896;50.5820985,17.037862
Wójt Gminy Stoszowice;022404;2;0;34.50;0;0;0;0;0;2;022404;2;Stoszowice;11072;112;5473;49;1210;1610;gw;50.527475,16.579423 50.667663,16.773707;50.597569,16.676565
Wójt Gminy Kamieniec Ząbkowicki;022403;2;0;47.50;0;0;0;0;0;2;022403;2;Kamieniec Ząbkowicki;9669;97;8247;85;1439;1073;gw;50.473300,16.794232 50.569000,17.026370;50.52115,16.910301
Burmistrz Ząbkowic Śląskich;022405;3;1;47.00;0;1;0;0;0;2;022405;3;Ząbkowice Śląskie;14613;146;22058;151;719;302;gmw;50.527086,16.735953 50.669553,16.932569;50.5983195,16.834261
Wójt Gminy Bolesławiec;020102;2;0;45.00;0;0;0;0;0;2;020102;2;Bolesławiec;28849;288;14391;50;116;545;gw;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468
Prezydent Miasta Bolesławiec;020101;4;0;53.00;0;1;0;0;0;3;020101;1;Bolesławiec;2357;24;39084;1658;2204;132;gm;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163
Wójt Gminy Gromadka;020103;3;1;50.00;0;0;0;0;0;3;020103;2;Gromadka;26768;268;5345;20;138;1643;gw;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655
Wójt Gminy Warta Bolesławiecka;020106;2;0;55.00;0;0;0;0;0;2;020106;2;Warta Bolesławiecka;11044;110;8665;78;1217;1017;gw;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045
Burmistrz Nowogrodźca;020104;2;1;49.00;0;0;0;0;0;2;020104;3;Nowogrodziec;17629;176;15290;87;475;498;gmw;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311
Wójt Gminy Osiecznica;020105;1;0;63.00;0;0;0;0;0;1;020105;2;Osiecznica;43704;438;7398;17;12;1216;gw;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505
Wójt Gminy Zawonia;022005;2;1;43.00;0;0;0;0;0;2;022005;2;Zawonia;11745;118;5921;50;1092;1508;gw;51.266458,17.098293 51.398270,17.340647;51.332364,17.21947
Wójt Gminy Malczyce;021802;3;2;40.33;0;0;0;0;0;3;021802;2;Malczyce;5257;53;5997;114;2001;1490;gw;51.111045,16.441842 51.231270,16.559819;51.1711575,16.5008305
Wójt Gminy Wisznia Mała;022004;4;3;44.50;0;1;0;0;0;3;022004;2;Wisznia Mała;10336;103;10198;99;1336;843;gw;51.162788,16.937513 51.287954,17.123357;51.225371,17.030435
Wójt Gminy Kostomłoty;021801;3;2;53.33;1;0;0;0;0;2;021801;2;Kostomłoty;14524;145;7178;49;729;1254;gw;50.991035,16.503659 51.122353,16.785641;51.056694,16.64465
Burmistrz Gminy Żmigród;022006;1;0;45.00;0;0;0;0;0;1;022006;3;Żmigród;29177;292;14729;50;112;523;gmw;51.401718,16.759328 51.581017,17.110274;51.4913675,16.934801
Wójt Gminy Miękinia;021803;3;1;47.67;1;0;0;0;0;2;021803;2;Miękinia;17948;179;15524;86;453;492;gw;51.092712,16.674937 51.261342,16.905080;51.177027,16.7900085
Burmistrz Mieroszowa;022106;5;1;46.60;0;0;0;0;0;5;022106;3;Mieroszów;7606;76;6935;91;1759;1292;gmw;50.627205,16.104430 50.728194,16.313916;50.6776995,16.209173
Burmistrz Środy Śląskiej;021804;4;0;49.00;0;0;0;0;0;4;021804;3;Środa Śląska;21596;216;19798;92;269;345;gmw;51.080644,16.460672 51.251417,16.713922;51.1660305,16.587297
Burmistrz Miasta Jedlina-Zdrój;022102;3;1;52.33;0;1;0;0;0;2;022102;1;Jedlina-Zdrój;1745;17;4887;280;2256;1761;gm;50.702649,16.291725 50.745722,16.387390;50.7241855,16.3395575
Wójt Gminy Udanin;021805;3;2;44.67;0;0;0;0;0;3;021805;2;Udanin;11089;111;5225;47;1205;1676;gw;50.998143,16.331656 51.117939,16.555329;51.058041,16.4434925
Burmistrz Miasta Boguszowa-Gorc;022101;4;1;47.50;0;0;0;0;0;4;022101;1;Boguszów-Gorce;2702;27;15566;576;2183;490;gm;50.719996,16.154928 50.790068,16.256081;50.755032,16.2055045
Burmistrz Gminy Milicz;021303;5;1;56.60;1;0;0;0;0;4;021303;3;Milicz;43556;436;24285;56;13;258;gmw;51.391781,16.989485 51.621610,17.572734;51.5066955,17.2811095
Wójt Gminy Czarny Bór;022104;2;0;56.00;0;0;0;0;0;2;022104;2;Czarny Bór;6640;66;4858;73;1891;1766;gw;50.702818,16.067573 50.827489,16.207135;50.7651535,16.137354
Wójt Gminy Cieszków;021301;2;0;56.00;1;0;0;0;0;1;021301;2;Cieszków;10083;101;4663;46;1378;1815;gw;51.564865,17.208318 51.647915,17.478384;51.60639,17.343351
Burmistrz Szczawna-Zdroju;022103;5;1;51.60;0;0;0;0;0;5;022103;1;Szczawno-Zdrój;1474;15;5650;383;2279;1560;gm;50.766987,16.189996 50.823479,16.280630;50.795233,16.235313
Burmistrz Miasta i Gminy Chocianów;021601;5;1;43.60;0;1;0;0;0;4;021601;3;Chocianów;22166;222;12866;58;255;636;gmw;51.326293,15.815995 51.517635,16.108570;51.421964,15.9622825
Wójt Gminy Krośnice;021302;4;0;55.75;0;1;0;0;0;3;021302;2;Krośnice;17854;178;8177;46;462;1087;gw;51.367788,17.249431 51.521478,17.545881;51.444633,17.397656
Burmistrz Głuszycy;022105;2;0;50.00;0;1;0;0;0;1;022105;3;Głuszyca;6212;62;8708;140;1935;1010;gmw;50.636541,16.270359 50.715852,16.457809;50.6761965,16.364084
Wójt Gminy Grębocice;021603;1;0;59.00;0;0;0;0;0;1;021603;2;Grębocice;12170;121;5387;44;1029;1633;gw;51.522037,16.081805 51.634333,16.327718;51.578185,16.2047615
Burmistrz Miasta Oleśnicy;021401;3;1;52.33;0;0;0;0;0;3;021401;1;Oleśnica;2096;21;37300;1780;2227;142;gm;51.181512,17.330293 51.239506,17.441794;51.210509,17.3860435
Wójt Gminy Walim;022108;2;0;49.50;0;0;0;0;0;2;022108;2;Walim;7914;79;5573;70;1717;1583;gw;50.660253,16.327203 50.793250,16.492923;50.7267515,16.410063
Wójt Gminy Gaworzyce;021602;3;1;42.33;0;0;0;0;0;3;021602;2;Gaworzyce;7676;77;4009;52;1749;1975;gw;51.572744,15.815812 51.673356,15.972089;51.62305,15.8939505
Wójt Gminy Dobroszyce;021403;1;0;34.00;0;0;0;0;0;1;021403;2;Dobroszyce;13196;132;6595;50;885;1359;gw;51.223487,17.238237 51.373284,17.446074;51.2983855,17.3421555
Wójt Gminy Stare Bogaczowice;022107;4;0;51.75;0;0;0;0;0;4;022107;2;Stare Bogaczowice;8729;88;4269;49;1576;1921;gw;50.771375,16.067670 50.887132,16.282821;50.8292535,16.1752455
Burmistrz Przemkowa;021605;1;0;38.00;0;0;0;0;0;1;021605;3;Przemków;10745;107;8488;79;1269;1040;gmw;51.440545,15.702774 51.577686,15.933496;51.5091155,15.818135
Burmistrz Bierutowa;021402;3;1;48.00;0;0;0;0;0;3;021402;3;Bierutów;14700;147;10058;68;706;854;gmw;51.051527,17.392195 51.231561,17.611502;51.141544,17.5018485
Wójt Gminy Dziadowa Kłoda;021404;2;0;43.50;0;0;0;0;0;2;021404;2;Dziadowa Kłoda;10579;106;4644;44;1294;1823;gw;51.160815,17.588574 51.271322,17.795269;51.2160685,17.6919215
Prezydent Miasta Wałbrzycha;026501;4;1;50.00;1;1;0;0;0;2;026501;1;Wałbrzych;8470;85;113621;1341;1626;33;mm;50.716093,16.227529 50.854118,16.355270;50.7851055,16.2913995
Burmistrz Polkowic;021604;4;1;45.50;0;1;0;0;0;3;021604;3;Polkowice;16765;168;27512;164;535;207;gmw;51.433494,15.950108 51.563008,16.211822;51.498251,16.080965
Burmistrz Miasta i Gminy Międzybórz;021405;2;0;49.50;0;0;0;0;0;2;021405;3;Międzybórz;8778;88;5096;58;1568;1707;gmw;51.340434,17.541994 51.423456,17.755912;51.381945,17.648953
Wójt Gminy Wińsko;022202;3;1;46.67;0;1;0;0;0;2;022202;2;Wińsko;24946;250;8409;34;184;1049;gw;51.373002,16.438416 51.517775,16.798129;51.4453885,16.6182725
Wójt Gminy Radwanice;021606;1;0;39.00;0;0;0;0;0;1;021606;2;Radwanice;8424;84;4755;56;1635;1795;gw;51.503655,15.850615 51.618406,16.019019;51.5610305,15.934817
Burmistrz Brzegu Dolnego;022201;6;2;49.83;0;0;0;0;0;6;022201;3;Brzeg Dolny;9440;94;16086;170;1484;463;gmw;51.239914,16.575740 51.354935,16.812323;51.2974245,16.6940315
Wójt Gminy Kondratowice;021702;2;1;44.50;0;0;0;0;0;2;021702;2;Kondratowice;9826;98;4363;44;1421;1892;gw;50.699562,16.857894 50.834423,17.012061;50.7669925,16.9349775
Wójt Gminy Borów;021701;2;0;47.00;0;1;0;0;0;1;021701;2;Borów;9865;99;5324;54;1415;1649;gw;50.794308,16.901518 50.920432,17.111669;50.85737,17.0065935
Burmistrz Miasta i Gminy Strzelin;021704;3;2;47.33;0;1;0;0;0;2;021704;3;Strzelin;17141;171;22178;129;505;297;gmw;50.685010,16.951097 50.854509,17.199227;50.7697595,17.075162
Wójt Gminy Przeworno;021703;2;0;52.00;0;0;0;0;0;2;021703;2;Przeworno;11197;112;4845;43;1180;1773;gw;50.613223,17.064894 50.752188,17.259077;50.6827055,17.1619855
Burmistrz Miasta i Gminy Wiązów;021705;3;1;52.67;0;1;0;0;0;2;021705;3;Wiązów;14177;142;7296;51;761;1230;gmw;50.713072,17.123479 50.877023,17.354658;50.7950475,17.2390685
Burmistrz Szczytnej;020814;1;0;55.00;0;0;0;0;0;1;020814;3;Szczytna;13237;132;7370;56;880;1222;gmw;50.317940,16.320121 50.480534,16.540689;50.399237,16.430405
Burmistrz Miasta Świebodzice;021902;3;0;54.00;0;0;0;0;0;3;021902;1;Świebodzice;3043;30;22840;751;2163;283;gm;50.839123,16.272292 50.905809,16.404816;50.872466,16.338554
Wójt Gminy Kunice;020904;4;1;42.00;0;0;1;0;0;3;020904;2;Kunice;9266;93;6750;73;1507;1332;gw;51.176286,16.184253 51.296386,16.364312;51.236336,16.2742825
Wójt Gminy Chojnów;020902;1;0;42.00;0;0;0;0;0;1;020902;2;Chojnów;23092;230;9565;41;228;908;gw;51.204087,15.742374 51.383626,16.073457;51.2938565,15.9079155
Burmistrz Miasta Chojnowa;020901;1;0;59.00;0;0;0;0;0;1;020901;1;Chojnów;532;5;13573;2551;2334;589;gm;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727
Wójt Gminy Krotoszyce;020903;4;0;50.75;1;0;0;0;0;3;020903;2;Krotoszyce;6750;68;3319;49;1877;2136;gw;51.099365,16.017364 51.208981,16.168221;51.154173,16.0927925
Wójt Gminy Miłkowice;020906;3;0;51.67;0;1;0;0;0;2;020906;2;Miłkowice;8663;87;6629;77;1585;1356;gw;51.200911,16.009197 51.302627,16.197249;51.251769,16.103223
Wójt Gminy Legnickie Pole;020905;6;1;50.50;0;0;0;0;0;6;020905;2;Legnickie Pole;8524;85;5252;62;1617;1666;gw;51.098913,16.152033 51.196284,16.328333;51.1475985,16.240183
Wójt Gminy Ruja;020908;2;0;39.50;0;0;0;0;0;2;020908;2;Ruja;7330;73;2638;36;1804;2229;gw;51.125068,16.307258 51.214954,16.467406;51.170011,16.387332
Burmistrz Miasta i Gminy Prochowice;020907;1;1;58.00;0;0;0;0;0;1;020907;3;Prochowice;10251;103;7507;73;1350;1196;gmw;51.207658,16.303543 51.332436,16.472971;51.270047,16.388257
Burmistrz Olszyny;021005;1;0;67.00;0;0;0;0;0;1;021005;3;Olszyna;4712;47;6524;138;2044;1377;gmw;51.017904,15.300778 51.101213,15.417518;51.0595585,15.359148
Burmistrz Miasta Lubań;021001;3;0;56.00;0;0;0;0;0;3;021001;1;Lubań;1612;16;21318;1322;2268;315;gm;51.091800,15.245471 51.137582,15.316254;51.114691,15.2808625
Burmistrz Leśnej;021003;4;1;44.75;0;0;0;0;0;4;021003;3;Leśna;10460;105;10162;97;1310;846;gmw;50.929474,15.171552 51.070529,15.392460;51.0000015,15.282006
