urzad;razem;kobietyP;wiek;PSL;PiS;PO;SLD;PP;NP;teryt;xteryt;name;areaH;popThs;popKm;rankP;type;bb;center
Burmistrz Miasta i Gminy Sobótka;3;0.00;53.00;0;0;0;0;0;3;022307;3;Sobótka;13626.0;12835.0;94;639;gmw;50.837109,16.671825 50.976006,16.860485;50.9065575,16.766155
Burmistrz Siechnic;3;0.00;40.00;0;1;0;0;0;2;022308;3;Siechnice;9871.0;21037.0;213;320;gmw;50.981099,17.028716 51.083257,17.262298;51.032178,17.145507
Wójt Gminy Żórawina;4;25.00;59.50;0;0;0;0;0;4;022309;2;Żórawina;12027.0;10583.0;88;812;gw;50.899999,16.936004 51.034821,17.162897;50.96741,17.0494505
Wójt Gminy Oława;2;0.00;45.00;0;0;0;0;0;2;021504;2;Oława;23465.0;15138.0;65;508;gw;50.817489,17.167614 51.030400,17.464007;50.9239445,17.3158105
Burmistrz Złotego Stoku;2;50.00;52.50;0;1;0;0;0;1;022407;3;Złoty Stok;7527.0;4568.0;61;1838;gmw;50.397464,16.755252 50.488812,16.947799;50.443138,16.8515255
Wójt Gminy Domaniów;2;50.00;50.00;0;0;0;0;0;2;021502;2;Domaniów;9446.0;5215.0;55;1683;gw;50.840471,17.068245 50.986807,17.232166;50.913639,17.1502055
Wójt Gminy Ciepłowody;2;0.00;50.00;0;0;0;0;0;2;022402;2;Ciepłowody;7741.0;3059.0;40;2179;gw;50.627409,16.821629 50.715881,17.009932;50.671645,16.9157805
Burmistrz Miasta Oława;4;25.00;37.75;0;1;1;0;0;2;021501;1;Oława;2736.0;32883.0;1202;165;gm;50.919127,17.245969 50.995776,17.342461;50.9574515,17.294215
Burmistrz Miasta i Gminy Bardo;2;50.00;51.50;0;0;0;1;0;1;022401;3;Bardo;7303.0;5362.0;73;1638;gmw;50.455572,16.673713 50.572097,16.828259;50.5138345,16.750986
Burmistrz Jelcza-Laskowic;4;25.00;53.75;0;1;0;0;0;3;021503;3;Jelcz-Laskowice;16763.0;23269.0;139;277;gmw;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749
Prezydent Miasta Świdnicy;5;20.00;49.60;0;1;0;0;0;4;021901;1;Świdnica;2176.0;57671.0;2650;78;gm;50.808023,16.455370 50.873211,16.529676;50.840617,16.492523
Wójt Gminy Dobromierz;2;0.00;58.50;0;0;0;0;0;2;021903;2;Dobromierz;8593.0;5301.0;62;1656;gw;50.871606,16.159403 51.018401,16.307029;50.9450035,16.233216
Wójt Gminy Siekierczyn;2;0.00;47.50;0;0;0;0;0;2;021007;2;Siekierczyn;4950.0;4540.0;92;1846;gw;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565
Burmistrz Jaworzyny Śląskiej;3;33.33;42.00;0;0;0;0;0;3;021904;3;Jaworzyna Śląska;6745.0;10344.0;153;830;gmw;50.856581,16.376061 50.957777,16.497881;50.907179,16.436971
Wójt Gminy Platerówka;2;50.00;54.00;0;0;0;0;0;2;021006;2;Platerówka;4790.0;1631.0;34;2288;gw;51.018519,15.121106 51.101860,15.265266;51.0601895,15.193186
Wójt Gminy Marcinowice;3;0.00;58.00;0;0;0;0;0;3;021905;2;Marcinowice;9524.0;6497.0;68;1385;gw;50.816950,16.529100 50.939377,16.701697;50.8781635,16.6153985
Prezydent Miasta Lubina;6;33.33;42.67;0;1;1;0;0;4;021101;1;Lubin (a);4077.0;72892.0;1788;53;gm;51.358967,16.129634 51.439867,16.258249;51.399417,16.1939415
Burmistrz Strzegomia;3;33.33;55.00;0;1;0;0;0;2;021906;3;Strzegom;14465.0;26102.0;180;228;gmw;50.877668,16.249156 51.029723,16.484416;50.9536955,16.366786
Wójt Gminy Rudna;3;33.33;60.67;0;1;0;0;0;2;021103;2;Rudna;21664.0;7742.0;36;1150;gw;51.432553,16.177917 51.612394,16.482172;51.5224735,16.3300445
Wójt Gminy Świdnica;4;50.00;52.75;0;1;0;0;0;3;021907;2;Świdnica;20784.0;17131.0;82;429;gw;50.711235,16.332294 50.905245,16.605681;50.80824,16.4689875
Wójt Gminy Lubin;3;0.00;49.00;0;0;0;0;0;3;021102;2;Lubin;28978.0;15605.0;54;489;gw;51.270587,16.004143 51.471704,16.355179;51.3711455,16.179661
Burmistrz Miasta Żarów;2;0.00;42.50;0;0;0;0;0;2;021908;3;Żarów;8784.0;12506.0;142;661;gmw;50.892129,16.423223 51.003248,16.630250;50.9476885,16.5267365
Burmistrz Ścinawy;2;0.00;47.50;0;0;0;0;0;2;021104;3;Ścinawa;16443.0;10081.0;61;852;gmw;51.293699,16.308570 51.490291,16.476860;51.391995,16.392715
Burmistrz Gminy i Miasta Lubomierz;3;0.00;48.33;1;0;0;0;0;2;021202;3;Lubomierz;13053.0;6235.0;48;1437;gmw;50.937634,15.444598 51.073485,15.650067;51.0055595,15.5473325
Burmistrz Gminy Trzebnica;3;33.33;59.00;0;1;1;0;0;1;022003;3;Trzebnica;19996.0;24179.0;121;260;gmw;51.239580,16.982979 51.469890,17.221312;51.354735,17.1021455
Burmistrz Gminy i Miasta Gryfów Śląski;2;0.00;61.00;0;1;0;0;0;1;021201;3;Gryfów Śląski;6667.0;9779.0;147;888;gmw;50.967841,15.375691 51.120657,15.504046;51.044249,15.4398685
Burmistrz Obornik Śląskich;2;50.00;52.50;0;0;0;0;0;2;022001;3;Oborniki Śląskie;15426.0;20105.0;130;336;gmw;51.196890,16.777447 51.361399,17.002819;51.2791445,16.890133
Burmistrz Gminy i Miasta Lwówek Śląski;3;33.33;40.67;1;0;0;0;0;2;021203;3;Lwówek Śląski;23993.0;17346.0;72;419;gmw;51.044693,15.443262 51.199301,15.761442;51.121997,15.602352
Burmistrz Miasta i Gminy Prusice;2;50.00;46.50;0;0;0;0;0;2;022002;3;Prusice;15798.0;9363.0;59;924;gmw;51.322335,16.768008 51.458039,17.059924;51.390187,16.913966
Burmistrz Miasta i Gminy Mirsk;2;0.00;41.00;0;0;0;0;0;2;021204;3;Mirsk;18650.0;8692.0;47;1013;gmw;50.831886,15.277195 51.006058,15.526394;50.918972,15.4017945
Burmistrz Miasta i Gminy Wleń;2;0.00;47.50;1;0;0;0;0;1;021205;3;Wleń;8606.0;4308.0;50;1906;gmw;50.949319,15.579186 51.065156,15.765490;51.0072375,15.672338
Burmistrz Miasta Kudowa-Zdrój;4;50.00;52.75;0;0;0;0;0;4;020803;1;Kudowa-Zdrój;3390.0;10018.0;296;861;gm;50.406922,16.195576 50.484674,16.342050;50.445798,16.268813
Burmistrz Miasta Duszniki-Zdrój;3;0.00;40.00;0;0;0;0;0;3;020801;1;Duszniki-Zdrój;2228.0;4728.0;212;1800;gm;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848
Burmistrz Miasta Kłodzka;6;0.00;54.50;0;0;0;0;0;6;020802;1;Kłodzko;2484.0;27193.0;1095;214;gm;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345
Burmistrz Miasta Polanica-Zdrój;5;0.00;49.00;0;1;0;0;0;4;020805;1;Polanica-Zdrój;1722.0;6381.0;371;1408;gm;50.371892,16.467731 50.425907,16.531214;50.3988995,16.4994725
Burmistrz Miasta Nowa Ruda;3;33.33;41.33;0;1;0;0;0;2;020804;1;Nowa Ruda;3705.0;22455.0;606;290;gm;50.523802,16.460259 50.623198,16.579227;50.5735,16.519743
Wójt Gminy Kłodzko;3;0.00;51.00;0;1;0;0;0;2;020807;2;Kłodzko;25325.0;17285.0;68;421;gw;50.332201,16.521965 50.561829,16.815093;50.447015,16.668529
Burmistrz Bystrzycy Kłodzkiej;3;66.67;53.67;0;0;0;0;1;2;020806;3;Bystrzyca Kłodzka;33853.0;19077.0;56;368;gmw;50.194995,16.436487 50.379552,16.837567;50.2872735,16.637027
Wójt Gminy Lewin Kłodzki;3;33.33;39.33;0;0;0;0;0;3;020809;2;Lewin Kłodzki;5214.0;1940.0;37;2276;gw;50.367444,16.237095 50.462412,16.369132;50.414928,16.3031135
Burmistrz Lądka-Zdroju;5;20.00;51.80;0;1;0;0;0;4;020808;3;Lądek-Zdrój;11727.0;8365.0;71;1055;gmw;50.289286,16.744505 50.409175,16.939320;50.3492305,16.8419125
Burmistrz Stronia Śląskiego;4;50.00;49.00;0;1;0;0;0;3;020813;3;Stronie Śląskie;14608.0;7568.0;52;1184;gmw;50.196963,16.802995 50.324377,17.028314;50.26067,16.9156545
Prezydent Miasta Głogowa;3;0.00;46.33;0;1;1;0;0;1;020301;1;Głogów;3511.0;68179.0;1942;59;gm;51.632066,15.934872 51.708290,16.152271;51.670178,16.0435715
Wójt Gminy Nowa Ruda;3;66.67;44.33;0;0;0;0;0;3;020811;2;Nowa Ruda;13967.0;11755.0;84;715;gw;50.496941,16.377820 50.681102,16.636725;50.5890215,16.5072725
Wójt Gminy Pęcław;1;0.00;51.00;0;0;0;0;0;1;020305;2;Pęcław;6427.0;2284.0;36;2263;gw;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515
Burmistrz Miasta i Gminy Międzylesie;4;0.00;44.00;0;1;0;0;0;3;020810;3;Międzylesie;18875.0;7241.0;38;1243;gmw;50.096583,16.554391 50.245533,16.836086;50.171058,16.6952385
Wójt Gminy Jerzmanowa;3;33.33;46.67;0;0;0;0;0;3;020303;2;Jerzmanowa;6332.0;4925.0;78;1747;gw;51.537883,15.962617 51.653747,16.109895;51.595815,16.036256
Burmistrz Miasta i Gminy Radków;1;0.00;68.00;0;0;0;0;0;1;020812;3;Radków;13995.0;9089.0;65;962;gmw;50.446646,16.294716 50.579570,16.567113;50.513108,16.4309145
Wójt Gminy Kotla;1;0.00;38.00;0;0;0;0;0;1;020304;2;Kotla;12752.0;4415.0;35;1881;gw;51.677254,15.912931 51.804754,16.177830;51.741004,16.0453805
Wójt Gminy Żukowice;2;50.00;43.00;0;0;0;0;0;2;020306;2;Żukowice;6826.0;3467.0;51;2107;gw;51.609656,15.834259 51.730350,16.037285;51.670003,15.935772
Wójt Gminy Jemielno;2;50.00;46.50;0;0;0;0;0;2;020402;2;Jemielno;12402.0;3051.0;25;2180;gw;51.498959,16.385179 51.627934,16.644868;51.5634465,16.5150235
Burmistrz Góry;3;66.67;53.33;0;1;0;0;0;2;020401;3;Góra;26611.0;20177.0;76;335;gmw;51.567122,16.408875 51.788011,16.685001;51.6775665,16.546938
Wójt Gminy Niechlów;3;66.67;50.33;0;0;0;0;0;3;020403;2;Niechlów;15103.0;4985.0;33;1735;gw;51.608363,16.267804 51.782312,16.478252;51.6953375,16.373028
Burmistrz Wąsosza;3;0.00;48.67;0;0;0;0;0;3;020404;3;Wąsosz;19711.0;7260.0;37;1239;gmw;51.485407,16.586026 51.648567,16.828717;51.566987,16.7073715
Wójt Gminy Podgórzyn;4;0.00;47.75;1;0;0;0;0;3;020608;2;Podgórzyn;8251.0;8294.0;101;1064;gw;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145
Burmistrz Szklarskiej Poręby;6;33.33;51.00;0;0;0;0;0;6;020604;1;Szklarska Poręba;7544.0;6681.0;89;1346;gm;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423
Burmistrz Miasta Kowary;5;20.00;45.40;0;0;0;0;0;5;020602;1;Kowary;3739.0;11090.0;297;767;gm;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766
Burmistrz Karpacza;3;33.33;57.00;0;0;0;0;0;3;020601;1;Karpacz;3799.0;4711.0;124;1806;gm;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985
Burmistrz Miasta i Gminy Bogatynia;6;33.33;50.17;1;1;0;0;0;4;022503;3;Bogatynia;13612.0;23462.0;172;276;gmw;50.862082,14.817458 51.033658,15.021714;50.94787,14.919586
Burmistrz Miasta Piechowice;7;14.29;51.00;1;0;0;0;0;6;020603;1;Piechowice;4322.0;6314.0;146;1422;gm;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555
Burmistrz Miasta Zawidowa;2;0.00;55.00;0;0;0;0;0;2;022501;1;Zawidów;607.0;4232.0;697;1928;gm;51.011642,15.019880 51.037367,15.070664;51.0245045,15.045272
Burmistrz Miasta Zgorzelec;3;66.67;41.33;0;1;0;0;0;2;022502;1;Zgorzelec;1588.0;30738.0;1936;181;gm;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122
Wójt Gminy Sulików;2;50.00;53.50;0;1;0;0;0;1;022505;2;Sulików;9451.0;6082.0;64;1472;gw;50.990142,14.983514 51.133328,15.168249;51.061735,15.0758815
Burmistrz Miasta i Gminy Pieńsk;2;0.00;44.50;0;0;0;0;0;2;022504;3;Pieńsk;11053.0;9179.0;83;948;gmw;51.187013,14.965036 51.363905,15.221041;51.275459,15.0930385
Burmistrz Gminy i Miasta Węgliniec;3;0.00;49.00;0;0;0;0;0;3;022506;3;Węgliniec;33834.0;8402.0;25;1050;gmw;51.220227,14.990542 51.464033,15.339877;51.34213,15.1652095
Wójt Gminy Zgorzelec;2;0.00;45.00;0;0;0;0;0;2;022507;2;Zgorzelec;13715.0;8489.0;62;1039;gw;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307
Burmistrz Ziębic;3;33.33;50.67;0;0;0;0;0;3;022406;3;Ziębice;22228.0;17242.0;78;422;gmw;50.463291,16.910828 50.700906,17.164896;50.5820985,17.037862
Wójt Gminy Stoszowice;2;0.00;34.50;0;0;0;0;0;2;022404;2;Stoszowice;11072.0;5473.0;49;1610;gw;50.527475,16.579423 50.667663,16.773707;50.597569,16.676565
Wójt Gminy Kamieniec Ząbkowicki;2;0.00;47.50;0;0;0;0;0;2;022403;2;Kamieniec Ząbkowicki;9669.0;8247.0;85;1073;gw;50.473300,16.794232 50.569000,17.026370;50.52115,16.910301
Burmistrz Ząbkowic Śląskich;3;33.33;47.00;0;1;0;0;0;2;022405;3;Ząbkowice Śląskie;14613.0;22058.0;151;302;gmw;50.527086,16.735953 50.669553,16.932569;50.5983195,16.834261
Wójt Gminy Bolesławiec;2;0.00;45.00;0;0;0;0;0;2;020102;2;Bolesławiec;28849.0;14391.0;50;545;gw;51.175601,15.435787 51.466225,15.667149;51.320913,15.551468
Prezydent Miasta Bolesławiec;4;0.00;53.00;0;1;0;0;0;3;020101;1;Bolesławiec;2357.0;39084.0;1658;132;gm;51.226376,15.501076 51.297962,15.602184;51.262169,15.55163
Wójt Gminy Gromadka;3;33.33;50.00;0;0;0;0;0;3;020103;2;Gromadka;26768.0;5345.0;20;1643;gw;51.283835,15.616778 51.517392,15.858353;51.4006135,15.7375655
Wójt Gminy Warta Bolesławiecka;2;0.00;55.00;0;0;0;0;0;2;020106;2;Warta Bolesławiecka;11044.0;8665.0;78;1017;gw;51.159265,15.622624 51.314714,15.777385;51.2369895,15.7000045
Burmistrz Nowogrodźca;2;50.00;49.00;0;0;0;0;0;2;020104;3;Nowogrodziec;17629.0;15290.0;87;498;gmw;51.112362,15.205959 51.282261,15.496663;51.1973115,15.351311
Wójt Gminy Osiecznica;1;0.00;63.00;0;0;0;0;0;1;020105;2;Osiecznica;43704.0;7398.0;17;1216;gw;51.258337,15.249757 51.531046,15.595944;51.3946915,15.4228505
Wójt Gminy Zawonia;2;50.00;43.00;0;0;0;0;0;2;022005;2;Zawonia;11745.0;5921.0;50;1508;gw;51.266458,17.098293 51.398270,17.340647;51.332364,17.21947
Wójt Gminy Malczyce;3;66.67;40.33;0;0;0;0;0;3;021802;2;Malczyce;5257.0;5997.0;114;1490;gw;51.111045,16.441842 51.231270,16.559819;51.1711575,16.5008305
Wójt Gminy Wisznia Mała;4;75.00;44.50;0;1;0;0;0;3;022004;2;Wisznia Mała;10336.0;10198.0;99;843;gw;51.162788,16.937513 51.287954,17.123357;51.225371,17.030435
Wójt Gminy Kostomłoty;3;66.67;53.33;1;0;0;0;0;2;021801;2;Kostomłoty;14524.0;7178.0;49;1254;gw;50.991035,16.503659 51.122353,16.785641;51.056694,16.64465
Burmistrz Gminy Żmigród;1;0.00;45.00;0;0;0;0;0;1;022006;3;Żmigród;29177.0;14729.0;50;523;gmw;51.401718,16.759328 51.581017,17.110274;51.4913675,16.934801
Wójt Gminy Miękinia;3;33.33;47.67;1;0;0;0;0;2;021803;2;Miękinia;17948.0;15524.0;86;492;gw;51.092712,16.674937 51.261342,16.905080;51.177027,16.7900085
Burmistrz Mieroszowa;5;20.00;46.60;0;0;0;0;0;5;022106;3;Mieroszów;7606.0;6935.0;91;1292;gmw;50.627205,16.104430 50.728194,16.313916;50.6776995,16.209173
Burmistrz Środy Śląskiej;4;0.00;49.00;0;0;0;0;0;4;021804;3;Środa Śląska;21596.0;19798.0;92;345;gmw;51.080644,16.460672 51.251417,16.713922;51.1660305,16.587297
Burmistrz Miasta Jedlina-Zdrój;3;33.33;52.33;0;1;0;0;0;2;022102;1;Jedlina-Zdrój;1745.0;4887.0;280;1761;gm;50.702649,16.291725 50.745722,16.387390;50.7241855,16.3395575
Wójt Gminy Udanin;3;66.67;44.67;0;0;0;0;0;3;021805;2;Udanin;11089.0;5225.0;47;1676;gw;50.998143,16.331656 51.117939,16.555329;51.058041,16.4434925
Burmistrz Miasta Boguszowa-Gorc;4;25.00;47.50;0;0;0;0;0;4;022101;1;Boguszów-Gorce;2702.0;15566.0;576;490;gm;50.719996,16.154928 50.790068,16.256081;50.755032,16.2055045
Burmistrz Gminy Milicz;5;20.00;56.60;1;0;0;0;0;4;021303;3;Milicz;43556.0;24285.0;56;258;gmw;51.391781,16.989485 51.621610,17.572734;51.5066955,17.2811095
Wójt Gminy Czarny Bór;2;0.00;56.00;0;0;0;0;0;2;022104;2;Czarny Bór;6640.0;4858.0;73;1766;gw;50.702818,16.067573 50.827489,16.207135;50.7651535,16.137354
Wójt Gminy Cieszków;2;0.00;56.00;1;0;0;0;0;1;021301;2;Cieszków;10083.0;4663.0;46;1815;gw;51.564865,17.208318 51.647915,17.478384;51.60639,17.343351
Burmistrz Szczawna-Zdroju;5;20.00;51.60;0;0;0;0;0;5;022103;1;Szczawno-Zdrój;1474.0;5650.0;383;1560;gm;50.766987,16.189996 50.823479,16.280630;50.795233,16.235313
Burmistrz Miasta i Gminy Chocianów;5;20.00;43.60;0;1;0;0;0;4;021601;3;Chocianów;22166.0;12866.0;58;636;gmw;51.326293,15.815995 51.517635,16.108570;51.421964,15.9622825
Wójt Gminy Krośnice;4;0.00;55.75;0;1;0;0;0;3;021302;2;Krośnice;17854.0;8177.0;46;1087;gw;51.367788,17.249431 51.521478,17.545881;51.444633,17.397656
Burmistrz Głuszycy;2;0.00;50.00;0;1;0;0;0;1;022105;3;Głuszyca;6212.0;8708.0;140;1010;gmw;50.636541,16.270359 50.715852,16.457809;50.6761965,16.364084
Wójt Gminy Grębocice;1;0.00;59.00;0;0;0;0;0;1;021603;2;Grębocice;12170.0;5387.0;44;1633;gw;51.522037,16.081805 51.634333,16.327718;51.578185,16.2047615
Burmistrz Miasta Oleśnicy;3;33.33;52.33;0;0;0;0;0;3;021401;1;Oleśnica;2096.0;37300.0;1780;142;gm;51.181512,17.330293 51.239506,17.441794;51.210509,17.3860435
Wójt Gminy Walim;2;0.00;49.50;0;0;0;0;0;2;022108;2;Walim;7914.0;5573.0;70;1583;gw;50.660253,16.327203 50.793250,16.492923;50.7267515,16.410063
Wójt Gminy Gaworzyce;3;33.33;42.33;0;0;0;0;0;3;021602;2;Gaworzyce;7676.0;4009.0;52;1975;gw;51.572744,15.815812 51.673356,15.972089;51.62305,15.8939505
Wójt Gminy Dobroszyce;1;0.00;34.00;0;0;0;0;0;1;021403;2;Dobroszyce;13196.0;6595.0;50;1359;gw;51.223487,17.238237 51.373284,17.446074;51.2983855,17.3421555
Wójt Gminy Stare Bogaczowice;4;0.00;51.75;0;0;0;0;0;4;022107;2;Stare Bogaczowice;8729.0;4269.0;49;1921;gw;50.771375,16.067670 50.887132,16.282821;50.8292535,16.1752455
Burmistrz Przemkowa;1;0.00;38.00;0;0;0;0;0;1;021605;3;Przemków;10745.0;8488.0;79;1040;gmw;51.440545,15.702774 51.577686,15.933496;51.5091155,15.818135
Burmistrz Bierutowa;3;33.33;48.00;0;0;0;0;0;3;021402;3;Bierutów;14700.0;10058.0;68;854;gmw;51.051527,17.392195 51.231561,17.611502;51.141544,17.5018485
Wójt Gminy Dziadowa Kłoda;2;0.00;43.50;0;0;0;0;0;2;021404;2;Dziadowa Kłoda;10579.0;4644.0;44;1823;gw;51.160815,17.588574 51.271322,17.795269;51.2160685,17.6919215
Prezydent Miasta Wałbrzycha;4;25.00;50.00;1;1;0;0;0;2;026501;1;Wałbrzych;8470.0;113621.0;1341;33;mm;50.716093,16.227529 50.854118,16.355270;50.7851055,16.2913995
Burmistrz Polkowic;4;25.00;45.50;0;1;0;0;0;3;021604;3;Polkowice;16765.0;27512.0;164;207;gmw;51.433494,15.950108 51.563008,16.211822;51.498251,16.080965
Burmistrz Miasta i Gminy Międzybórz;2;0.00;49.50;0;0;0;0;0;2;021405;3;Międzybórz;8778.0;5096.0;58;1707;gmw;51.340434,17.541994 51.423456,17.755912;51.381945,17.648953
Wójt Gminy Wińsko;3;33.33;46.67;0;1;0;0;0;2;022202;2;Wińsko;24946.0;8409.0;34;1049;gw;51.373002,16.438416 51.517775,16.798129;51.4453885,16.6182725
Wójt Gminy Radwanice;1;0.00;39.00;0;0;0;0;0;1;021606;2;Radwanice;8424.0;4755.0;56;1795;gw;51.503655,15.850615 51.618406,16.019019;51.5610305,15.934817
Burmistrz Brzegu Dolnego;6;33.33;49.83;0;0;0;0;0;6;022201;3;Brzeg Dolny;9440.0;16086.0;170;463;gmw;51.239914,16.575740 51.354935,16.812323;51.2974245,16.6940315
Wójt Gminy Kondratowice;2;50.00;44.50;0;0;0;0;0;2;021702;2;Kondratowice;9826.0;4363.0;44;1892;gw;50.699562,16.857894 50.834423,17.012061;50.7669925,16.9349775
Wójt Gminy Borów;2;0.00;47.00;0;1;0;0;0;1;021701;2;Borów;9865.0;5324.0;54;1649;gw;50.794308,16.901518 50.920432,17.111669;50.85737,17.0065935
Burmistrz Miasta i Gminy Strzelin;3;66.67;47.33;0;1;0;0;0;2;021704;3;Strzelin;17141.0;22178.0;129;297;gmw;50.685010,16.951097 50.854509,17.199227;50.7697595,17.075162
Wójt Gminy Przeworno;2;0.00;52.00;0;0;0;0;0;2;021703;2;Przeworno;11197.0;4845.0;43;1773;gw;50.613223,17.064894 50.752188,17.259077;50.6827055,17.1619855
Burmistrz Miasta i Gminy Wiązów;3;33.33;52.67;0;1;0;0;0;2;021705;3;Wiązów;14177.0;7296.0;51;1230;gmw;50.713072,17.123479 50.877023,17.354658;50.7950475,17.2390685
Burmistrz Szczytnej;1;0.00;55.00;0;0;0;0;0;1;020814;3;Szczytna;13237.0;7370.0;56;1222;gmw;50.317940,16.320121 50.480534,16.540689;50.399237,16.430405
Burmistrz Miasta Świebodzice;3;0.00;54.00;0;0;0;0;0;3;021902;1;Świebodzice;3043.0;22840.0;751;283;gm;50.839123,16.272292 50.905809,16.404816;50.872466,16.338554
Wójt Gminy Kunice;4;25.00;42.00;0;0;1;0;0;3;020904;2;Kunice;9266.0;6750.0;73;1332;gw;51.176286,16.184253 51.296386,16.364312;51.236336,16.2742825
Wójt Gminy Chojnów;1;0.00;42.00;0;0;0;0;0;1;020902;2;Chojnów;23092.0;9565.0;41;908;gw;51.204087,15.742374 51.383626,16.073457;51.2938565,15.9079155
Burmistrz Miasta Chojnowa;1;0.00;59.00;0;0;0;0;0;1;020901;1;Chojnów;532.0;13573.0;2551;589;gm;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727
Wójt Gminy Krotoszyce;4;0.00;50.75;1;0;0;0;0;3;020903;2;Krotoszyce;6750.0;3319.0;49;2136;gw;51.099365,16.017364 51.208981,16.168221;51.154173,16.0927925
Wójt Gminy Miłkowice;3;0.00;51.67;0;1;0;0;0;2;020906;2;Miłkowice;8663.0;6629.0;77;1356;gw;51.200911,16.009197 51.302627,16.197249;51.251769,16.103223
Wójt Gminy Legnickie Pole;6;16.67;50.50;0;0;0;0;0;6;020905;2;Legnickie Pole;8524.0;5252.0;62;1666;gw;51.098913,16.152033 51.196284,16.328333;51.1475985,16.240183
Wójt Gminy Ruja;2;0.00;39.50;0;0;0;0;0;2;020908;2;Ruja;7330.0;2638.0;36;2229;gw;51.125068,16.307258 51.214954,16.467406;51.170011,16.387332
Burmistrz Miasta i Gminy Prochowice;1;100.00;58.00;0;0;0;0;0;1;020907;3;Prochowice;10251.0;7507.0;73;1196;gmw;51.207658,16.303543 51.332436,16.472971;51.270047,16.388257
Burmistrz Olszyny;1;0.00;67.00;0;0;0;0;0;1;021005;3;Olszyna;4712.0;6524.0;138;1377;gmw;51.017904,15.300778 51.101213,15.417518;51.0595585,15.359148
Burmistrz Miasta Lubań;3;0.00;56.00;0;0;0;0;0;3;021001;1;Lubań;1612.0;21318.0;1322;315;gm;51.091800,15.245471 51.137582,15.316254;51.114691,15.2808625
Burmistrz Leśnej;4;25.00;44.75;0;0;0;0;0;4;021003;3;Leśna;10460.0;10162.0;97;846;gmw;50.929474,15.171552 51.070529,15.392460;51.0000015,15.282006
Burmistrz Miasta Świeradów-Zdrój;1;0.00;44.00;0;0;0;0;0;1;021002;1;Świeradów-Zdrój;2072.0;4209.0;203;1931;gm;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252
Wójt Gminy Lubań;3;33.33;52.33;0;0;0;0;0;3;021004;2;Lubań;14234.0;6607.0;46;1357;gw;51.065162,15.180998 51.199509,15.436373;51.1323355,15.3086855
