TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2009;;2010;;2011;;2012;;2013e;;
Afghanistane;;32;3;36;3;38;;37;;40;;
Albaniae;;1,108;3;1,300;;1,800;;1,800;r;1,800;;
Algeriae;;18,732;3;19,100;3;19,000;;19,000;;18,000;;
Angolae;;1,800;;1,500;;1,500;;1,600;;1,700;;
Argentina;;9,385;;10,423;;11,592;;10,716;;11,892;3;
Armenia;;467;;488;;422;;438;;431;3;
Australiae;;9,200;;8,300;;8,600;;8,600;;8,400;;
Austria;;4,646;;4,254;;4,427;;4,455;;4,385;3;
Azerbaijan ;;1,286;;1,279;;1,425;;1,966;;2,296;3;
Bahraine;;700;;900;;1,200;;1,300;;1,200;;
Bangladeshe, 4;;12,000;;13,770;3;14,690;3;15,000;;15,000;;
Barbados;;256;;229;;223;;176;;160;;
Belarus ;;4,350;;4,531;;4,604;;4,906;;5,057;3;
Belgium;;5,990;;6,095;;6,954;;6,280;r;6,119;3;
Benin;;1,315;;1,305;;1,460;;1,390;;1,422;3;
Bhutane;;180;;200;;544;3;521;3;500;;
Bolivia;;2,292;;2,414;;2,658;;2,714;;2,500;;
Bosnia and Herzegovina ;;1,074;;949;;893;;846;;882;3;
Botswanae;;250;;260;;260;;260;;260;;
Brazil;;51,748;;59,118;;64,093;;69,323;r;69,975;3;
Bruneie;;220;;270;;290;;300;;300;;
Bulgaria;;2,645;;1,961;;1,866;;1,803;r;1,800;;
Burkina Faso;;563;;587;;590;e;659;r;580;3;
Burma5;;670;;534;;538;;600;e;600;;
Burundi;;--;;--;;35;;71;;100;;
Cambodia;;933;r;789;;907;;980;;1,000;;
Cameroone;;1,100;r;1,000;r;1,146;r, 3;1,275;r, 3;1,400;;
Canada;;10,985;;12,431;;12,001;;12,465;;11,612;3;
Chile;;3,876;;3,871;;4,406;;4,722;;4,800;;
China;;1,644,000;;1,822,000;;2,099,000;;2,210,000;;2,416,000;p, 3;
Colombia;;9,232;;9,488;;10,777;;10,925;;11,252;3;
Congo (Brazzaville)e;;110;;80;;70;;150;;170;;
Congo (Kinshasa) ;;460;;490;;458;;413;r;447;3;
Costa Ricae;;2,100;;1,276;3;1,400;r;1,400;r;1,500;;
Côte dʼIvoire;;283;;189;;99;;78;;100;;
Croatia;;2,919;r;2,775;r;2,681;r;2,255;r;2,436;3;
Cuba;;1,626;;1,631;;1,736;;1,825;r;1,659;3;
Cyprus;;1,481;r;1,329;;1,207;;1,026;r;855;3;
Czech Republic;;3,672;r;3,379;r;3,931;r;3,434;r;3,211;3;
Denmark;;1,575;;1,553;;1,811;;1,798;;1,830;3;
Djibouti;;--;;--;;--;;--;;150;;
