TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2014;;2015;;2016;;2017;2018;
Afghanistan;;87;;70;;101;;180;110;
Albania;;1,740;;1,980;;2,000;e;2,000;2,000;
Algeria;;19,260;r;20,250;r;23,500;r, e;26,900;27,000;
Angola;;5,100;;5,240;r;4,500;r, e;460;5,000;
Argentina;;11,408;;12,193;r;10,899;r;11,960;11,842;
Armenia;;422;;417;;267;;356;546;
Australiae;;9,000;;9,500;;9,600;;9,700;10,200;
Austria;;4,400;;4,810;;4,800;r;4,900;5,200;
Azerbaijan;;2,941;;2,683;;2,310;;2,955;3,445;
Bahraine;;1,300;;1,300;;1,400;;1,500;1,500;
Bangladesh2;;17,000;e;28,000;e;32,000;e;32,000;33,000;
Barbadose;;160;;160;;160;;160;160;
Belarus;;5,617;;4,638;;4,503;;4,490;4,519;
Belgium;;6,364;;6,275;;6,255;;6,513;6,737;
Benin;;1,396;;1,382;;1,356;;1,360;1,370;
Bhutan;;690;;791;;940;;894;940;
Bolivia;;3,337;;3,468;;3,601;;3,611;3,650;
Bosnia and Herzegovina;;840;;808;;841;;910;995;
Botswana;;15;;15;;15;;15;16;
Brazil;;71,254;;65,283;;57,557;r;54,004;53,000;
Bruneie;;240;;230;;250;r;270;290;
Bulgaria;;1,785;;2,114;;1,994;;2,117;2,200;
Burkina Faso;;403;;263;;300;e;300;310;
Burma3;;1,317;;989;;2,520;;5,480;4,160;
Burundie;;70;;100;;100;;45;70;
Cambodia;;1,400;;1,700;e;2,100;e;3,400;4,900;
Cameroon;;1,300;;1,600;;2,600;e;2,800;2,900;
Canada;;11,879;;12,167;;11,693;r;12,710;13,554;
Chade;;200;;200;;250;r;300;350;
Chilee;;4,200;;4,300;;4,200;;4,200;4,300;
China;;2,492,000;;2,359,000;;2,410,000;;2,331,000;2,200,000;
Colombia;;12,384;;13,153;;12,495;;12,299;12,452;
Congo (Brazzaville)e;;460;;700;;950;;1,050;1,160;
Congo (Kinshasa);;330;;399;;253;;900;1,843;
Costa Ricae;;1,500;;1,600;;1,600;;1,800;1,900;
Côte d’Ivoire;;2,690;;3,100;;3,600;;3,500;4,000;
Croatia;;2,359;;2,340;;2,267;;2,515;2,500;
Cuba;;1,580;;1,518;;1,493;;1,431;1,591;
Cyprus;;735;;788;;1,019;;1,319;1,358;
Czechia;;3,511;;3,781;;3,937;;4,043;4,430;
Denmark;;2,825;r;3,047;r;3,404;r;3,554;3,343;
Djiboutie;;170;;180;;180;;190;190;
Dominican Republic;;5,018;;5,181;;5,171;;5,254;5,280;
Ecuadore;;6,600;;6,200;;5,600;;5,700;5,800;
Egypt;;52,080;;53,940;;55,000;;68,500;81,200;
El Salvadore;;1,000;;1,000;;1,000;;1,000;1,000;
Eritreae;;230;;200;;200;;210;280;
Estonia;;447;;390;;399;;503;527;
Ethiopia4;;5,424;;7,500;e;8,300;e;9,000;9,300;
Fiji;;188;;204;;219;;141;143;
Finlande;;1,250;;1,300;;1,300;;1,300;1,300;
France;;16,400;;15,600;;15,900;;16,900;17,200;
French Guiana;;87;;76;;91;;80;80;
Gabon;;180;r;200;r;350;r, e;340;490;
Georgia;;1,626;;1,759;;1,809;;2,058;2,092;
Germany;;32,099;;31,150;;32,737;;33,991;33,633;
Ghana;;4,500;e;3,830;;4,000;e;3,800;4,000;
Greece;;5,105;;5,289;;6,540;;6,246;6,580;
Guadeloupee;;300;;300;;300;;300;310;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2014;;2015;;2016;;2017;2018;
Guatemalae;;3,500;;3,500;;3,600;;3,700;3,800;
Guinea;;435;;500;e;500;;500;520;
Guyana;;2;e;100;e;400;e;400;410;
Haitie;;200;;200;;200;;200;200;
Hondurase;;1,700;;1,700;;1,700;;1,700;1,800;
Hong Konge;;1,900;;1,900;;1,900;;1,900;2,000;
Hungarye;;1,530;;1,570;;1,280;;1,660;1,670;
India;;240,000;;260,000;;280,000;e;281,000;298,000;
Indonesia;;56,760;;59,850;;62,000;e;69,279;75,213;
Iran;;66,700;;58,600;;55,000;e;55,000;58,000;
Iraqe;;9,000;;10,000;;10,000;;10,000;10,000;
Ireland;;2,200;r;2,980;r;3,100;r, e;3,200;3,290;
Israel;;6,603;;6,904;;7,150;;6,361;6,500;
Italy;;21,500;r;20,800;r;19,300;;19,300;19,000;
Jamaica;;830;;808;;911;;910;930;
Japan;;57,913;;54,827;;53,255;;55,195;55,307;
Jordan;;4,400;;4,500;;4,800;;5,060;5,130;
Kazakhstan;;8,140;;8,729;;9,204;;9,398;9,500;
Kenya;;5,883;;6,353;;6,715;;6,163;5,636;
Korea, North;;6,680;;6,700;;7,080;;6,840;6,900;
Korea, Republic of;;47,048;;52,044;;56,747;;57,400;57,500;
Kosovoe;;480;;590;;710;;840;850;
Kuwait;;2,800;r;3,100;r;4,500;r, e;4,400;4,500;
Kyrgyzstan;;1,730;;1,496;;1,302;;1,505;1,930;
Laos;;2,201;;3,099;;3,407;r;3,938;4,000;
Latvia;;1,100;e;1,100;;1,000;e;989;1,000;
Lebanon;;6,000;r;5,500;r;5,400;r;5,500;5,600;
Liberia;;295;;298;;241;;285;314;
Libya;;7,000;;5,000;;4,250;r;6,560;6,200;
Lithuania;;903;;980;;1,010;;1,023;1,151;
Luxembourg;;1,058;;1,080;;1,100;e;1,100;1,100;
Macau;;590;e;600;e;--;;--;--;
Macedonia;;660;;672;;855;;901;921;
Madagascar;;150;r;150;r;150;r, e;180;210;
Malawi;;270;;280;;420;e;211;232;
Malaysia;;24,280;;24,710;;22,330;;18,800;20,000;
Mali;;660;;630;;630;e;630;660;
Martiniquee;;150;;150;;150;;150;150;
Mauritania;;870;;860;;630;r;640;670;
Mexico;;36,597;;39,613;;40,577;;41,601;48,328;
Moldova;;1,220;e;1,045;;975;;1,116;1,200;
Mongolia;;411;;410;;432;;675;934;
Morocco;;14,320;r;14,460;r;14,000;r, e;15,000;15,000;
Mozambique;;1,512;5;1,585;5;2,446;;2,350;2,400;
Namibia;;731;;796;;778;;780;780;
Nepal;;3,100;;3,910;r;5,000;r, e;6,000;9,000;
Netherlands;;2,610;;2,260;;2,260;e;2,300;2,350;
New Caledonia;;106;;112;;112;;104;86;
New Zealande;;1,100;;1,200;;900;;360;450;
Nicaraguae;;700;;700;;700;;900;910;
Niger;;21;;51;;51;e;51;52;
Nigeriae;;20,000;;21,000;;22,000;;19,000;21,000;
Norwaye;;1,700;;1,800;;1,850;;1,900;1,950;
Omane;;5,100;;5,300;;5,500;;5,700;6,000;
Pakistan;;31,960;;33,232;;37,020;;38,900;40,900;
Panamae;;2,190;;2,200;;2,200;;1,900;2,000;
Papua New Guineae;;200;;200;;200;;200;200;
Paraguaye;;1,000;;1,200;;1,300;;1,400;1,400;
Peru;;10,676;;10,410;;10,094;;9,980;10,049;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2014;;2015;;2016;;2017;2018;
Philippines;;21,305;;24,050;;25,000;e;26,000;26,000;
Poland;;15,534;;15,206;;15,782;;17,254;18,957;
Portugal;;5,420;r;5,620;r;4,200;e;4,700;5,200;
Qatar;;6,080;r;6,880;r;7,500;r, e;7,200;6,600;
Reunion;;350;;250;;170;r, e;180;200;
Romania;;7,621;;8,356;;8,038;;8,442;8,951;
Russia;;69,139;;62,104;;54,935;;54,721;53,678;
Rwandae;;140;;180;;350;;390;400;
Saudi Arabia;;57,223;;61,900;;55,943;;47,134;42,181;
Senegal;;4,899;;4,615;;5,149;;5,197;5,412;
Serbia;;1,605;;1,654;;1,801;;1,908;1,950;
Sierra Leone;;336;;324;;320;e;324;325;
Slovakia;;3,319;;3,466;;3,518;;3,782;3,800;
Slovenia;;706;;600;e;700;e;660;680;
South Africa;;12,068;;12,992;;13,000;;14,000;15,000;
Spain;;14,587;;15,000;e;15,000;e;14,500;14,600;
Sri Lanka;;1,885;;2,287;;2,695;;2,819;2,842;
Sudan;;3,478;;3,708;;4,013;;4,326;4,053;
Suriname;;70;r;70;r;20;r;30;30;
Swedene;;2,500;;2,800;;2,800;;2,800;3,300;
Switzerland;;4,790;;4,390;;4,710;;4,500;4,300;
Syria;;1,850;r;1,850;r;1,600;r;1,600;1,600;
Taiwan;;14,629;r;13,445;;12,126;;10,876;10,939;
Tajikistan;;1,150;;1,418;;1,361;;3,117;3,844;
Tanzania;;2,809;;3,140;r, e;4,071;;4,200;4,509;
Thailand;;36,150;;36,216;;39,940;;33,587;36,000;
Togo;;1,700;e;1,500;;1,500;e;1,500;1,600;
Trinidad and Tobago;;837;;840;;721;;670;650;
Tunisia;;9,127;;9,507;;9,028;;8,053;7,850;
Turkey;;71,239;;71,419;;75,403;;80,552;72,544;
Turkmenistane;;2,900;;3,300;;3,500;;3,600;3,800;
Uganda;;2,141;;2,340;;2,494;;2,498;2,500;
Ukraine;;8,636;;8,511;;9,023;;9,003;8,930;
United Arab Emirates;;20,500;r;20,500;r;22,000;e;23,000;25,000;
United Kingdom;;8,958;;9,235;r;9,370;r;9,359;9,200;
United States6;;83,124;;84,940;;85,153;;86,799;86,999;
Uruguay;;830;r;860;r;740;;817;812;
Uzbekistan;;7,350;;7,900;e;8,222;r;8,497;8,600;
Venezuela;;7,940;;8,210;;7,300;e;8,030;7,000;
Vietnam;;60,982;;67,645;;74,457;;78,843;90,200;
Yemen;;3,190;r;2,530;r;2,400;e;1,950;1,980;
Zambia;;1,900;e;1,800;e;2,000;e;2,210;2,751;
Zimbabwe;;1,280;r;1,510;r;1,650;r;1,750;1,800;
 Grand totale;;4,150,000;;4,070,000;;4,150,000;;4,110,000;4,050,000;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;
1Table includes data available through August 20, 2019. All data are reported unless otherwise noted. Grand totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Data may include clinker exports for some countries.;;;;;;;;;;
2Production is based on fiscal year, with a starting date of June 30 of the year shown.;;;;;;;;;;
3Production is based on fiscal year, with a starting date of March 31 of the year shown.;;;;;;;;;;
4Production is based on fiscal year, with a starting date of July 7 of the year shown.;;;;;;;;;;
5Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;
6Portland and masonry cements only. Includes a small (less than 0.5% per year) component of double-counting where portland cement (not clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of portland cement stockpiles.;;;;;;;;;;
