TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2003;;2004;;2005;;2006;2007e;
Afghanistane;;70;;70; ;60; ;50;50;
Albania;;578;;573;;530;r;600;600;
Algeria;;9,000;e;11,000;e;11,296;;14,702;15,899;
Angola;;700;;754;;1,315;;1,373;1,400;
Argentina;;5,217;;6,254;;7,595;;8,929;9,602;
Armenia  ;;384;;501;;605;;625;722;
Australiae;;8,000;;8,000;;9,000;;9,000;9,000;
Austria;;3,886;;3,976;;4,736;;4,700;4,700;
Azerbaijan ;;1,013;;1,428;;1,538;r;1,622;1,731;
Bahrain;;129;;153;;191;;190;190;
Bangladeshe;;5,000;;5,000;;5,100;;5,100;5,100;
Barbados;;325;;322;;320;e;320;320;
Belarus ;;2,472;;2,731;;3,131;;3,495;3,820;
Belgium;;6,550;;6,715;;7,594;;8,192;8,200;
Benine;;250;;250;;250;;1,489;1,550;
Bhutane;;160;;170;;170;;180;180;
Bolivia;;1,138;;1,276;;1,440;;1,636;1,739;
Bosnia and Herzegovina ;;891;;1,045;;1,026;;1,226;1,300;
Brazil;;34,010;;34,413;;36,673;;39,540;46,406;
Brunei;;236;;242;;266;;270;270;
Bulgariae;;2,100;;2,100;;2,100;;2,000;2,000;
Burkina Fasoe;;30;;30;;30;;30;30;
Burma4;;572;;519;;543;;570;608;
Cambodia;;--;;--;;--;;--;87;
Cameroon ;;949;;1,032;;1,000;e;1,000;1,000;
Canada;;13,416;;13,863;;14,179;;14,336;15,078;
Chile;;3,622;;3,798;;3,999;;4,112;4,440;
China;;862,080;;970,000;;1,068,850;;1,236,770;1,354,120;
Colombia;;7,337;;7,822;;9,959;;10,038;11,068;
Congo (Brazzaville);;--;;--;;100;;100;100;
Congo (Kinshasa) ;;331;;402;;511;;530;550;
Costa Ricae;;1,130;r;1,500;r;1,400;r;1,400;1,400;
Côte d’Ivoiree;;650;;650;;650;;650;650;
Croatia ;;3,654;;3,811;;3,481;;3,633;3,700;
Cuba;;1,346;;1,401;;1,567;;1,705;1,805;
Cyprus  ;;1,637;;1,689;;1,805;;1,786;1,873;
Czech Republic;;3,502;r;3,829;;3,978;;4,239;4,889;
Denmark  ;;1,953;;2,150;;2,120;;2,115;2,100;
Dominican Republic;;2,907;;2,654;;2,779;;2,800;2,800;
Ecuadore;;3,100;;3,000;;3,000;;3,000;3,000;
Egypt  ;;26,639;;28,763;;32,458;r;36,200;38,400;
El Salvador;;1,391;;1,265;;1,131;;1,311;1,350;
Eritreae;;45;;45;;45;;45;45;
Estonia;;506;;615;;726;r;750;750;
Ethiopia;;1,130;;1,316;;1,569;r;1,700;1,700;
Fijie;;120;;120;;143;3;143;145;
Finland;;1,493;r;1,295;;1,357;;1,685;1,743;
France;;19,655;;20,962;;21,277;;22,540;22,300;
French Guianae;;60;;60;;60;;60;60;
Gabone;;260;;260;;260;;260;229;
Georgiae;;345;3;425;3;450;;450;450;
Germany;;32,749;;31,854;;31,009;r;33,630;33,382;
Ghanae  ;;1,900;;1,900;;1,900;;1,900;1,900;
Greece;;14,638;;15,039;;15,166;;15,674;16,667;
See footnotes at end of table.;;;;;;;;;;
;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2003;;2004;;2005;;2006;2007e;
Guadeloupee;;230;3;230;;240;r;230;230;
Guatemalae;;2,000;;2,200;;2,400;;2,500;2,500;
Guineae;;360;;360;;360;;360;360;
Haitie;;290;3;300;;300;;300;300;
Honduras;;1,268;;1,392;;1,384;;1,400;1,400;
Hong Kong;;1,189;;1,039;;1,005;;1,010;1,000;
Hungary;;3,573;;3,349;;3,371;;3,349;3,350;
Iceland;;90;;100;r;132;r;141;90;
Indiae;;123,000;3;130,000;;145,000; ;160,000;170,000;
Indonesia  ;;35,500; ;33,230;;33,917;;35,000;36,000;
Iran  ;;30,460; ;32,198;;32,650;;33,000;35,000;
Iraqe;;1,901;3;2,500;;3,000;;3,500;3,500;
Ireland;;3,830;;5,000;e;5,083;;4,981;5,000;
Israel ;;4,632;;4,494;;5,093;;5,089;5,000;
Italy;;43,580;;45,343;;40,284;;47,814;47,541;
Jamaica;;608;;808;;845;;761;592;
Japan;;68,766;;67,376;;69,629;;69,942;67,685;
Jordan;;3,515;;3,908;;4,046;;3,967;3,969;
Kazakhstan ;;2,570;;3,662;;3,975;;4,880;5,699;
Kenya;;1,658;;1,789;;2,123;;2,174;2,314;
Korea, Northe;;5,540; ;5,630;;5,700;;6,160;6,130;
Korea, Republic of;;60,725;r;56,955;r;51,391;;53,971;57,042;
Kuwait;;1,863;;2,635;;2,145;;2,200;2,200;
Kyrgyzstan;;757;;870;;900;;1,211;1,300;
Laose;;250;;250;;250;;400;400;
Latviae;;295;3;284;3;280;;280;300;
Lebanon ;;3,900;r;4,400;r;4,600;r;4,400;4,900;
Liberia;;25;e;121;;144;;155;157;
Libyae;;3,500;3;3,600;;3,621;3;3,600;3,700;
Lithuania;;597;;753;;832;;1,065;1,105;
Luxembourg;;714;;797;;760;;800;780;
Macedonia ;;768;;820;;800;;800;800;
Madagascare  ;;200;;170;;150;;150;270;
Malawi;;161;;120;;166;r;188;185;
Malaysia;;17,243; ;15,690;;17,860;;18,000;18,000;
Martiniquee;;220;;220;;220;;220;220;
Mauritania;;200;e;300;;300;e;357;410;
Mexico;;33,593;;34,992; ;37,452;;40,362;40,670;
Moldova ;;255;;440;;641;;837;800;
Mongolia;;162;;62;;112;;141;221;
Moroccoe  ;;10,400;;11,000;;11,000;;11,000;11,000;
Mozambique  ;;600;;570;;560;;720;850;
Nepale, 4;;295;;285;;290;;295;300;
Netherlands ;;2,450;;2,380;;2,496;;2,790;2,700;
New Caledonia ;;100;;115;;119;;133;122;
New Zealande;;1,080;;1,110;3;1,100;;1,100;1,100;
Nicaragua;;890;;521;;530;;530;530;
Nigere ;;54;;54;;54;;54;54;
Nigeriae;;2,300;;2,300;;2,400;;3,000;6,500;
Norway;;1,650;;1,420;;1,613;;1,695;1,700;
Oman;;2,500;r;2,621;r;2,686;r;3,611;3,880;
Pakistane ;;13,000;;15,000;;17,000;;20,652;21,000;
See footnotes at end of table.;;;;;;;;;;
;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2003;;2004;;2005;;2006;2007e;
Panama;;889;;1,042;;1,050;;1,050;1,100;
Paraguaye;;520;;470;;550;;600;600;
Perue;;4,000;3;4,590;3;4,600;;5,000;5,000;
Philippines ;;13,067;r;13,346;;15,494;;12,033;13,048;
Poland;;11,653;;12,566;;12,646;;14,688;16,964;
Portugal;;8,567;;8,843;;8,438;;8,340;8,500;
Qatare;;1,400;;1,400;;1,500;3;1,568;2,500;
Réunione;;380;;380;;380;;400;400;
Romania;;5,992;;6,239;;7,032;;8,253;10,061;
Russia ;;41,000;;45,700;;48,500;;54,700;59,900;
Rwanda  ;;105;r;104;;101;;103;103;
Saudi Arabia;;24,147;;25,380;;26,064;;27,053;30,369;
Senegal;;1,694;;2,391;;2,623;;2,884;3,152;
Serbia;;XX;6;XX;6;XX;6;2,565;2,677;
Serbia and Montenegro;;2,075;6;2,240;6;2,276;6;XX;XX;
Sierra Leone;;169;;180;;172;;234;236;
Singaporee;;150;3;--;;--;;--;--;
Slovakia  ;;3,147; ;3,158;;3,499;;3,593;3,718;
Slovenia;;1,370;;1,186;;1,114;;1,269;1,270;
South Africa, sales7;;8,973;r;10,297;r;11,464;r;12,658;13,651;
Spain, including Canary Islands;;44,747;;45,593;r;50,347;;54,033;54,500;
Sri Lankae;;1,164;3;1,400;;1,500;;1,600;1,700;
Sudan ;;272;;307;;331;;202;200;
Surinamee;;65;;65;;65;;65;65;
Sweden;;2,476;;2,588;;2,709;;2,952;2,950;
Switzerland  ;;3,613;;3,851;;4,022;;4,040;4,000;
Syriae;;4,824;3;4,757;3;4,700;;4,700;4,700;
Taiwan;;18,474;;19,050;;19,891;;19,294;18,957;
Tajikistan;;166;;194;;253;;282;300;
Tanzania ;;1,186; ;1,281;;1,366;;1,432;1,513;
Thailand ;;32,530; ;35,626;;37,872;;39,408;35,668;
Togoe  ;;800; ;800;;800;;800;800;
Trinidad and Tobago;;766; ;768;;686;;883;890;
Tunisia;;6,038; ;6,662;;6,691;;6,932;7,052;
Turkey;;35,077; ;38,796;;42,787;;47,499;49,553;
Turkmenistane;;450; ;550;;650;;800;900;
Ugandae;;507;3;559;3;630;;630;650;
Ukraine ;;8,923;r;10,635;r;12,183;;13,732;15,000;
United Arab Emiratese;;8,000; ;9,000;;9,800;3;9,800;12,500;
United Kingdom;;11,215;;11,405;;11,216;;12,119;11,900;
United States, including Puerto Rico8;;94,329;;99,015;;100,903;;99,712;96,850;
Uruguaye;;1,050;;1,050;;1,050;;1,050;1,050;
Uzbekistan;;4,805;r;5,068;r;5,068;;5,000;5,000;
Venezuelae;;7,700;;9,000;;10,000;;11,000;11,000;
