TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2010;;2011;;2012;;2013;;2014;;
Afghanistan;;36;;38;;37;;52;r;102;;
Albaniae;;1,300;;1,800;;2,200;r;2,300;r;2,200;;
Algeriae;;19,100;3;19,000;;19,000;;18,500;r;21,000;;
Angolae;;1,500;;1,500;;1,600;;2,000;r;2,500;;
Argentina;;10,423;;11,592;;10,716;;11,892;;11,408;;
Armenia;;488;;422;;438;;431;;427;;
Australiae;;8,300;;8,600;;8,500;;8,400;;9,000;;
Austria;;4,254;;4,427;;4,455;;4,385;;4,400;e;
Azerbaijan ;;1,279;;1,425;;1,966;;2,296;;2,867;;
Bahraine;;1,200;r;1,300;r;1,350;r;1,350;r;1,500;;
Bangladesh4;;13,770;;14,690;;15,250;r;16,780;r;17,000;e;
Barbados;;229;;223;;176;;160;;160;e;
Belarus ;;4,531;;4,604;;4,906;;5,057;;5,618;;
Belgium;;6,095;;6,954;;6,280;;6,119;;6,100;e;
Benin;;1,305;;1,460;;1,390;;1,422;;1,396;;
Bhutane;;200;;544;3;521;3;570;r, 3;690;;
Bolivia;;2,414;;2,658;;2,714;;3,100;r;3,500;e;
Bosnia and Herzegovina ;;949;;893;;846;;882;;840;;
Botswanae;;260;;300;r;367;r, 3;370;r;370;;
Brazil;;59,118;;64,093;;69,323;;69,975;;71,254;;
Bruneie;;270;;290;;330;r, 3;340;r, 3;350;;
Bulgaria;;1,961;;1,868;r;1,491;r;1,812;r;1,850;e;
Burkina Faso;;587;;590;e;659;;580;;403;;
Burma5;;534;r;538;r;922;r;1,121;r;1,317;;
Burundi;;--;;35;;71;;100;;70;e;
Cambodiae;;789;3;907;3;980;;1,060;r, 3;1,400;;
Cameroone;;1,000;;1,146;3;1,275;3;1,400;;1,300;3;
Canada;;12,431;;12,001;;12,465;;11,611;;11,879;;
Chad;;--;;--;;140;;180;;200;e;
Chile;;3,871;;4,406;;4,722;;4,880;r;5,000;e;
China;;1,822,000;;2,099,000;;2,210,000;;2,411,000;r;2,492,000;p;
Colombia;;9,505;r;10,779;r;10,925;;11,252;;12,384;;
Congo (Brazzaville)e;;80;;70;;150;3;250;r, 3;460;;
Congo (Kinshasa) ;;490;;458;;413;;447;;330;;
Costa Ricae;;1,276;3;1,400;;1,400;;1,460;r, 3;1,500;;
Côte d’Ivoiree;;1,800;r;1,800;r;1,900;r;2,300;r;2,600;;
Croatia;;2,488;r;2,467;r;2,154;r;2,333;r;2,345;;
Cuba;;1,631;r;1,736;r;1,825;r;1,659;;1,580;;
Cyprus;;1,329;;1,207;;1,026;;855;;735;;
Czech Republic;;3,379;;3,931;;3,434;;3,211;;3,691;;
Denmark, grey and white;;1,553;;1,811;;1,798;;1,830;;1,876;;
Djibouti;;--;;--;;--;;150;;350;e;
Dominican Republic;;4,106;;3,997;;4,130;;4,246;r;4,800;e;
Ecuador;;5,287;;5,706;;6,025;;6,670;r;6,600;e;
Egypte;;44,592;3;43,384;3;55,200;3;50,000;;49,000;;
El Salvador;;1,290;;1,320;;1,380;;1,200;r;1,000;e;
Eritreae;;45;;190;;260;;260;;300;;
Estonia;;375;;451;;482;;457;r;447;;
Ethiopiae, 6;;1,639;3;2,082;3;3,500;;5,000;;5,400;;
Fiji;;163;r;170;r;150;r;181;r;190;e;
Finland;;1,215;;1,387;;1,293;;1,300;;1,250;e;
France;;17,733;;19,270;;17,810;;18,018;;17,000;e;
French Guianae;;89;3;90;r;100;;92;3;86;3;
Gabone;;223;3;226;3;200;r;170;r;170;;
Georgia;;857;;1,502;r;1,546;r;1,619;r;1,626;;
Germany;;29,203;;33,540;r;32,432;r;31,308;;32,099;;
Ghana, from imported clinkere;;2,100;;2,500;;3,000;;3,000;;3,000;;
Greece;;9,268;r;5,553;r;5,005;r;5,990;r;5,128;;
Guadeloupee;;300;;300;;300;;300;;300;;
Guatemala;;2,794;;2,850;;2,880;;2,970;r;3,500;e;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2010;;2011;;2012;;2013;;2014;;
Guinea;;237;;365;;317;;377;;500;e;
Guyana;;--;;--;;--;;--;;2;e;
Haitie;;300;;300;;300;;300;;300;;
Hondurase;;1,600;;1,620;3;1,730;3;1,700;;1,700;;
Hong Kong;;1,461;;1,537;;1,675;;1,768;;1,900;e;
Hungary;;2,136;;1,694;;1,870;;2,022;;2,100;e;
Iceland;;140;e;140;e;--;r;--;r;--;;
Indiae;;220,000;;240,000;r;270,000;;280,000;;275,000;;
Indonesia;;39,480;;45,238;;52,350;r;56,690;r;58,000;e;
