TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2004;;2005;;2006;;2007;;2008e;;
Afghanistane;;70; ;60; ;50; ;50;;50;;
Albania;;573;;489;r;525;r;889;r;890;;
Algeria;;11,000;e;12,800;r;14,702;;15,886;r;17,397;3;
Angola;;754;;1,315;;1,373;;1,400;e;1,400;;
Argentina;;6,254;;7,595;;8,929;;9,602;;9,703;3;
Armenia  ;;501;;605;;625;;722;;770;;
Australiae;;8,000;;9,000;;9,000;;9,000;;8,500;;
Austria;;4,356;r;4,560;r;4,852;r;5,202;r;5,309;3;
Azerbaijan ;;1,428;;1,538;;1,622;;1,731;;1,800;;
Bahrain;;400;r;400;r;400;r;400;r;370;;
Bangladeshe;;5,000;;5,100;;5,100;;5,100;;5,000;;
Barbados;;322;;341;r;338;r;294;r;300;;
Belarus ;;2,731;;3,131;;3,495;;3,820;;4,219;3;
Belgium;;6,715;;7,594;;8,192;;8,200;e;8,200;;
Benine;;250;;250;;1,489;3;1,550;3;1,600;;
Bhutane;;170;;170;;180;;180;;170;;
Bolivia;;1,276;;1,440;;1,636;;1,739;;1,700;;
Bosnia and Herzegovina ;;1,045;;1,026;;1,226;;1,283;r;1,406;3;
Brazil;;34,413;;36,673;;39,540;;46,406;;51,865;3;
Brunei;;242;;266;;240;r, e;200;r, e;200;;
Bulgaria;;2,939;r;3,618;r;4,093;r;4,413;r;4,400;;
Burkina Fasoe;;30;;30;;30;;30;;30;;
Burma4;;519;;543;;570;;608;;676;3;
Cambodia;;--;;--;;--;;87;;87;;
Cameroon ;;1,032;;1,000;e;1,000;;1,000;e;1,000;;
Canada;;13,863;;14,179;;14,336;;15,078;;13,672;p, 3;
Chile;;3,798;;3,999;;4,112;;4,440;;4,622;3;
China;;970,000;;1,068,850;;1,236,770;;1,361,170;r;1,388,380;p, 3;
Colombia;;7,822;;9,959;;10,038;5;11,068;5;10,456;3, 5;
Congo (Brazzaville);;--;;100;;100;e;100;e;110;;
Congo (Kinshasa) ;;402;;511;;530;;520;r, e;520;;
Costa Ricae;;1,500;;1,400;;1,400;3;1,400;;1,400;;
Côte d’Ivoiree;;650;;650;;650; ;650;;650;;
Croatia ;;3,811;;3,481;;3,598;r;3,524;r;3,500;;
Cuba;;1,401;;1,567;;1,705;;1,805;;1,800;;
Cyprus  ;;1,689;;1,805;;1,786;;1,873;;1,870;;
Czech Republic;;3,829;;3,978;;4,239;;4,899;;4,805;3;
Denmark  ;;2,150;;2,120;;2,115;;2,100;e;2,100;;
Dominican Republic;;2,654;;2,779;;3,777;r;4,100;r, e;4,000;;
Ecuadore;;3,470;r;3,690;r;4,110;r;4,420;r;4,000;;
Egypt  ;;28,763;;32,458;;36,200;;38,400;;40,000;;
El Salvador;;1,265;;1,131;;1,311;;1,300;r, e;1,300;;
Eritreae;;45;;45;;45;;45;;45;;
Estonia;;615;;726;;849;r;937;r;808;3;
Ethiopia;;1,316;;1,569;;1,676;r;1,800;r, e;1,820;;
Fijie;;120;;143;3;143;;145;;143;;
Finland;;1,295;;1,357;;1,685;;1,743;;1,745;3;
France;;20,962;;21,277;;22,540;;22,300;e;21,700;3;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2004;;2005;;2006;;2007;;2008e;;
French Guianae;;60;;60;;60;;60;;62;;
Gabone;;260;;260;;260; ;229;3;230;;
Georgiae;;425;3;450;;450;;450;;450;;
Germany;;31,854;;31,009;;33,630;;33,382;;33,581;3;
Ghanae  ;;1,900;;1,900;;1,900;;1,900;;1,900;;
Greece;;15,039;;15,166;;15,674;;16,667;;16,500;;
Guadeloupee;;230;;240;;230;;230;;230;;
Guatemalae;;2,200;;2,400;;2,500;;2,500;;2,500;;
Guineae;;360;;360;;360;;360;;360;;
Haitie;;300;;300;;300;;300;;300;;
Honduras;;1,392;;1,384;;1,800;r, e;1,800;r, e;1,800;;
Hong Kong;;1,039;;1,005;;1,010;e;1,000;e;1,000;;
