TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2011;;2012;;2013;;2014;2015;
Afghanistan;;38;;37;;52;;87;70;
Albaniae;;1,800;;2,230;r;2,300;;2,200;2,200;
Algeriae;;19,000;;19,000;;18,500;;21,000;23,000;
Angolae;;2,000;r;3,000;r;4,000;r;5,100;5,200;
Argentina;;11,592;;10,716;;11,892;;11,408;11,000;
Armenia;;422;;438;;431;;422;417;
Australiae;;8,600;;8,500;;8,400;;9,000;9,000;
Austria;;4,427;;4,455;;4,385;;4,400;4,810;
Azerbaijan;;1,425;;1,966;;2,296;;2,941;2,683;
Bahraine;;1,300;;1,350;;1,350;;1,300;1,300;
Bangladesh3;;14,690;;15,250;;16,780;;17,000;18,000;
Barbados;;223;;176;;160;;160;160;
Belarus;;4,604;;4,906;;5,057;;5,617;4,638;
Belgium;;6,954;;6,280;;6,119;;6,364;6,300;
Benin;;1,460;;1,390;;1,422;;1,396;1,800;
Bhutan;;544;;521;;570;;690;791;
Bolivia;;2,658;;2,714;;3,061;r;3,337;3,500;
Bosnia and Herzegovina;;893;;846;;882;;840;808;
Botswanae;;15;r;15;r;15;r;15;15;
Brazil;;64,093;;69,323;;69,975;;71,254;65,283;
Brunei;;290;e;330;;340;;240;230;
Bulgaria;;1,882;r;1,803;r;1,815;r;1,793;2,114;
Burkina Faso;;590;e;659;;580;;403;263;
Burma4;;538;;922;;1,121;;1,317;773;
Burundie;;35;5;71;5;100;;70;100;
Cambodia;;907;;980;;1,060;;1,400;1,500;
Cameroon;;1,146;;1,275;;1,400;e;1,300;1,600;
Canada;;12,001;;12,465;;11,611;;11,879;12,167;
Chade;;2;r;140;;180;5;200;200;
Chile;;4,406;;4,722;;4,880;;5,000;4,800;
China;;2,099,000;;2,210,000;;2,411,000;;2,492,000;2,359,000;
Colombia;;10,779;;10,925;;11,252;;12,384;13,153;
Congo (Brazzaville)e;;70;;150;5;250;5;460;700;
Congo (Kinshasa);;458;;413;;447;;330;399;
Costa Ricae;;1,400;;1,400;;1,460;5;1,500;1,600;
Côte d’Ivoiree;;1,800;;1,900;;2,300;;2,690;3,100;
Croatia;;2,682;r;2,254;r;2,436;r;2,471;2,458;
Cuba;;1,736;;1,825;;1,659;;1,580;1,518;
Cyprus;;1,207;;1,026;;855;;735;788;
Czech Republic;;3,831;r;3,434;;3,211;;3,511;3,781;
Denmark;;1,811;;1,798;;1,830;;1,876;1,900;
Djiboutie;;--;;--;;150;;170;180;
Dominican Republic;;3,997;;4,130;;4,246;;5,018;5,000;
Ecuador;;5,706;;6,025;;6,670;;6,600;6,200;
Egypt;;43,884;r;55,200;;50,000;e;52,080;53,940;
El Salvadore;;1,320;5;1,380;5;1,200;;1,000;1,000;
Eritreae;;160;r;230;r;230;r;290;300;
Estonia;;451;;482;;457;;447;390;
Ethiopia6;;2,082;;3,548;r;4,493;r;5,424;7,500;
Fiji;;170;;150;;181;;188;204;
Finlande;;1,387;5;1,293;5;1,300;;1,250;1,300;
France;;19,270;;17,810;;18,018;;16,400;15,600;
French Guianae;;90;;100;;94;r;87;83;
Gabone;;226;5;200;;170;;170;150;
Georgia;;1,502;;1,546;;1,619;;1,626;1,755;
Germany;;32,779;r;32,432;;31,308;;32,099;31,160;
Ghanae;;2,500;;4,600;r, 5;4,500;r;4,500;3,830;
Greece;;5,553;;5,005;;5,990;;5,128;5,500;
Guadaloupee, 7;;300;;300;;300;;300;300;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2011;;2012;;2013;;2014;2015;
Guatemala;;2,850;;2,880;;2,970;;3,500;3,500;
Guinea;;365;;317;;377;;435;500;
Guyana;;--;;--;;--;;2;100;
Haitie;;50;r;75;r;100;r;200;200;
Hondurase;;1,620;5;1,730;5;1,700;;1,700;1,700;
Hong Kong;;1,537;;1,675;;1,768;;1,900;1,900;
Hungary;;1,694;;1,870;;2,022;;2,100;2,000;
Iceland;;142;r;146;r;--;;--;--;
Indiae;;240,000;;270,000;;280,000;;280,000;300,000;
Indonesia;;45,238;;52,350;;56,690;;56,760;59,850;
Iran;;66,000;e;70,250;;68,700;;66,700;58,600;
Iraqe;;10,000;;10,000;;12,000;;9,000;10,000;
Irelande;;2,103;5;1,198;5;2,000;;2,000;2,500;
Israel;;5,480;;5,892;;6,398;;6,603;6,904;
Italy;;33,120;;26,240;;23,100;;21,400;22,000;
Jamaica;;766;;760;;825;;830;808;
Japan;;51,291;;54,737;;57,962;;57,913;54,827;
Jordan;;2,816;;4,060;;4,200;;4,400;4,500;
Kazakhstan;;7,642;;7,050;;7,072;;8,140;8,729;
Kenya;;4,478;;4,694;r;5,059;;5,883;6,353;
Korea, North;;6,452;r;6,446;r;6,600;r;6,675;6,697;
Korea, Republic of;;48,249;;46,862;;47,291;;47,048;52,044;
Kosovoe;;420;;535;;560;;630;590;
Kuwaite;;2,250;;2,400;;3,000;;3,800;4,200;
Kyrgyzstan;;1,022;;1,239;;1,676;r;1,730;1,496;
Laose;;1,300;;1,500;;1,500;;1,900;2,000;
Latviae;;752;5;901;5;1,000;;1,100;1,100;
Lebanon;;5,550;;5,309;;5,831;;5,517;5,130;
Liberia;;81;;122;;194;;295;298;
Libyae;;3,500;;2,000;;2,000;;3,300;2,700;
Lithuania;;996;;1,015;;1,070;;903;980;
Luxembourg;;1,229;r;1,177;;980;;1,100;1,000;
Macau;;450;;440;;580;;590;600;
Macedonia;;930;r;645;r;730;r;660;672;
Madagascare;;200;;230;;230;;240;240;
Malawie;;250;r;240;r;230;r;270;280;
Malaysia;;21,198;;21,726;;21,457;;21,700;22,000;
Mali;;--;;--;;440;;660;630;
Martiniquee;;150;;150;;150;;150;150;
Mauritania;;565;;630;r;690;;870;860;
Mexico;;35,400;;36,184;;34,612;;36,597;39,613;
Moldovae;;1,000;;1,200;;1,150;;1,300;1,200;
Mongolia;;426;;349;;259;;411;410;
Morocco;;14,000;e;16,270;;16,870;;15,710;16,000;
Mozambique8;;976;;1,184;;1,299;;1,512;1,585;
Namibia;;390;;501;;662;;731;796;
Nepale;;2,100;;2,720;5;2,990;5;3,100;2,000;
Netherlandse;;2,318;5;2,056;5;2,000;;2,000;2,200;
New Caledoniae, 9;;146;;125;;119;;106;112;
New Zealande;;1,200;;1,140;5;1,200;r;1,100;1,200;
Nicaraguae;;700;;620;;650;;700;700;
Niger;;66;r;75;r;29;;21;51;
Nigeriae;;12,000;;16,000;;20,000;;20,000;21,000;
Norwaye;;1,387;5;1,659;5;1,700;;1,700;1,800;
Omane;;5,000;;6,100;r;5,800;r, 5;5,100;5,300;
Pakistan;;29,163;r;30,183;r;31,460;r;31,960;33,290;
Panama;;1,766;;2,310;;2,366;;2,188;2,200;
Papua New Guineae;;200;;200;;200;;200;200;
Paraguaye;;650;;800;;960;;1,000;1,200;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2011;;2012;;2013;;2014;2015;
Peru;;8,500;e;9,847;r;10,527;;10,676;10,410;
Philippines;;16,063;;18,907;;20,150;;21,305;24,050;
Poland;;18,552;;15,468;r;14,538;;15,358;15,750;
Portugale;;5,069;5;4,090;5;5,000;;6,000;6,500;
Qatare;;5,000;;5,500;;5,335;5;6,500;6,500;
Reunione;;250;;350;;400;;400;350;
Romania;;8,087;r;8,223;;7,451;;7,621;8,356;
Russia;;56,200;;61,700;;66,503;;69,139;62,104;
Rwandae;;94;5;106;5;130;r;140;200;
Saudi Arabia;;48,450;;53,332;;56,238;;57,223;61,900;
Senegal;;4,677;;4,689;;5,191;;4,899;4,615;
Serbia;;2,095;;1,831;;1,592;;1,605;1,654;
Sierra Leone;;311;;335;;313;;336;324;
Slovakia;;3,219;;2,915;;3,121;;3,319;3,466;
Slovenia;;760;r;745;r;614;r;706;600;
South Africa, finished products, sales;;11,234;;11,560;;12,168;r;12,068;13,000;
Spain;;22,178;;15,939;;13,736;;14,587;15,000;
Sri Lanka;;1,984;;2,066;r;1,929;;1,885;2,287;
Sudan;;3,002;;3,511;;3,538;;3,478;3,708;
Suriname;;74;;114;;131;;130;160;
Sweden;;2,064;;2,141;;2,560;;2,500;2,800;
Switzerland;;4,750;r;4,467;r;4,640;r;4,280;4,330;
Syriae;;5,000;;6,000;;4,000;;3,800;4,000;
Taiwan;;16,852;;15,808;;16,554;;14,592;13,445;
Tajikistan;;299;;232;r;384;;1,150;1,410;
Tanzania;;2,409;;2,581;;2,346;;2,809;3,135;
Thailand;;30,290;;31,760;;35,854;;34,980;36,216;
Togoe, 10;;1,200;r;1,600;r;1,800;r;1,700;1,500;
Trinidad and Tobago;;827;;654;;802;;837;840;
Tunisia;;7,055;;7,241;;7,504;;9,127;9,516;
Turkey;;63,405;;63,879;;71,337;;71,329;71,419;
Turkmenistan;;1,950;;2,370;;2,650;;2,900;3,300;
Uganda;;1,666;;1,780;;2,023;;2,141;2,330;
Ukraine;;10,515;;9,843;;9,857;;8,636;8,511;
United Arab Emiratese;;16,000;r;15,000;r;16,000;r;20,000;20,000;
United Kingdom;;8,529;;7,952;;8,203;;8,958;9,600;
United States, including Puerto Rico11;;68,639;;74,934;;77,415;;83,124;84,940;
Uruguay;;968;;872;;850;e;820;730;
Uzbekistan;;6,698;;6,800;;6,990;;7,350;8,250;
Venezuela;;7,760;;8,440;r;8,846;r;7,940;8,210;
Vietnam;;58,271;;56,353;r;57,516;;60,982;67,427;
Yemene;;2,800;r;2,760;5;3,300;5;3,100;3,100;
Zambiae;;1,200;r;1,600;r;1,810;5;2,200;2,100;
Zimbabwee;;1,000;;1,480;5;1,200;r;1,300;1,300;
Totale;;3,630,000;;3,820,000;;4,070,000;;4,190,000;4,100,000;
eEstimated. rRevised. -- Zero.;;;;;;;;;;
