Nr. Kto:Komitet:Nr UdziałOkr GłosyRazem (OkrNr=GłosyRazemOkr)
-------------------------------------------------------------
   1. BUZEK Jerzy Karol:PO:1 30.01% 254319 (11=847419)
   2. HÜBNER Danuta Maria:PO:1 29.56% 225546 (4=762886)
   3. WOJCIECHOWSKI Janusz Czesław:PiS:1 28.81% 134975 (6=468467)
   4. PORĘBA Tomasz Piotr:PiS:1 28.57% 113704 (9=397991)
   5. ZDROJEWSKI Bogdan Andrzej:PO:1 24.53% 162426 (12=662066)
   6. LEWANDOWSKI Janusz Antoni:PO:1 23.48% 107814 (1=459105)
   7. SARYUSZ-WOLSKI Jacek Emil:PO:1 20.82% 97551 (6=468467)
   8. ROSATI Dariusz Kajetan:PO:1 19.89% 84686 (13=425708)
   9. PIOTROWSKI Mirosław Mariusz:PiS:2 18.39% 73465 (8=399483)
  10. KUŹMIUK Zbigniew Krzysztof:PiS:4 17.61% 69035 (5=392066)
  11. ZEMKE Janusz Władysław:SLDUP:1 17.31% 62118 (2=358763)
  12. KARSKI Karol Adam:PiS:1 17.21% 67997 (3=395040)
  13. KUDRYCKA Barbara:PO:1 15.55% 61418 (3=395040)
  14. CZARNECKI Ryszard Henryk:PiS:1 14.40% 84228 (7=585119)
  15. PIECHA Bolesław Grzegorz:PiS:1 14.04% 118964 (11=847419)
  16. GRÄFIN VON THUN UND HOHENSTEIN Róża Maria:PO:1 13.74% 125738 (10=915211)
  17. GRÓBARCZYK Marek Józef:PiS:1 12.89% 54864 (13=425708)
  18. KRASNODĘBSKI Zdzisław Marek:PiS:1 12.62% 96292 (4=762886)
  19. FOTYGA Anna Elżbieta:PiS:1 12.35% 56677 (1=459105)
  20. ZWIEFKA Tadeusz Antoni:PO:3 12.24% 43918 (2=358763)
  21. WAŁĘSA Jarosław Leszek:PO:10 12.18% 55898 (1=459105)
  22. JACKIEWICZ Dawid Bohdan:PiS:1 12.07% 79942 (12=662066)
  23. SZEJNFELD Adam Stanisław:PO:2 11.94% 69852 (7=585119)
  24. ZŁOTOWSKI Kosma Tadeusz:PiS:1 11.48% 41188 (2=358763)
  25. KOZŁOWSKA-RAJEWICZ Agnieszka:PO:1 11.35% 66419 (7=585119)
  26. ZYBERTOWICZ Andrzej Janusz:PiS:2 11.12% 39911 (2=358763)
  27. PARUCH Waldemar:PiS:1 10.91% 43575 (8=399483)
  28. DUDA Andrzej Sebastian:PiS:2 10.71% 97996 (10=915211)
  29. ŁUKACIJEWSKA Elżbieta Katarzyna:PO:1 10.52% 41867 (9=397991)
  30. LIBERADZKI Bogusław Marian:SLDUP:1 10.18% 43348 (13=425708)
  31. PITERA Julia Teresa:PO:1 9.51% 37269 (5=392066)
  32. OŻÓG Stanisław:PiS:3 9.14% 36376 (9=397991)
  33. VINCENT-ROSTOWSKI Jan Antony:PO:1 9.06% 32514 (2=358763)
  34. JASIŃSKI Wojciech Stefan:PiS:1 8.98% 35193 (5=392066)
  35. LEGUTKO Ryszard Antoni:PiS:1 8.87% 81201 (10=915211)
  36. JUREK Marek:PiS:5 8.72% 66505 (4=762886)
  37. KALINOWSKI Jarosław:PSL:1 8.64% 33879 (5=392066)
  38. GERINGER DE OEDENBERG Lidia Joanna:SLDUP:1 8.12% 53790 (12=662066)
  39. KORWIN-MIKKE Janusz Ryszard:Korwin:1 8.02% 67928 (11=847419)
