Year;Sex;Category;Name;Birthdate;Age;BirthPlace;County;BirthPlaceNow;Coords
1944;M;literature;Johannes Vilhelm Jensen;[1873];1944;Farsř;Denmark;Farsř, Denmark;NOK[ZERO_RESULTS]
1944;M;medicine;Herbert Spencer Gasser;[1888];1944;Platteville WI;USA;Platteville WI, USA;42.73416,-90.4784621
1944;M;medicine;Joseph Erlanger;[1874];1944;San Francisco CA;USA;San Francisco CA, USA;37.7749295,-122.4194155
1944;NA;peace;Comité international de la Croix Rouge (International Committee of the Red Cross);[1863];1944;;Switzerland;, Switzerland;37.7749295,-122.4194155
1944;M;physics;Isidor Isaac Rabi;[1898];1944;Rymanow;Austria-Hungary;Rymanow, Poland;49.57642,21.86815
1945;M;chemistry;Artturi Ilmari Virtanen;[1895];1945;Helsinki;Russian Empire;Helsinki, Finland;60.1698557,24.9383791
1945;F;literature;Gabriela Mistral;[1889];1945;Vicuńa;Chile;Vicuńa, Chile;-30.0319,-70.7081
1945;M;medicine;Ernst Boris Chain;[1906];1945;Berlin;Germany;Berlin, Germany;-30.0319,-70.7081
1945;M;medicine;Sir Alexander Fleming;[1881];1945;Lochfield;Scotland;Lochfield, Scotland;55.609843,-4.286513
1945;M;medicine;Sir Howard Walter Florey;[1898];1945;Adelaide;Australia;Adelaide, Australia;55.609843,-4.286513
1945;M;peace;Cordell Hull;[1871];1945;Olympus TN;USA;Olympus TN, USA;35.20559,-89.809929
1945;M;physics;Wolfgang Pauli;[1900];1945;Vienna;Austria;Vienna, Austria;35.20559,-89.809929
1946;M;chemistry;James Batcheller Sumner;[1887];1946;Canton MA;USA;Canton MA, USA;42.1584324,-71.1447732
1946;M;chemistry;John Howard Northrop;[1891];1946;Yonkers NY;USA;Yonkers NY, USA;40.9312099,-73.8987469
1946;M;chemistry;Wendell Meredith Stanley;[1904];1946;Ridgeville IN;USA;Ridgeville IN, USA;40.2892107,-85.028857
1946;M;literature;Hermann Hesse;[1877];1946;Calw;Germany;Calw, Germany;48.7122107,8.7472439
1946;M;medicine;Hermann Joseph Muller;1890;56;New York NY;USA;New York NY, USA;48.7122107,8.7472439
1946;F;peace;Emily Greene Balch;[1867];1946;Jamaica Plain MA;USA;Boston MA, USA;48.7122107,8.7472439
1946;M;peace;John Raleigh Mott;[1865];1946;Livingston Manor NY;USA;Livingston Manor NY, USA;41.9003667,-74.8282167
1946;M;physics;Percy Williams Bridgman;[1882];1946;Cambridge MA;USA;Cambridge MA, USA;42.3736158,-71.1097335
1947;M;chemistry;Sir Robert Robinson;[1886];1947;Rufford near Chesterfield;United Kingdom;Rufford near Chesterfield, United Kingdom;53.2286554,-1.4400147
1947;M;literature;André Paul Guillaume Gide;[1869];1947;Paris;France;Paris, France;53.2286554,-1.4400147
1947;M;medicine;Bernardo Alberto Houssay;[1887];1947;Buenos Aires;Argentina;Buenos Aires, Argentina;53.2286554,-1.4400147
1947;M;medicine;Carl Ferdinand Cori;[1896];1947;Prague;Austria-Hungary;Prague, Czech Republic;53.2286554,-1.4400147
1947;F;medicine;Gerty Theresa Cori, née Radnitz;[1896];1947;Prague;Austria-Hungary;Prague, Czech Republic;53.2286554,-1.4400147
1947;NA;peace;American Friends Service Committee (The Quakers);[1917];1947;DC;USA;DC, USA;38.929591,-77.0331936
1947;NA;peace;Friends Service Council (The Quakers);[1647];1947;;United Kingdom;, United Kingdom;55.378051,-3.435973
1947;M;physics;Sir Edward Victor Appleton;[1892];1947;Bradford;United Kingdom;Bradford, United Kingdom;53.795984,-1.759398
1948;M;chemistry;Arne Wilhelm Kaurin Tiselius;[1902];1948;Stockholm;Sweden;Stockholm, Sweden;53.795984,-1.759398
1948;M;literature;Thomas Stearns Eliot;[1888];1948;St. Louis MO;USA;St. Louis MO, USA;38.6270025,-90.1994042
1948;M;medicine;Paul Hermann Müller;[1899];1948;Olten;Switzerland;Olten, Switzerland;47.3499624,7.9037034
1948;M;physics;Patrick Maynard Stuart Blackett;[1897];1948;London;United Kingdom;London, United Kingdom;47.3499624,7.9037034
1949;M;chemistry;William Francis Giauque;[1895];1949;Niagara Falls;Canada;Niagara Falls, Canada;43.0895577,-79.0849436
1949;M;literature;William Faulkner;[1897];1949;New Albany MO;USA;New Albany MO, USA;38.2837371,-85.7491581
1949;M;medicine;Antonio Caetano de Abreu Freire Egas Moniz;[1874];1949;Avança;Portugal;Avança, Portugal;40.8068092,-8.5666077
1949;M;medicine;Walter Rudolf Hess;[1881];1949;Frauenfeld;Switzerland;Frauenfeld, Switzerland;40.8068092,-8.5666077
1949;M;peace;Lord (John) Boyd Orr of Brechin;[1880];1949;Kilmaurs;Scotland;Kilmaurs, Scotland;55.639161,-4.527757
1949;M;physics;Hideki Yukawa;[1907];1949;Tokyo;Japan;Tokyo, Japan;35.6894875,139.6917064
1950;M;chemistry;Kurt Alder;[1902];1950;Königshütte;Prussia;Chorzów, Poland;50.2974884,18.9545728
1950;M;chemistry;Otto Paul Hermann Diels;[1876];1950;Hamburg;Germany;Hamburg, Germany;50.2974884,18.9545728
1950;M;literature;Earl (Bertrand Arthur William) Russell;[1872];1950;Trelleck;United Kingdom;Trelleck, United Kingdom;51.741594,-2.724085
1950;M;medicine;Edward Calvin Kendall;[1886];1950;South Norwalk CT;USA;South Norwalk CT, USA;41.0937079,-73.4187303
1950;M;medicine;Philip Showalter Hench;[1896];1950;Pittsburgh PA;USA;Pittsburgh PA, USA;40.4406248,-79.9958864
1950;M;medicine;Tadeus Reichstein;[1897];1950;Wloclawek;Poland;Wloclawek, Poland;52.6483303,19.0677357
1950;M;peace;Ralph Bunche;[1904];1950;Detroit MI;USA;Detroit MI, USA;42.331427,-83.0457538
1950;M;physics;Cecil Frank Powell;[1903];1950;Tonbridge;United Kingdom;Tonbridge, United Kingdom;51.195043,0.27568
1951;M;chemistry;Edwin Mattison McMillan;[1907];1951;Redondo Beach CA;USA;Redondo Beach CA, USA;33.8491816,-118.3884078
1951;M;chemistry;Glenn Theodore Seaborg;[1912];1951;Ishpeming MI;USA;Ishpeming MI, USA;46.4885469,-87.6676358
1951;M;literature;Pär Fabian Lagerkvist;[1891];1951;Växjö;Sweden;Växjö, Sweden;56.8790044,14.8058523
1951;M;medicine;Max Theiler;[1899];1951;Pretoria;South Africa;Pretoria, South Africa;-25.7478676,28.2292712
1951;M;peace;Léon Jouhaux;[1879];1951;Paris;France;Paris, France;-25.7478676,28.2292712
1951;M;physics;Ernest Thomas Sinton Walton;[1903];1951;Dungarvan;Ireland;Dungarvan, Ireland;52.0936763,-7.6203627
1951;M;physics;Sir John Douglas Cockcroft;[1897];1951;Todmorden;United Kingdom;Todmorden, United Kingdom;53.716344,-2.0987969
1952;M;chemistry;Archer John Porter Martin;[1910];1952;London;United Kingdom;London, United Kingdom;53.716344,-2.0987969
1952;M;chemistry;Richard Laurence Millington Synge;[1914];1952;Liverpool;United Kingdom;Liverpool, United Kingdom;53.4083714,-2.9915726
1952;M;literature;François Mauriac;[1885];1952;Bordeaux;France;Bordeaux, France;44.837789,-0.57918
1952;M;medicine;Selman Abraham Waksman;[1888];1952;Priluka;Russian Empire;Pryluky, Ukraine;50.5884714,32.3875825
1952;M;peace;Albert Schweitzer;[1875];1952;Kaysersberg;Germany;Kaysersberg, France;48.13889,7.264023
1952;M;physics;Edward Mills Purcell;[1912];1952;Taylorville IL;USA;Taylorville IL, USA;39.548935,-89.294533
1952;M;physics;Felix Bloch;[1905];1952;Zurich;Switzerland;Zurich, Switzerland;47.3768866,8.541694
1953;M;chemistry;Hermann Staudinger;[1881];1953;Worms;Germany;Worms, Germany;49.6341372,8.3507182
1953;M;literature;Sir Winston Leonard Spencer Churchill;[1874];1953;Woodstock;United Kingdom;Woodstock, United Kingdom;51.847267,-1.354091
1953;M;medicine;Fritz Albert Lipmann;[1899];1953;Koenigsberg;Germany;Kaliningrad, Russia;51.847267,-1.354091
1953;M;medicine;Hans Adolf Krebs;[1900];1953;Hildesheim;Germany;Hildesheim, Germany;52.154778,9.9579652
1953;M;peace;George Catlett Marshall;[1880];1953;Uniontown PA;USA;Uniontown PA, USA;39.900076,-79.7164326
1953;M;physics;Frits (Frederik) Zernike;[1888];1953;Amsterdam;the Netherlands;Amsterdam, the Netherlands;39.900076,-79.7164326
1954;M;chemistry;Linus Carl Pauling;[1901];1954;Portland OR;USA;Portland OR, USA;45.5230622,-122.6764815
1954;M;literature;Ernest Miller Hemingway;[1899];1954;Oak Park IL;USA;Oak Park IL, USA;41.8850317,-87.7845025
1954;M;medicine;Frederick Chapman Robbins;[1916];1954;Auburn AL;USA;Auburn AL, USA;32.6098566,-85.4807825
1954;M;medicine;John Franklin Enders;[1897];1954;West Hartford CT;USA;West Hartford CT, USA;41.7620842,-72.7420151
1954;M;medicine;Thomas Huckle Weller;[1915];1954;Ann Arbor MI;USA;Ann Arbor MI, USA;42.2808256,-83.7430378
1954;NA;peace;Office of the United Nations High Commissioner for Refugees (UNHCR);[1951];1954;;Switzerland;, Switzerland;42.2808256,-83.7430378
1954;M;physics;Max Born;[1882];1954;Breslau;Germany;Wroclaw, Poland;42.2808256,-83.7430378
1954;M;physics;Walther Bothe;[1891];1954;Oranienburg;Germany;Oranienburg, Germany;52.7537284,13.2366809
1955;M;chemistry;Vincent du Vigneaud;[1901];1955;Chicago IL;USA;Chicago IL, USA;41.8781136,-87.6297982
1955;M;literature;Halldór Kiljan Laxness;[1902];1955;Reykjavik;Iceland;Reykjavik, Iceland;64.1265206,-21.8174392
1955;M;medicine;Axel Hugo Theodor Theorell;[1903];1955;Linköping;Sweden;Linköping, Sweden;58.410807,15.6213728
1955;M;physics;Polykarp Kusch;[1911];1955;Blankenburg;Germany;Blankenburg, Germany;51.8164261,10.9773091
1955;M;physics;Willis Eugene Lamb;[1913];1955;Los Angeles CA;USA;Los Angeles CA, USA;34.0522342,-118.2436849
1956;M;chemistry;Nikolay Nikolaevich Semenov;[1896];1956;Saratov;Russia;Saratov, Russia;51.5923654,45.9608031
1956;M;chemistry;Sir Cyril Norman Hinshelwood;[1897];1956;London;United Kingdom;London, United Kingdom;51.5923654,45.9608031
1956;M;literature;Juan Ramón Jiménez;[1881];1956;Michelena;Venezuela;Michelena, Venezuela;7.9574344,-72.2452617
1956;M;medicine;André Frédéric Cournand;[1895];1956;Paris;France;Paris, France;7.9574344,-72.2452617
1956;M;medicine;Dickinson W. Richards;[1895];1956;Orange NJ;USA;Orange NJ, USA;40.7706187,-74.2326478
1956;M;medicine;Werner Forssmann;[1904];1956;Berlin;Germany;Berlin, Germany;40.7706187,-74.2326478
1956;M;physics;John Bardeen;[1908];1956;Madison WI;USA;Madison WI, USA;43.0730517,-89.4012302
1956;M;physics;Walter Houser Brattain;[1902];1956;Amoy;China;Amoy, China;24.479833,118.089425
1956;M;physics;William Bradford Shockley;[1910];1956;London;United Kingdom;London, United Kingdom;24.479833,118.089425
1957;M;chemistry;Lord (Alexander R.) Todd;[1907];1957;Glasgow;Scotland;Glasgow, Scotland;24.479833,118.089425
1957;M;literature;Albert Camus;[1913];1957;Mondovi;Algeria;Mondovi, Algeria;36.6923855,7.730807
1957;M;medicine;Daniel Bovet;[1907];1957;Neuchâtel;Switzerland;Neuchâtel, Switzerland;46.9899874,6.9292732
1957;M;peace;Lester Bowles Pearson;[1897];1957;Toronto;Canada;Toronto, Canada;43.653226,-79.3831843
1957;M;physics;Chen Ning Yang;[1922];1957;Hofei Anhwei;China;Hofei Anhwei, China;31.820591,117.227219
1957;M;physics;Tsung-Dao (T.D.) Lee;[1926];1957;Shanghai;China;Shanghai, China;31.2303904,121.4737021
1958;M;chemistry;Frederick Sanger;[1918];1958;Rendcombe;United Kingdom;Rendcombe, United Kingdom;51.798937,-1.964228
1958;M;literature;Boris Leonidovich Pasternak;[1890];1958;Moscow;Russia;Moscow, Russia;51.798937,-1.964228
1958;M;medicine;Edward Lawrie Tatum;[1909];1958;Boulder CO;USA;Boulder CO, USA;40.0149856,-105.2705456
1958;M;medicine;George Wells Beadle;[1903];1958;Wahoo NE;USA;Wahoo NE, USA;41.2115023,-96.6212604
1958;M;medicine;Joshua Lederberg;[1925];1958;Montclair NJ;USA;Montclair NJ, USA;40.8259007,-74.2090053
1958;M;peace;Georges Pire;[1910];1958;Dinant;Belgium;Dinant, Belgium;50.260494,4.9127457
1958;M;physics;Igor Yevgenyevich Tamm;[1895];1958;Vladivostok;Russia;Vladivostok, Russia;43.1198091,131.8869243
1958;M;physics;Il´ja Mikhailovich Frank;1908;50;St Petersburg;Russia;St Petersburg, Russia;59.9342802,30.3350986
1958;M;physics;Pavel Alekseyevich Cherenkov;[1904];1958;Novaya Chigla;Russia;Novaya Chigla, Russia;51.2221617,40.4794612
1959;M;chemistry;Jaroslav Heyrovsky;[1890];1959;Prague;Hungarian Empire;Prague, Czech Republic;51.2221617,40.4794612
1959;M;literature;Salvatore Quasimodo;[1901];1959;Modica;Italy;Modica, Italy;36.8588355,14.7608152
1959;M;medicine;Arthur Kornberg;[1918];1959;Brooklyn NY;USA;Brooklyn NY, USA;36.8588355,14.7608152
1959;M;medicine;Severo Ochoa;[1905];1959;Luarca;Spain;Luarca, Spain;43.5419932,-6.536124
1959;M;peace;Philip J. Noel-Baker;[1889];1959;London;United Kingdom;London, United Kingdom;43.5419932,-6.536124
1959;M;physics;Emilio Gino Segrč;[1905];1959;Tivoli;Italy;Tivoli, Italy;41.959817,12.8022261
1959;M;physics;Owen Chamberlain;[1920];1959;Birmingham;United Kingdom;Birmingham, United Kingdom;41.959817,12.8022261
1960;M;chemistry;Willard Frank Libby;[1908];1960;Grand Valley CO;USA;Grand Valley CO, USA;39.0638705,-108.5506486
1960;M;literature;Saint-John Perse;[1887];1960;Saint-Léger-les-Feuilles;Guadeloupe Island;Saint-Léger-les-Feuilles, Guadeloupe Island;NOK[ZERO_RESULTS]
1960;M;medicine;Peter Brian Medawar;[1915];1960;Rio de Janeiro;Brazil;Rio de Janeiro, Brazil;-22.9068467,-43.1728965
1960;M;medicine;Sir Frank Macfarlane Burnet;[1899];1960;Traralgon;Australia;Traralgon, Australia;-38.2033531,146.519786
1960;M;peace;Albert John Lutuli;0 1898;1960;Bulawayo;Southern Rhodesia;Bulawayo, Zimbabwe;-20.1325066,28.626479
1960;M;physics;Donald Arthur Glaser;[1926];1960;Cleveland OH;USA;Cleveland OH, USA;41.49932,-81.6943605
1961;M;chemistry;Melvin Calvin;[1911];1961;St. Paul MN;USA;St. Paul MN, USA;44.9537029,-93.0899578
1961;M;literature;Ivo Andric;[1892];1961;Dolac;Bosnia;Dolac, Bosnia;44.0860686,17.9900999
1961;M;medicine;Georg von Békésy;[1899];1961;Budapest;Hungary;Budapest, Hungary;44.0860686,17.9900999
1961;M;peace;Dag Hjalmar Agne Carl Hammarskjöld;[1905];1961;Jönköping;Sweden;Jönköping, Sweden;57.7826137,14.1617876
1961;M;physics;Robert Hofstadter;[1915];1961;New York NY;USA;New York NY, USA;57.7826137,14.1617876
1961;M;physics;Rudolf Ludwig Mössbauer;[1929];1961;Munich;Germany;Munich, Germany;57.7826137,14.1617876
1962;M;chemistry;John Cowdery Kendrew;[1917];1962;Oxford;United Kingdom;Oxford, United Kingdom;51.7520209,-1.2577263
1962;M;chemistry;Max Ferdinand Perutz;[1914];1962;Vienna;Austria;Vienna, Austria;51.7520209,-1.2577263
1962;M;literature;John Steinbeck;[1902];1962;Salinas CA;USA;Salinas CA, USA;36.6777372,-121.6555013
1962;M;medicine;Francis Harry Compton Crick;[1916];1962;Northampton;United Kingdom;Northampton, United Kingdom;52.240477,-0.902656
1962;M;medicine;James Dewey Watson;[1928];1962;Chicago IL;USA;Chicago IL, USA;52.240477,-0.902656
1962;M;medicine;Maurice Hugh Frederick Wilkins;[1916];1962;Pongaroa;New Zealand;Pongaroa, New Zealand;-40.5414029,176.194649
1962;M;peace;Linus Carl Pauling;[1901];1962;Portland OR;USA;Portland OR, USA;-40.5414029,176.194649
1962;M;physics;Lev Davidovich Landau;[1908];1962;Baku;Russian Empire;Baku, Azerbaijan;40.4092617,49.8670924
1963;M;chemistry;Giulio Natta;[1903];1963;Imperia;Italy;Imperia, Italy;43.8896857,8.039517
1963;M;chemistry;Karl Ziegler;[1898];1963;Helsa;Germany;Helsa, Germany;51.2573397,9.6863827
1963;M;literature;Giorgos Seferis;[1900];1963;Smyrna;Ottoman Empire;Izmir, Turkey;38.423734,27.142826
1963;M;medicine;Alan Lloyd Hodgkin;[1914];1963;Banbury;United Kingdom;Banbury, United Kingdom;52.0629009,-1.339775
1963;M;medicine;Andrew Fielding Huxley;[1917];1963;Hampstead;United Kingdom;Hampstead, United Kingdom;51.5556461,-0.1761749
1963;M;medicine;Sir John Carew Eccles;[1903];1963;Melbourne;Australia;Melbourne, Australia;-37.8136276,144.9630576
1963;NA;peace;Comité international de la Croix Rouge (International Committee of the Red Cross);[1863];1963;;Switzerland;, Switzerland;-37.8136276,144.9630576
1963;NA;peace;Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies);[1919];1963;;France;France;46.227638,2.213749
1963;M;physics;Eugene Paul Wigner;[1902];1963;Budapest;Austria-Hungary;Budapest, Austria-Hungary;47.499148,19.0115954
1963;M;physics;J. Hans D. Jensen;[1907];1963;Hamburg;Germany;Hamburg, Germany;47.499148,19.0115954
1963;F;physics;Maria Goeppert-Mayer;[1906];1963;Kattowitz;Germany;Katowice, Poland;50.2648919,19.0237815
1964;F;chemistry;Dorothy Crowfoot Hodgkin;[1910];1964;Cairo;Egypt;Cairo, Egypt;30.0444196,31.2357116
1964;M;literature;Jean-Paul Sartre;[1905];1964;Paris;France;Paris, France;30.0444196,31.2357116
1964;M;medicine;Feodor Lynen;[1911];1964;Munich;Germany;Munich, Germany;30.0444196,31.2357116
1964;M;medicine;Konrad Bloch;[1912];1964;Neisse;Germany;Nysa, Poland;50.4822855,17.3295861
1964;M;peace;Martin Luther King Jr.;[1929];1964;Atlanta GA;USA;Atlanta GA, USA;33.7489954,-84.3879824
1964;M;physics;Aleksandr Mikhailovich Prokhorov;[1916];1964;Atherton;Australia;Atherton, Australia;-17.2660801,145.4858599
1964;M;physics;Charles Hard Townes;[1915];1964;Greenville SC;USA;Greenville SC, USA;34.8526176,-82.3940104
1964;M;physics;Nicolay Gennadiyevich Basov;[1922];1964;Usman Russia;Soviet Union;Usman Russia, Soviet Union;52.0407835,39.7406193
1965;M;chemistry;Robert Burns Woodward;[1917];1965;Boston MA;USA;Boston MA, USA;52.0407835,39.7406193
1965;M;literature;Mikhail Aleksandrovich Sholokhov;[1905];1965;Veshenskaya;Russia;Veshenskaya, Russia;49.6315639,41.7147171
1965;M;medicine;André Lwoff;[1902];1965;Ainay-le-Château;France;Ainay-le-Château, France;46.709714,2.691018
1965;M;medicine;François Jacob;[1920];1965;Nancy;France;Nancy, France;48.692054,6.184417
1965;M;medicine;Jacques Monod;[1910];1965;Paris;France;Paris, France;48.692054,6.184417
1965;NA;peace;United Nations Children's Fund (UNICEF);[1946];1965;NY;USA;NY, USA;40.7127753,-74.0059728
1965;M;physics;Julian Schwinger;[1918];1965;New York NY;USA;New York NY, USA;40.7127753,-74.0059728
1965;M;physics;Richard P. Feynman;[1918];1965;New York NY;USA;New York NY, USA;40.7127753,-74.0059728
1965;M;physics;Sin-Itiro Tomonaga;[1906];1965;Kyoto;Japan;Kyoto, Japan;35.0116363,135.7680294
1966;M;chemistry;Robert S. Mulliken;[1896];1966;Newburyport MA;USA;Newburyport MA, USA;42.8125913,-70.8772751
1966;F;literature;Nelly Sachs;[1891];1966;Berlin;Germany;Berlin, Germany;42.8125913,-70.8772751
1966;M;literature;Shmuel Yosef Agnon;[1888];1966;Buczacz;Austria-Hungary;Buchach, Ukraine;49.064831,25.3817159
1966;M;medicine;Charles Brenton Huggins;[1901];1966;Halifax;Canada;Halifax, Canada;44.6487635,-63.5752387
1966;M;medicine;Peyton Rous;[1879];1966;Baltimore MD;USA;Baltimore MD, USA;39.2903848,-76.6121893
1966;M;physics;Alfred Kastler;[1902];1966;Guebwiller;Germany;Guebwiller, France;47.911586,7.209336
1967;M;chemistry;George Porter;[1920];1967;Stainforth;United Kingdom;Stainforth, United Kingdom;54.099248,-2.273164
1967;M;chemistry;Manfred Eigen;[1927];1967;Bochum;Germany;Bochum, Germany;51.4818445,7.2162363
1967;M;chemistry;Ronald George Wreyford Norrish;[1897];1967;Cambridge;United Kingdom;Cambridge, United Kingdom;51.4818445,7.2162363
1967;M;literature;Miguel Angel Asturias;[1899];1967;Guatemala City;Guatemala;Guatemala City, Guatemala;14.6349149,-90.5068824
1967;M;medicine;George Wald;[1906];1967;New York NY;USA;New York NY, USA;14.6349149,-90.5068824
1967;M;medicine;Haldan Keffer Hartline;[1903];1967;Bloomsburg PA;USA;Bloomsburg PA, USA;41.003698,-76.4549457
1967;M;medicine;Ragnar Granit;[1900];1967;Helsinki;Finland;Helsinki, Finland;41.003698,-76.4549457
1967;M;physics;Hans Albrecht Bethe;[1906];1967;Strassburg;Germany;Strasbourg, France;48.5734053,7.7521113
1968;M;chemistry;Lars Onsager;[1903];1968;Kristiania;Norway;Oslo, Norway;48.5734053,7.7521113
1968;M;literature;Yasunari Kawabata;[1899];1968;Osaka;Japan;Osaka, Japan;34.6937378,135.5021651
1968;M;medicine;Har Gobind Khorana;[1922];1968;Raipur;India;Raipur, India;21.2513844,81.6296413
1968;M;medicine;Marshall W. Nirenberg;[1927];1968;New York NY;USA;New York NY, USA;21.2513844,81.6296413
1968;M;medicine;Robert W. Holley;[1922];1968;Urbana IL;USA;Urbana IL, USA;40.1105875,-88.2072697
1968;M;peace;René Cassin;[1887];1968;Bayonne;France;Bayonne, France;43.492949,-1.474841
1968;M;physics;Luis Walter Alvarez;[1911];1968;San Francisco CA;USA;San Francisco CA, USA;43.492949,-1.474841
1969;M;chemistry;Derek H. R. Barton;[1918];1969;Gravesend;United Kingdom;Gravesend, United Kingdom;51.441884,0.370759
1969;M;chemistry;Odd Hassel;[1897];1969;Kristiania;Norway;Oslo, Norway;51.441884,0.370759
1969;M;economics;Jan Tinbergen;[1903];1969;the Hague;the Netherlands;the Hague, the Netherlands;52.0704978,4.3006999
1969;M;economics;Ragnar Frisch;[1895];1969;Oslo;Norway;Oslo, Norway;52.0704978,4.3006999
1969;M;literature;Samuel Beckett;[1906];1969;Dublin;Ireland;Dublin, Ireland;52.0704978,4.3006999
1969;M;medicine;Alfred D. Hershey;[1908];1969;Owosso MI;USA;Owosso MI, USA;42.9978049,-84.1766358
1969;M;medicine;Max Delbrück;[1906];1969;Berlin;Germany;Berlin, Germany;42.9978049,-84.1766358
1969;M;medicine;Salvador E. Luria;[1912];1969;Torino;Italy;Torino, Italy;45.070312,7.6868565
1969;NA;peace;International Labour Organization (I.L.O.);[1919];1969;;Switzerland;, Switzerland;45.070312,7.6868565
1969;M;physics;Murray Gell-Mann;[1929];1969;New York NY;USA;New York NY, USA;45.070312,7.6868565
1970;M;chemistry;Luis F. Leloir;[1906];1970;Paris;France;Paris, France;45.070312,7.6868565
1970;M;economics;Paul A. Samuelson;[1915];1970;Gary IN;USA;Gary IN, USA;41.5933696,-87.3464271
1970;M;literature;Aleksandr Isayevich Solzhenitsyn;[1918];1970;Kislovodsk;Russia;Kislovodsk, Russia;43.9056014,42.7280949
1970;M;medicine;Julius Axelrod;[1912];1970;New York NY;USA;New York NY, USA;43.9056014,42.7280949
1970;M;medicine;Sir Bernard Katz;[1911];1970;Leipzig;Germany;Leipzig, Germany;51.3396955,12.3730747
1970;M;medicine;Ulf von Euler;[1905];1970;Stockholm;Sweden;Stockholm, Sweden;51.3396955,12.3730747
1970;M;peace;Norman E. Borlaug;[1914];1970;Cresco IA;USA;Cresco IA, USA;43.3813568,-92.1140547
1970;M;physics;Hannes Olof Gösta Alfvén;[1908];1970;Norrköping;Sweden;Norrköping, Sweden;58.587745,16.192421
1970;M;physics;Louis Eugčne Félix Néel;[1904];1970;Lyon;France;Lyon, France;45.764043,4.835659
1971;M;chemistry;Gerhard Herzberg;[1904];1971;Hamburg;Germany;Hamburg, Germany;45.764043,4.835659
1971;M;economics;Simon Kuznets;[1901];1971;Kharkov;Russian Empire;Kharkiv, Ukraine;45.764043,4.835659
1971;M;literature;Pablo Neruda;[1904];1971;Parral;Chile;Parral, Chile;-36.1406484,-71.8227528
1971;M;medicine;Earl W. Sutherland, Jr.;[1915];1971;Burlingame KS;USA;Burlingame KS, USA;38.7538946,-95.8349868
1971;M;peace;Willy Brandt;[1913];1971;Lübeck;Germany;Lübeck, Germany;38.7538946,-95.8349868
1971;M;physics;Dennis Gabor;[1900];1971;Budapest;Hungary;Budapest, Hungary;38.7538946,-95.8349868
1972;M;chemistry;Christian B. Anfinsen;[1916];1972;Monessen PA;USA;Monessen PA, USA;40.1484053,-79.8878254
1972;M;chemistry;Stanford Moore;[1913];1972;Chicago IL;USA;Chicago IL, USA;40.1484053,-79.8878254
1972;M;chemistry;William H. Stein;[1911];1972;New York NY;USA;New York NY, USA;40.1484053,-79.8878254
1972;M;economics;John R. Hicks;[1904];1972;Warwick;United Kingdom;Warwick, United Kingdom;52.282316,-1.584927
1972;M;economics;Kenneth J. Arrow;[1921];1972;New York NY;USA;New York NY, USA;52.282316,-1.584927
1972;M;literature;Heinrich Böll;[1917];1972;Cologne;Germany;Cologne, Germany;52.282316,-1.584927
1972;M;medicine;Gerald M. Edelman;[1929];1972;New York NY;USA;New York NY, USA;52.282316,-1.584927
1972;M;medicine;Rodney R. Porter;[1917];1972;Newton-le-Willows;United Kingdom;Newton-le-Willows, United Kingdom;53.452889,-2.63508
1972;M;physics;John Bardeen;[1908];1972;Madison WI;USA;Madison WI, USA;53.452889,-2.63508
1972;M;physics;John Robert Schrieffer;[1931];1972;Oak Park IL;USA;Oak Park IL, USA;53.452889,-2.63508
1972;M;physics;Leon Neil Cooper;[1930];1972;New York NY;USA;New York NY, USA;53.452889,-2.63508
1973;M;chemistry;Ernst Otto Fischer;[1918];1973;Munich;Germany;Munich, Germany;53.452889,-2.63508
1973;M;chemistry;Geoffrey Wilkinson;[1921];1973;Todmorden;United Kingdom;Todmorden, United Kingdom;53.452889,-2.63508
1973;M;economics;Wassily Leontief;[1906];1973;St. Petersburg;Russia;St. Petersburg, Russia;59.9342802,30.3350986
1973;M;literature;Patrick White;[1912];1973;London;United Kingdom;London, United Kingdom;59.9342802,30.3350986
1973;M;medicine;Karl von Frisch;[1886];1973;Vienna;Austria;Vienna, Austria;59.9342802,30.3350986
1973;M;medicine;Konrad Lorenz;[1903];1973;Vienna;Austria;Vienna, Austria;59.9342802,30.3350986
1973;M;medicine;Nikolaas Tinbergen;[1907];1973;the Hague;the Netherlands;the Hague, the Netherlands;59.9342802,30.3350986
1973;M;peace;Henry A. Kissinger;[1923];1973;Fürth;Germany;Fürth, Germany;49.4771169,10.988667
1973;M;peace;Le Duc Tho;[1911];1973;Nam Ha province;Vietnam;Nam Ha province, Vietnam;20.5835196,105.92299
1973;M;physics;Brian David Josephson;[1940];1973;Cardiff;United Kingdom;Cardiff, United Kingdom;51.481581,-3.17909
1973;M;physics;Ivar Giaever;[1929];1973;Bergen;Norway;Bergen, Norway;60.3912628,5.3220544
1973;M;physics;Leo Esaki;[2025];1973;Osaka;Japan;Osaka, Japan;60.3912628,5.3220544
1974;M;chemistry;Paul J. Flory;[1910];1974;Sterling IL;USA;Sterling IL, USA;41.788642,-89.6962194
1974;M;economics;Friedrich August von Hayek;[1899];1974;Vienna;Austria;Vienna, Austria;41.788642,-89.6962194
1974;M;economics;Gunnar Myrdal;[1898];1974;Skattungbyn;Sweden;Skattungbyn, Sweden;61.1866825,14.8531629
