teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PiS;2;WITEK;Elżbieta Barbara;Kobieta;PiS;51.064664 16.184602
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;50.853730 15.736810
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;PiS;6;SZYMAŃSKA;Ewa Zofia;Kobieta;PiS;51.213568 16.162948
021001;1;Lubań;gm;51.114691,15.2808625;1;Legnica;PiS;7;ZEMBIK;Teresa;Kobieta;PiS;51.114486 15.275076
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;PiS;14;BUCIUTO;Jadwiga Barbara;Kobieta;PiS;51.157367 15.015067
020701;1;Kamienna Góra;gm;50.784689,16.0337155;1;Legnica;PiS;15;GĘBORYS;Dagmara Helena;Kobieta;BEZP;50.782419 16.034927
022602;1;Złotoryja;gm;51.122384,15.918558;1;Legnica;PiS;16;BRZOZOWSKA;Kamila Dorota;Kobieta;PiS;51.123671 15.920932
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;PiS;51.668654 16.035188
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;PiS;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;PiS;51.375864 16.184729
021005;3;Olszyna;gmw;51.0595585,15.359148;1;Legnica;PiS;19;CZYRKO;Eurydyka Maria;Kobieta;PiS;51.059069 15.358080
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;PiS;20;KWIATKOWSKA;Ewa;Kobieta;PiS;51.499188 16.084000
022503;3;Bogatynia;gmw;50.94787,14.919586;1;Legnica;PiS;23;BOJAKOWSKA;Dorota;Kobieta;PiS;50.945458 14.913613
020204;1;Piława Górna;gm;50.6828765,16.755003;2;Wałbrzych;PiS;6;BIELAWSKA;Zuzanna;Kobieta;PiS;50.684890 16.756576
020806;3;Bystrzyca Kłodzka;gmw;50.2872735,16.637027;2;Wałbrzych;PiS;7;SURMA;Renata Lucyna;Kobieta;BEZP;50.285600 16.641546
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;PiS;8;MUCHA;Beata Maria;Kobieta;PiS;50.787749 16.291734
020201;1;Bielawa;gm;50.6754715,16.602826;2;Wałbrzych;PiS;12;GREINER;Małgorzata Joanna;Kobieta;PiS;50.675614 16.604564
026401;1;Wrocław (a);mm;51.1261165,16.991816;2;Wałbrzych;PiS;14;SZYDŁOWSKA;Ewelina Agnieszka;Kobieta;BEZP;51.144533 16.992333
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;PiS;15;WIERZBICKA;Renata Teresa;Kobieta;BEZP;50.791193 16.287389
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;1;STACHOWIAK-RÓŻECKA;Mirosława Agnieszka;Kobieta;PiS;51.118832 17.002228
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;5;CALIŃSKA-MAYER;Małgorzata Maria;Kobieta;PiS;51.133485 17.012339
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;8;SOIN;Agnieszka Anna;Kobieta;PiS;51.135531 16.987057
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;PiS;16;STOPA;Urszula Maria;Kobieta;PiS;51.152412 16.998626
022004;2;Wisznia Mała;gw;51.225371,17.030435;3;Wrocław;PiS;18;BRZĄKAŁA;Agnieszka Maria;Kobieta;PiS;51.222823 17.028643
021804;3;Środa Śląska;gmw;51.1660305,16.587297;3;Wrocław;PiS;20;WOJEWÓDKA;Karolina;Kobieta;BEZP;51.165570 16.587199
