teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
022501;1;Zawidów;gm;51.0245045,15.045272;1;Legnica;PSL;1;ŻUK;Stanisław Adam;Mężczyzna;BEZP;51.020350 15.045250
020907;3;Prochowice;gmw;51.270047,16.388257;1;Legnica;PSL;2;SAMBORSKI;Tadeusz;Mężczyzna;PSL;51.267367 16.389995
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PSL;3;SZCZĘSNA;Mariola;Kobieta;PSL;51.122500 15.599704
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;PSL;4;ROJEK;Andrzej;Mężczyzna;BEZP;51.155569 15.015568
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PSL;5;LASKOWSKI;Stanisław;Mężczyzna;PSL;51.071627 16.187016
020302;2;Głogów;gw;51.6658165,16.129672;1;Legnica;PSL;6;JURKOWSKI;Artur Andrzej;Mężczyzna;PSL;51.666366 16.130674
021201;3;Gryfów Śląski;gmw;51.044249,15.4398685;1;Legnica;PSL;7;RAK;Zofia;Kobieta;PSL;51.043236 15.439132
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PSL;8;PIOTROWSKI;Wiktor Marian;Mężczyzna;BEZP;51.065969 16.179564
020606;2;Jeżów Sudecki;gw;50.9613265,15.7349305;1;Legnica;PSL;9;BRZOZOWSKA;Bożena Maria;Kobieta;BEZP;50.960672 15.734962
020102;2;Bolesławiec;gw;51.320913,15.551468;1;Legnica;PSL;10;BURDYNA;Olga;Kobieta;BEZP;51.318493 15.552901
020907;3;Prochowice;gmw;51.270047,16.388257;1;Legnica;PSL;11;WRONA;Maria;Kobieta;PSL;51.272867 16.389007
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;PSL;12;STANKIEWICZ;Cecylia Ewa;Kobieta;BEZP;51.372074 16.185204
020502;3;Bolków;gmw;50.922557,16.0670365;1;Legnica;PSL;13;SADOWSKI;Roman Edward;Mężczyzna;PSL;50.921973 16.067979
022603;2;Pielgrzymka;gw;51.10516,15.789521;1;Legnica;PSL;14;GRZYB;Stanisław;Mężczyzna;PSL;51.106158 15.791496
020703;3;Lubawka;gmw;50.67986,15.969753;1;Legnica;PSL;15;MATYS;Waldemar Andrzej;Mężczyzna;StronnictwoDemokratyczne;50.677906 15.970432
022503;3;Bogatynia;gmw;50.94787,14.919586;1;Legnica;PSL;16;SALATA;Romuald Piotr;Mężczyzna;BEZP;50.946670 14.916698
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;PSL;17;KRASOWSKI;Marcin Karol;Mężczyzna;PSL;51.392453 16.192164
022606;2;Złotoryja;gw;51.146528,15.9496655;1;Legnica;PSL;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;PSL;51.147743 15.949647
