teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;1;BORYS;Piotr;Mężczyzna;PORP;51.393104 16.187353
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;2;CZERNOW;Zofia;Kobieta;PORP;50.839389 15.730401
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;51.194382 16.154907
020702;2;Kamienna Góra;gw;50.7542435,16.019381;1;Legnica;KOBW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;50.751733 16.019313
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;5;DROZD;Ewa;Kobieta;PORP;51.670985 16.053807
146505;1;Mst Warszawa (a);mm;52.233002,21.0614195;2;Wałbrzych;KOBW;1;SIEMONIAK;Tomasz;Mężczyzna;PORP;52.244553 21.043722
026501;1;Wałbrzych;mm;50.7851055,16.2913995;2;Wałbrzych;KOBW;2;MRZYGŁOCKA;Izabela Katarzyna;Kobieta;PORP;50.774852 16.298491
020804;1;Nowa Ruda;gm;50.5735,16.519743;2;Wałbrzych;KOBW;3;WIELICHOWSKA;Monika;Kobieta;PORP;50.578033 16.516740
021907;2;Świdnica;gw;50.80824,16.4689875;2;Wałbrzych;KOBW;4;SZUSZWALAK;Tomasz Daniel;Mężczyzna;BEZP;50.808046 16.465511
020202;1;Dzierżoniów;gm;50.7291785,16.6473105;2;Wałbrzych;KOBW;5;MITRASZEWSKI;Tomasz Łukasz;Mężczyzna;Nowoczesna;50.727759 16.653022
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;KOBW;1;SCHETYNA;Grzegorz Juliusz;Mężczyzna;PORP;51.131928 16.971051
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;KOBW;2;TRACZ;Małgorzata Elżbieta;Kobieta;Zieloni;51.120018 16.984179
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;KOBW;3;JAROS;Michał;Mężczyzna;PORP;51.142884 16.998611
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;KOBW;4;PIECHOTA;Sławomir Jan;Mężczyzna;PORP;51.109166 16.967362
026401;1;Wrocław (a);mm;51.1261165,16.991816;3;Wrocław;KOBW;5;MŁYŃCZAK;Aldona Janina;Kobieta;PORP;51.127808 16.963085
306401;1;Poznań (a);mm;52.4006265,16.90154;4;Bydgoszcz;KOBW;1;ZWIEFKA;Tadeusz Antoni;Mężczyzna;PORP;52.412642 16.899243
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;KOBW;2;OLSZEWSKI;Paweł Bartosz;Mężczyzna;PORP;53.131225 18.030202
041304;3;Więcbork;gmw;53.35109,17.4345105;4;Bydgoszcz;KOBW;3;KOZŁOWSKA;Iwona Maria;Kobieta;BEZP;53.349268 17.438402
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;4;Bydgoszcz;KOBW;4;NITKIEWICZ;Ireneusz Michał;Mężczyzna;BEZP;53.124914 18.056598
040701;1;Inowrocław;gm;52.781695,18.250197;4;Bydgoszcz;KOBW;5;ŁOŚKO;Magdalena;Kobieta;PORP;52.788316 18.255158
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;KOBW;1;LENZ;Tomasz;Mężczyzna;PORP;53.009070 18.618185
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;KOBW;2;MYRCHA;Arkadiusz;Mężczyzna;PORP;53.022620 18.608448
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;KOBW;3;HARTWICH;Iwona;Kobieta;BEZP;53.003798 18.597988
046201;1;Grudziądz;mm;53.4724245,18.7785915;5;Toruń;KOBW;4;SZYMAŃSKI;Tomasz Józef;Mężczyzna;PORP;53.474941 18.774798
046401;1;Włocławek;mm;52.6653805,19.060831;5;Toruń;KOBW;5;ŁUCZAK;Krystian Marek;Mężczyzna;PORP;52.674574 19.064638
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;KOBW;1;MUCHA;Joanna;Kobieta;PORP;51.233861 22.546807
