teryt;nazwa;powiat;pow_ha;pow_km;ludnosc;gestosc;prank;lrank
143005 4;Szydłowiec;Szydłowiecki;2189;22;12049;550;255;354
141806 4;Tarczyn;Piaseczyński;523;5;4089;782;690;641
143411 4;Tłuszcz;Wołomiński;791;8;8041;1017;603;457
140611 4;Warka;Grójecki;2677;27;11777;440;207;360
146501 1;Warszawa;M. st. Warszawa;51724;517;1735442;3355;1;1
143301 1;Węgrów;Węgrowski;3551;36;12795;360;136;340
143412 4;Wołomin;Wołomiński;1724;17;37389;2169;334;123
143505 4;Wyszków;Wyszkowski;2078;21;27173;1308;270;167
141915 4;Wyszogród;Płocki;1297;13;2705;209;442;770
140106 4;Wyśmierzyce;Białobrzeski;1684;17;921;55;345;895
141406 4;Zakroczym;Nowodworski;1997;20;3231;162;287;711
143403 1;Ząbki;Wołomiński;1098;11;32844;2991;500;138
143404 1;Zielonka;Wołomiński;7948;79;17459;220;52;255
143605 4;Zwoleń;Zwoleński;1591;16;8065;507;364;456
140314 4;Żelechów;Garwoliński;1213;12;4061;335;469;642
143706 4;Żuromin;Żuromiński;1118;11;9015;806;495;438
143801 1;Żyrardów;Żyrardowski;1435;14;41003;2857;404;106
160201 4;Baborów;Głubczycki;1186;11;3009;254;475;733
161001 4;Biała;Prudnicki;1472;15;2496;170;396;792
160101 1;Brzeg;Brzeski;1461;15;36675;2510;399;126
160401 4;Byczyna;Kluczborski;579;7;3678;635;672;675
160801 4;Dobrodzień;Oleski;1953;19;3773;193;294;667
161002 4;Głogówek;Prudnicki;2206;22;5702;258;254;557
160203 4;Głubczyce;Głubczycki;1254;13;12911;1030;453;337
160701 4;Głuchołazy;Nyski;683;6;14092;2063;642;320
160501 4;Gogolin;Krapkowicki;2035;21;6529;321;278;509
160802 4;Gorzów Śląski;Oleski;1854;19;2508;135;309;788
160103 4;Grodków;Brzeski;988;9;8816;892;539;441
160301 1;Kędzierzyn-Koźle;Kędzierzyńsko-kozielski;12371;124;62840;508;20;67
160204 4;Kietrz;Głubczycki;1874;19;6167;329;305;522
160402 4;Kluczbork;Kluczborski;1235;12;24410;1977;463;178
161103 4;Kolonowskie;Strzelecki;5570;56;3361;60;79;703
160703 4;Korfantów;Nyski;1023;10;1881;184;526;859
160502 4;Krapkowice;Krapkowicki;2101;21;16851;802;267;271
161104 4;Leśnica;Strzelecki;1450;15;2690;186;400;771
160104 4;Lewin Brzeski;Brzeski;1164;12;5940;510;480;540
160602 4;Namysłów;Namysłowski;2261;23;16126;713;243;282
160907 4;Niemodlin;Opolski;1311;13;6586;502;439;504
160705 4;Nysa;Nyski;2751;28;44775;1628;196;101
160803 4;Olesno;Oleski;1508;15;9527;632;383;419
166101 1;Opole;Opole;9655;97;119574;1238;31;32
160706 4;Otmuchów;Nyski;2782;28;5038;181;193;581
160908 4;Ozimek;Opolski;325;3;9119;2806;760;427
160707 4;Paczków;Nyski;660;7;7785;1180;651;463
160804 4;Praszka;Oleski;935;9;7907;846;557;460
160910 4;Prószków;Opolski;1622;16;2721;168;357;766
161004 4;Prudnik;Prudnicki;2050;20;21676;1057;275;206
161105 4;Strzelce Opolskie;Strzelecki;2997;30;18373;613;176;244
161106 4;Ujazd;Strzelecki;1476;15;1723;117;394;869
160404 4;Wołczyn;Kluczborski;747;7;5967;799;620;537
161107 4;Zawadzkie;Strzelecki;1646;16;7493;455;353;470
160505 4;Zdzieszowice;Krapkowicki;1235;12;11899;963;463;355
182001 4;Baranów Sandomierski;Tarnobrzeski;915;9;1463;160;563;879
181602 4;Błażowa;Rzeszowski;423;4;2188;517;729;826
181603 4;Boguchwała;Rzeszowski;911;8;5905;648;564;542
180302 4;Brzostek;Dębicki;876;9;2716;310;571;767
180201 4;Brzozów;Brzozowski;1146;11;7548;659;488;469
180902 4;Cieszanów;Lubaczowski;1506;15;1985;132;385;846
180301 1;Dębica;Dębicki;3383;34;46568;1377;146;97
180702 4;Dukla;Krośnieński;548;5;2122;387;680;834
181601 1;Dynów;Rzeszowski;2455;25;6178;252;226;520
181606 4;Głogów Małopolski;Rzeszowski;1371;14;6190;451;418;518
180703 4;Iwonicz-Zdrój;Krośnieński;589;6;1839;312;669;862
180401 1;Jarosław;Jarosławski;3461;35;38796;1121;141;118
180501 1;Jasło;Jasielski;3652;37;36260;993;129;128
180704 4;Jedlicze;Krośnieński;1060;11;5775;545;513;548
181405 4;Kańczuga;Przeworski;760;7;3237;426;614;710
180602 4;Kolbuszowa;Kolbuszowski;794;8;9270;1168;601;425
180505 4;Kołaczyce;Jasielski;715;7;1437;201;630;884
186101 1;Krosno;Krosno;4350;44;46934;1079;97;95
182103 4;Lesko;Leski;1533;15;5615;366;377;561
180801 1;Leżajsk;Leżajski;2058;21;14252;693;273;316
180901 1;Lubaczów;Lubaczowski;2573;26;12416;483;214;348
181001 1;Łańcut;Łańcucki;1942;19;17982;926;296;250
181101 1;Mielec;Mielecki;4689;47;60827;1297;92;71
180905 4;Narol;Lubaczowski;1242;12;2107;170;457;836
181205 4;Nisko;Niżański;6096;61;15453;253;72;297
182004 4;Nowa Dęba;Tarnobrzeski;1670;17;11403;683;350;369
180805 4;Nowa Sarzyna;Leżajski;915;9;6102;667;563;527
180906 4;Oleszyce;Lubaczowski;508;5;3093;609;693;724
180306 4;Pilzno;Dębicki;1604;16;4802;299;362;593
180407 4;Pruchnik;Jarosławski;1991;20;3747;188;288;669
181107 4;Przecław;Mielecki;1604;16;1723;107;362;869
186201 1;Przemyśl;Przemyśl;4617;46;63441;1374;95;65
181401 1;Przeworsk;Przeworski;2213;22;15681;709;252;292
181108 4;Radomyśl Wielki;Mielecki;879;9;3104;353;570;723
180402 1;Radymno;Jarosławski;1362;14;5433;399;421;566
181503 4;Ropczyce;Ropczycko-sędziszowski;4710;47;15722;334;91;290
181206 4;Rudnik nad Sanem;Niżański;3660;37;6811;186;128;490
180708 4;Rymanów;Krośnieński;1239;12;3715;300;460;672
186301 1;Rzeszów;Rzeszów;11636;117;185123;1591;21;18
181701 1;Sanok;Sanocki;3808;38;38818;1019;118;117
181504 4;Sędziszów Małopolski;Ropczycko-sędziszowski;996;10;7492;752;535;471
181407 4;Sieniawa;Przeworski;674;7;2157;320;644;830
181611 4;Sokołów Małopolski;Rzeszowski;1554;16;4047;260;372;644
181801 1;Stalowa Wola;Stalowowolski;8252;83;63291;767;45;66
181904 4;Strzyżów;Strzyżowski;1389;14;8955;645;413;439
186401 1;Tarnobrzeg;Tarnobrzeg;8540;85;48000;562;37;91
181614 4;Tyczyn;Rzeszowski;967;9;3638;376;547;680
181207 4;Ulanów;Niżański;820;8;1447;176;594;883
180108 4;Ustrzyki Dolne;Bieszczadzki;1679;17;9383;559;347;422
181707 4;Zagórz;Sanocki;2229;22;5073;228;249;579
181805 4;Zaklików;Stalowowolski;1142;11;3064;268;489;726
200101 1;Augustów;Augustowski;8090;81;30482;377;48;149
206101 1;Białystok;Białystok;10213;102;295459;2893;29;11
200301 1;Bielsk Podlaski;Bielski;2701;27;26249;972;204;172
200302 1;Brańsk;Bielski;3243;32;3854;119;157;658
200201 4;Choroszcz;Białostocki;1679;17;5759;343;347;550
201302 4;Ciechanowiec;Wysokomazowiecki;1953;20;4812;246;294;592
200202 4;Czarna Białostocka;Białostocki;1428;14;9594;672;407;414
201303 4;Czyżew;Wysokomazowiecki;523;5;2642;505;690;775
201101 4;Dąbrowa Białostocka;Sokólski;2264;23;5796;256;242;546
201002 4;Drohiczyn;Siemiatycki;1569;16;2118;135;369;835
200801 4;Goniądz;Moniecki;428;4;1892;442;728;856
200401 1;Grajewo;Grajewski;1894;19;22243;1174;303;200
200501 1;Hajnówka;Hajnowski;2129;21;21422;1006;262;209
200701 4;Jedwabne;Łomżyński;454;4;1673;369;717;870
200507 4;Kleszczele;Hajnowski;4671;47;1321;28;93;889
200804 4;Knyszyn;Moniecki;2368;24;2853;120;232;753
200601 1;Kolno;Kolneński;2507;25;10567;421;222;386
201104 4;Krynki;Sokólski;383;4;2515;657;738;787
200104 4;Lipsk;Augustowski;498;5;2440;490;698;798
200206 4;Łapy;Białostocki;1214;12;15879;1308;468;289
206201 1;Łomża;Łomża;3267;33;62779;1922;156;68
200207 4;Michałowo;Białostocki;215;2;3153;1467;786;715
200806 4;Mońki;Moniecki;766;8;10275;1341;612;397
200704 4;Nowogród;Łomżyński;2055;21;2187;106;274;827
200404 4;Rajgród;Grajewski;3528;35;1625;46;137;875
200901 1;Sejny;Sejneński;449;4;5640;1256;719;559
201001 1;Siemiatycze;Siemiatycki;3625;36;14725;406;131;305
201108 4;Sokółka;Sokólski;1859;19;18716;1007;308;237
200605 4;Stawiski;Kolneński;1324;13;2342;177;434;811
201109 4;Suchowola;Sokólski;2595;26;2236;86;213;821
200209 4;Supraśl;Białostocki;569;6;4633;814;676;602
200210 4;Suraż;Białostocki;3386;34;1009;30;145;893
206301 1;Suwałki;Suwałki;6551;66;69316;1058;67;56
200405 4;Szczuczyn;Grajewski;1323;13;3449;261;435;693
201309 4;Szepietowo;Wysokomazowiecki;196;2;2278;1162;789;816
200212 4;Tykocin;Białostocki;2897;29;2012;69;181;844
200213 4;Wasilków;Białostocki;2826;28;10677;378;186;384
201301 1;Wysokie Mazowieckie;Wysokomazowiecki;1524;15;9517;624;379;420
200214 4;Zabłudów;Białostocki;1430;14;2499;175;406;791
201401 1;Zambrów;Zambrowski;1902;19;22262;1170;301;199
220202 4;Brusy;Chojnicki;520;5;5093;979;691;578
220102 4;Bytów;Bytowski;872;8;17011;1951;573;266
220201 1;Chojnice;Chojnicki;2104;21;40056;1904;265;110
221301 4;Czarna Woda;Starogardzki;994;10;2865;288;536;752
220302 4;Czarne;Człuchowski;4643;46;6052;130;94;531
220204 4;Czersk;Chojnicki;973;10;10030;1031;543;406
220301 1;Człuchów;Człuchowski;1278;13;14224;1113;446;317
220304 4;Debrzno;Człuchowski;751;7;5185;690;617;573
221601 4;Dzierzgoń;Sztumski;390;4;5524;1416;737;562
226101 1;Gdańsk;Gdańsk;26196;262;461489;1762;7;6
226201 1;Gdynia;Gdynia;13514;135;247820;1834;17;12
221402 4;Gniew;Tczewski;604;7;6898;1142;664;486
221101 1;Hel;Pucki;2172;22;3594;165;259;684
221102 1;Jastarnia;Pucki;780;8;3866;496;606;656
220502 4;Kartuzy;Kartuski;680;7;14840;2182;643;302
221205 4;Kępice;Słupski;611;6;3737;612;661;670
220601 1;Kościerzyna;Kościerski;1586;16;23738;1497;366;185
221001 1;Krynica Morska;Nowodworski;11601;116;1335;12;22;888
220701 1;Kwidzyn;Kwidzyński;2154;22;38757;1799;261;119
220801 1;Lębork;Lęborski;1786;18;35443;1984;322;132
220802 1;Łeba;Lęborski;1481;15;3836;259;392;662
220901 1;Malbork;Malborski;1716;17;38950;2270;337;115
220106 4;Miastko;Bytowski;568;6;10866;1913;677;381
221002 4;Nowy Dwór Gdański;Nowodworski;507;5;10015;1975;694;407
220907 4;Nowy Staw;Malborski;467;5;4330;927;712;623
221404 4;Pelplin;Tczewski;442;4;8225;1861;723;453
220704 4;Prabuty;Kwidzyński;729;7;8781;1205;624;443
220401 1;Pruszcz Gdański;Gdański;1647;16;29226;1774;352;157
221103 1;Puck;Pucki;479;5;11321;2363;705;371
221501 1;Reda;Wejherowski;3346;34;23565;704;149;186
221502 1;Rumia;Wejherowski;3010;30;47602;1581;174;92
221309 4;Skarszewy;Starogardzki;1079;10;7057;654;506;482
221302 1;Skórcz;Starogardzki;363;4;3551;978;746;687
226301 1;Słupsk;Słupsk;4315;43;93206;2160;99;42
226401 1;Sopot;Sopot;1728;17;37654;2179;333;122
221303 1;Starogard Gdański;Starogardzki;2528;25;48327;1912;219;90
221605 4;Sztum;Sztumski;459;5;10308;2246;714;395
221401 1;Tczew;Tczewski;2238;22;60573;2707;247;72
221201 1;Ustka;Słupski;1019;10;16056;1576;527;286
221503 1;Wejherowo;Wejherowski;2699;27;50292;1863;205;87
221104 4;Władysławowo;Pucki;1259;12;10053;798;450;405
220508 4;Żukowo;Kartuski;473;5;6532;1381;709;508
240101 1;Będzin;Będziński;3737;37;58205;1558;122;77
246101 1;Bielsko-Biała;Bielsko-Biała;12451;125;173013;1390;19;22
241401 1;Bieruń;Bieruńsko-lędziński;4049;40;19636;485;106;224
240401 4;Blachownia;Częstochowski;3666;36;9830;268;127;409
246201 1;Bytom;Bytom;6944;69;172306;2481;62;23
246301 1;Chorzów;Chorzów;3324;33;110337;3319;150;36
240301 1;Cieszyn;Cieszyński;2861;29;35685;1247;184;129
240204 4;Czechowice-Dziedzice;Bielski;3291;33;35632;1083;153;130
240102 1;Czeladź;Będziński;1638;16;32666;1994;356;139
241201 4;Czerwionka-Leszczyny;Rybnicki;3763;38;28348;753;120;161
246401 1;Częstochowa;Częstochowa;15971;160;230123;1441;13;13
246501 1;Dąbrowa Górnicza;Dąbrowa Górnicza;18873;189;123376;654;10;29
246601 1;Gliwice;Gliwice;13388;134;184415;1377;18;19
241402 1;Imielin;Bieruńsko-lędziński;2799;28;8723;312;191;445
246701 1;Jastrzębie-Zdrój;Jastrzębie-Zdrój;8533;85;90794;1064;38;43
246801 1;Jaworzno;Jaworzno;15259;153;93331;612;14;41
241301 1;Kalety;Tarnogórski;7629;76;8626;113;55;449
246901 1;Katowice;Katowice;16464;165;301834;1833;12;10
240601 4;Kłobuck;Kłobucki;4746;47;13133;277;89;334
240501 1;Knurów;Gliwicki;3395;34;38859;1145;143;116
240406 4;Koniecpol;Częstochowski;3692;37;6142;166;125;525
240902 4;Koziegłowy;Myszkowski;2671;27;2449;92;208;795
241103 4;Krzanowice;Raciborski;308;4;2209;717;764;824
240602 4;Krzepice;Kłobucki;2766;28;4462;161;194;612
241105 4;Kuźnia Raciborska;Raciborski;3149;31;5451;173;166;565
241403 1;Lędziny;Bieruńsko-lędziński;3165;32;16749;529;165;273
240701 1;Lubliniec;Lubliniecki;8936;89;24182;271;33;182
240801 1;Łaziska Górne;Mikołowski;2007;20;22419;1117;285;197
241605 4;Łazy;Zawierciański;860;9;6972;811;578;484
241302 1;Miasteczko Śląskie;Tarnogórski;6783;68;7383;109;64;472
240802 1;Mikołów;Mikołowski;7921;79;39795;502;53;111
247001 1;Mysłowice;Mysłowice;6562;66;75037;1144;66;49
240901 1;Myszków;Myszkowski;7359;74;32499;442;58;140
241606 4;Ogrodzieniec;Zawierciański;2856;29;4349;152;185;620
240803 1;Orzesze;Mikołowski;8379;84;20194;241;43;216
247101 1;Piekary Śląskie;Piekary Śląskie;3998;40;56755;1420;109;80
241607 4;Pilica;Zawierciański;822;8;1937;236;593;852
241601 1;Poręba;Zawierciański;3999;40;8749;219;108;444
241005 4;Pszczyna;Pszczyński;2249;22;26028;1157;245;174
241501 1;Pszów;Wodzisławski;2044;20;14293;699;277;312
240502 1;Pyskowice;Gliwicki;3089;31;18563;601;167;238
241101 1;Racibórz;Raciborski;7501;75;55710;743;57;81
241502 1;Radlin;Wodzisławski;1253;13;18028;1439;454;249
241303 1;Radzionków;Tarnogórski;1320;13;17050;1292;436;265
247201 1;Ruda Śląska;Ruda Śląska;7773;78;140669;1810;54;24
247301 1;Rybnik;Rybnik;14836;148;140052;944;15;25
241503 1;Rydułtowy;Wodzisławski;1495;15;21763;1456;389;205
247401 1;Siemianowice Śląskie;Siemianowice Śląskie;2550;25;68634;2692;217;59
240107 4;Siewierz;Będziński;3866;39;5495;142;113;563
240310 4;Skoczów;Cieszyński;985;10;14625;1485;540;307
240108 1;Sławków;Będziński;3667;37;7135;195;126;479
247501 1;Sosnowiec;Sosnowiec;9106;91;209274;2298;32;15
240506 4;Sośnicowice;Gliwicki;1167;11;1854;159;479;861
240311 4;Strumień;Cieszyński;629;6;3642;579;655;679
241608 4;Szczekociny;Zawierciański;1803;18;3726;207;317;671
240201 1;Szczyrk;Bielski;3907;39;5799;148;111;545
247601 1;Świętochłowice;Świętochłowice;1331;13;51494;3869;432;84
241304 1;Tarnowskie Góry;Tarnogórski;8372;84;60879;727;44;70
240507 4;Toszek;Gliwicki;971;10;3615;372;544;682
247701 1;Tychy;Tychy;8181;82;128621;1572;47;27
240302 1;Ustroń;Cieszyński;5903;59;16073;272;75;285
240209 4;Wilamowice;Bielski;1036;10;3033;293;516;731
240303 1;Wisła;Cieszyński;11017;109;11198;102;25;374
241504 1;Wodzisław Śląski;Wodzisławski;4951;50;48864;987;85;88
240103 1;Wojkowice;Będziński;1279;13;9033;706;445;436
240708 4;Woźniki;Lubliniecki;7101;71;4422;62;61;615
247801 1;Zabrze;Zabrze;8040;80;177188;2204;49;20
241602 1;Zawiercie;Zawierciański;8525;85;50990;598;39;85
240905 4;Żarki;Myszkowski;2544;25;4526;178;218;605
247901 1;Żory;Żory;6464;65;62051;960;68;69
241701 1;Żywiec;Żywiecki;5054;51;31942;632;83;142
260402 4;Bodzentyn;Kielecki;865;8;2255;261;575;819
260101 4;Busko-Zdrój;Buski;1228;12;16710;1361;465;275
260403 4;Chęciny;Kielecki;1413;14;4433;314;409;614
260404 4;Chmielnik;Kielecki;780;8;3877;497;606;654
260704 4;Ćmielów;Ostrowiecki;1334;14;3116;234;431;719
260405 4;Daleszyce;Kielecki;1550;16;2915;188;373;743
260801 4;Działoszyce;Pińczowski;192;2;964;502;790;894
260202 4;Jędrzejów;Jędrzejowski;1137;11;15698;1381;490;291
260303 4;Kazimierza Wielka;Kazimierski;533;5;5725;1074;686;555
266101 1;Kielce;Kielce;10965;110;198857;1814;26;17
260503 4;Końskie;Konecki;1770;18;20059;1133;326;220
260904 4;Koprzywnica;Sandomierski;1790;18;2539;142;321;785
260705 4;Kunów;Ostrowiecki;726;7;3060;421;625;727
260203 4;Małogoszcz;Jędrzejowski;968;10;3872;400;546;655
260604 4;Opatów;Opatowski;936;9;6657;711;556;500
261204 4;Osiek;Staszowski;1743;18;2013;115;331;843
260701 1;Ostrowiec Świętokrzyski;Ostrowiecki;4643;46;71728;1545;94;54
260605 4;Ożarów;Opatowski;779;8;4682;601;607;598
260804 4;Pińczów;Pińczowski;1433;14;11179;780;405;376
261205 4;Połaniec;Staszowski;1741;17;8279;476;332;452
260901 1;Sandomierz;Sandomierski;2869;29;24326;848;182;179
260206 4;Sędziszów;Jędrzejowski;792;8;6654;840;602;501
260305 4;Skalbmierz;Kazimierski;713;7;1313;184;631;890
261001 1;Skarżysko-Kamienna;Skarżyski;6439;64;47212;733;70;94
261101 1;Starachowice;Starachowicki;3182;32;50679;1593;164;86
261207 4;Staszów;Staszowski;2688;27;15298;569;206;298
260508 4;Stąporków;Konecki;1094;11;5947;544;503;538
260106 4;Stopnica;Buski;455;4;1462;321;716;880
261005 4;Suchedniów;Skarżyski;5940;60;8667;146;74;447
261105 4;Wąchock;Starachowicki;1602;16;2848;178;363;754
261306 4;Włoszczowa;Włoszczowski;3030;30;10417;344;172;389
260909 4;Zawichost;Sandomierski;2029;20;1863;92;280;860
281401 4;Barczewo;Olsztyński;458;5;7280;1590;715;475
280101 1;Bartoszyce;Bartoszycki;1179;11;24432;2072;477;177
281601 4;Biała Piska;Piski;324;4;4124;1273;761;640
281402 4;Biskupiec;Olsztyński;500;5;10600;2120;697;385
280104 4;Bisztynek;Bartoszycki;216;2;2477;1147;785;793
280201 1;Braniewo;Braniewski;1241;12;17281;1393;458;261
281403 4;Dobre Miasto;Olsztyński;486;5;10497;2160;702;388
280301 1;Działdowo;Działdowski;1147;11;21489;1873;487;208
286101 1;Elbląg;Elbląg;7982;80;122368;1533;51;30
280501 1;Ełk;Ełcki;2105;21;60103;2855;264;73
280203 4;Frombork;Braniewski;759;8;2437;321;615;799
280601 1;Giżycko;Giżycki;1372;14;29932;2182;417;153
281803 4;Gołdap;Gołdapski;1720;17;13748;799;336;327
280102 1;Górowo Iławeckie;Bartoszycki;332;3;4198;1264;758;635
280701 1;Iława;Iławski;2188;22;33344;1524;256;137
281406 4;Jeziorany;Olsztyński;341;3;3319;973;754;706
280801 1;Kętrzyn;Kętrzyński;1035;10;27924;2698;517;164
280704 4;Kisielice;Iławski;337;3;2131;632;756;833
280804 4;Korsze;Kętrzyński;403;4;4514;1120;734;607
280304 4;Lidzbark;Działdowski;568;6;8092;1425;677;455
280901 1;Lidzbark Warmiński;Lidzbarski;1435;14;16332;1138;404;281
280702 1;Lubawa;Iławski;1684;17;10098;600;345;402
281002 4;Mikołajki;Mrągowski;932;9;3849;413;558;659
281506 4;Miłakowo;Ostródzki;876;9;2632;300;571;778
281507 4;Miłomłyn;Ostródzki;1238;12;2444;197;461;797
280406 4;Młynary;Elbląski;276;3;1817;658;771;864
281508 4;Morąg;Ostródzki;611;6;14269;2335;661;313
281001 1;Mrągowo;Mrągowski;1481;15;22135;1495;392;201
281104 4;Nidzica;Nidzicki;686;7;14258;2078;639;315
281201 1;Nowe Miasto Lubawskie;Nowomiejski;1137;11;11180;983;490;375
281304 4;Olecko;Olecki;1154;12;16458;1426;484;279
286201 1;Olsztyn;Olsztyn;8833;88;173831;1968;34;21
281409 4;Olsztynek;Olsztyński;769;8;7738;1006;610;465
280905 4;Orneta;Lidzbarski;963;10;9057;940;549;431
281602 4;Orzysz;Piski;817;8;5799;710;595;545
281501 1;Ostróda;Ostródzki;1415;14;33790;2388;408;134
280407 4;Pasłęk;Elbląski;1063;11;12406;1167;511;349
281704 4;Pasym;Szczycieński;1518;15;2542;167;380;784
280205 4;Pieniężno;Braniewski;381;4;2909;764;740;745
281603 4;Pisz;Piski;1008;10;19562;1941;532;225
280805 4;Reszel;Kętrzyński;382;4;4753;1244;739;594
281604 4;Ruciane-Nida;Piski;1707;17;4674;274;338;599
280608 4;Ryn;Giżycki;414;4;2910;703;731;744
280106 4;Sępopol;Bartoszycki;463;5;2013;435;713;843
280706 4;Susz;Iławski;667;7;5694;854;646;558
281701 1;Szczytno;Szczycieński;1062;11;24185;2277;512;181
280409 4;Tolkmicko;Elbląski;229;2;2794;1220;780;755
281903 4;Węgorzewo;Węgorzewski;1088;11;11661;1072;504;363
280707 4;Zalewo;Iławski;822;8;2185;266;593;828
302201 4;Bojanowo;Rawicki;234;2;2975;1271;776;738
300401 4;Borek Wielkopolski;Gostyński;629;7;2538;403;655;786
302103 4;Buk;Poznański;296;3;6188;2091;768;519
302001 4;Chocz;Pleszewski;688;7;1808;263;638;865
300101 1;Chodzież;Chodzieski;1277;13;19299;1511;447;228
300201 1;Czarnków;Czarnkowsko-trzcianecki;1004;10;11139;1109;533;377
301102 4;Czempiń;Kościański;332;3;5278;1590;758;569
300302 4;Czerniejewo;Gnieźnieński;1019;10;2637;259;527;776
300904 4;Dąbie;Kolski;880;9;2061;234;569;840
302703 4;Dobra;Turecki;184;2;1427;776;791;886
302003 4;Dobrzyca;Pleszewski;1970;20;3167;161;292;714
302602 4;Dolsk;Śremski;620;6;1575;254;658;877
300301 1;Gniezno;Gnieźnieński;4060;41;69686;1716;105;55
301001 4;Golina;Koniński;352;3;4498;1278;749;608
302803 4;Gołańcz;Wągrowiecki;1264;13;3397;269;449;696
300402 4;Gostyń;Gostyński;1109;11;20237;1825;497;215
301803 4;Grabów nad Prosną;Ostrzeszowski;258;3;1969;763;772;849
300502 4;Grodzisk Wielkopolski;Grodziski;1821;18;14392;790;313;311
300602 4;Jarocin;Jarociński;1513;15;26394;1744;381;170
303102 4;Jastrowie;Złotowski;7230;72;8703;120;60;446
302202 4;Jutrosin;Rawicki;162;2;1928;1190;795;853
306101 1;Kalisz;Kalisz;6942;69;103373;1489;63;38
300803 4;Kępno;Kępiński;779;8;14559;1869;607;308
301004 4;Kleczew;Koniński;780;8;4230;542;606;631
300305 4;Kłecko;Gnieźnieński;962;10;2681;279;550;772
300906 4;Kłodawa;Kolski;431;4;6635;1539;727;502
301202 4;Kobylin;Krotoszyński;487;5;3263;670;701;708
300901 1;Koło;Kolski;1385;14;22834;1649;414;191
306201 1;Konin;Konin;8220;82;76547;931;46;47
302108 4;Kostrzyn;Poznański;798;8;9542;1196;600;418
301101 1;Kościan;Kościański;879;9;23949;2725;570;183
301203 4;Koźmin Wielkopolski;Krotoszyński;589;6;6701;1138;669;496
302109 4;Kórnik;Poznański;599;6;7684;1283;666;466
303103 4;Krajenka;Złotowski;376;4;3797;1010;741;666
300403 4;Krobia;Gostyński;705;7;4236;601;632;630
301204 4;Krotoszyn;Krotoszyński;2254;23;29284;1299;244;156
301104 4;Krzywiń;Kościański;227;2;1635;720;781;873
300204 4;Krzyż Wielkopolski;Czarnkowsko-trzcianecki;581;6;6171;1062;671;521
302603 4;Książ Wielkopolski;Śremski;196;2;2776;1416;789;758
306301 1;Leszno;Leszno;3186;32;64616;2028;163;63
302101 1;Luboń;Poznański;1351;14;30813;2281;424;147
301502 4;Lwówek;Nowotomyski;316;3;3042;963;762;729
301904 4;Łobżenica;Pilski;325;3;2997;922;760;736
300104 4;Margonin;Chodzieski;515;5;3027;588;692;732
302203 4;Miejska Górka;Rawicki;314;3;3253;1036;763;709
301403 4;Międzychód;Międzychodzki;698;7;10723;1536;637;382
301806 4;Mikstat;Ostrzeszowski;252;3;1884;748;773;858
303002 4;Miłosław;Wrzesiński;407;4;3589;882;733;685
302110 4;Mosina;Poznański;1350;14;13220;979;425;331
302111 4;Murowana Goślina;Poznański;862;9;10508;1219;576;387
303003 4;Nekla;Wrzesiński;1979;20;3655;185;291;677
301702 4;Nowe Skalmierzyce;Ostrowski;158;1;4871;3083;796;590
301504 4;Nowy Tomyśl;Nowotomyski;520;5;14974;2880;691;300
301601 4;Oborniki;Obornicki;1408;14;18426;1309;411;243
302401 1;Obrzycko;Szamotulski;374;4;2393;640;742;804
301703 4;Odolanów;Ostrowski;476;5;5134;1079;708;577
303105 4;Okonek;Złotowski;601;6;3979;662;665;651
301505 4;Opalenica;Nowotomyski;642;6;9621;1499;653;413
301303 4;Osieczna;Leszczyński;476;5;2265;476;708;817
302405 4;Ostroróg;Szamotulski;125;1;1989;1591;799;845
301701 1;Ostrów Wielkopolski;Ostrowski;4190;42;72754;1736;102;53
301807 4;Ostrzeszów;Ostrzeszowski;1213;12;14511;1196;469;309
301901 1;Piła;Pilski;10268;103;74333;724;28;51
302006 4;Pleszew;Pleszewski;1338;13;17717;1324;430;254
302406 4;Pniewy;Szamotulski;932;9;7982;856;558;458
302112 4;Pobiedziska;Poznański;1024;10;9091;888;525;429
300406 4;Pogorzela;Gostyński;436;4;2063;473;724;839
300407 4;Poniec;Gostyński;348;3;2873;826;750;750
306401 1;Poznań;Poznań;26191;262;545680;2083;8;5
300911 4;Przedecz;Kolski;298;3;1753;588;766;868
302102 1;Puszczykowo;Poznański;1639;16;9802;598;355;411
303004 4;Pyzdry;Wrzesiński;1216;12;3220;265;467;713
300504 4;Rakoniewice;Grodziski;337;3;3529;1047;756;690
301706 4;Raszków;Ostrowski;205;2;2080;1015;787;837
302205 4;Rawicz;Rawicki;774;8;20779;2685;608;213
301602 4;Rogoźno;Obornicki;1124;11;11229;999;492;372
301007 4;Rychwał;Koniński;970;10;2385;246;545;805
301304 4;Rydzyna;Leszczyński;220;2;2790;1268;783;756
301404 4;Sieraków;Międzychodzki;1408;14;6089;432;411;528
302805 4;Skoki;Wągrowiecki;1120;11;4175;373;494;638
302301 1;Słupca;Słupecki;1030;10;14016;1361;521;323
301010 4;Sompolno;Koniński;621;6;3612;582;657;683
300709 4;Stawiszyn;Kaliski;99;1;1542;1558;801;878
302114 4;Stęszew;Poznański;569;6;5903;1037;676;543
301201 1;Sulmierzyce;Krotoszyński;2929;29;2905;99;179;746
302116 4;Swarzędz;Poznański;823;9;31035;3771;592;144
300105 4;Szamocin;Chodzieski;467;5;4337;929;712;621
302407 4;Szamotuły;Szamotulski;1108;11;18831;1700;498;235
301012 4;Ślesin;Koniński;718;7;3151;439;629;716
