rok;komitet;nazwa
2005;Centrum;
2005;DemokraciPL;
2005;DomO;
2005;InicjatywaRP;
2005;JKM;
2005;KObywatelska;
2005;Komitet Wyborczy Wyborców "Mniejszość Niemiecka";
2005;Lista nr 14 - Komitet Wyborczy Polskiej Konfederacji - Godność i Praca;
2005;Lista nr 19 - Komitet Wyborczy Stronnictwa Pracy;
2005;Lista nr 19 - Komitet Wyborczy Wyborców "Mniejszości Niemieckiej Śląska";
2005;Lista nr 19 - Komitet Wyborczy Wyborców Społeczni Ratownicy;
2005;LPR;
2005;NOP;
2005;Patriotyczny;
2005;PiS;
2005;PO;
2005;PPN;
2005;PPP;
2005;PSL;
2005;Samoobrona;
2005;SDPL;
2005;SLD;
2007;Komitet Wyborczy Wyborców "Mniejszość Niemiecka";
2007;LiD;
2007;Lista nr 21 - Komitet Wyborczy Partii Kobiet;
2007;Lista nr 22 - Komitet Wyborczy Samoobrona Patriotyczna;
2007;LPR;
2007;PiS;
2007;PO;
2007;PPP;
2007;PSL;
2007;Samoobrona;
2011;Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera;
2011;Komitet Wyborczy Wyborców Mniejszość Niemiecka;
2011;NowaPrawicaJKM;
2011;PiS;
2011;PJN;
2011;PO;
2011;PPP-S80;
2011;Prawica;
2011;PSL;
2011;RPalikota;
2011;SLD;
2015;BRAUN;
2015;KNP;
2015;KORWiN;
2015;KUKIZ;
2015;KWWJOW;
2015;MNIEMIECKA;
2015;OBYWATELE;
2015;PETRU;
2015;PiS;
2015;PO;
2015;PSL;
2015;RAZEM;
2015;RUCHSPOL;
2015;SAMOOBRONA;
2015;STONOGA;
2015;ZJEDNOCZENIDLASLASKA;
2015;ZLEW;
2019;AKCJAZAWIEDZIONYCHEiR;
2019;BiS;
2019;KONFEDERACJA;
2019;LIROY;
2019;MNIEJSZOSCNIEMIECKA;
2019;PiS;
2019;PO;
2019;PRAWICA;
2019;PSL;
2019;SLD;
