TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2000;;2001;;2002;;2003;;2004e;;
Albaniae;;65;;94;;100;;100;;100;;
Algeria;;842;;850;;1,091;;1,051;;1,014;5;
Argentina;;4,472;;4,107;;4,363;;5,033;r;5,125;5;
Australia;;7,812;;7,600;;8,242;;8,300;e;4,811;5;
Austria;;5,725;;5,887;;6,208;;6,261;r;6,530;5;
Bangladeshe, 6;;35;;30;;30;;25;;25;;
Belarus;;1,623;;1,500;;1,500;e;1,570;e;1,600;;
Belgium;;11,637;;10,783;;11,495;;11,114;r;11,698;5;
Bosnia and Herzegovinae;;77;;84;;85;;90;;90;;
Brazil7;;27,865;;26,718;;29,605;;31,200;r;31,200;;
Bulgaria;;2,017;;1,942;;1,860;e;1,900;e;1,900;;
Burmae;;25;r;25;r;25;r;25;r;25;;
Canada;;15,900;;16,300;;16,300;;17,000;r;17,000;;
Chile7;;1,352;;1,247;;1,279;;1,377;r;1,370;;
China8;;128,500;;151,630;;182,370;;222,340;r;272,450;5;
Colombia;;660;;638;;664;;668;;745;5;
Croatia;;71;;58;;34;;35;e;35;;
Cuba;;327;;270;;264;;268;r, e;268;;
Czech Republic;;6,216;;6,316;;6,512;;6,500;e;6,800;;
Denmark;;803;;746;;392;;--;e;--;;
Dominican Republic;;36;;33;;61;;61;r, e;61;;
Ecuador;;58;;60;r;69;r;80;r;80;;
Egypt;;2,820;e;3,800;;4,358;;4,398;r;4,757;5;
El Salvador;;41;;39;;49;;57;;56;;
Finland;;4,096;;3,938;;4,004;;4,766;;4,833;5;
France;;21,002;;19,431;;20,524;;19,578;r;20,770;5;
Georgia;;(9);;--;;--;;--;;--;;
Germany;;46,376;;44,775;;44,999;;44,809;r;46,374;5;
Ghana, all from scrap;;75;;75;;75;;75;;75;;
Greece;;1,056;;1,281;;1,835;;1,701;r;1,967;5;
Guatemala;;166;;202;r;216;r;226;r;226;;
Hong Konge;;500;;500;;500;;500;;500;;
Hungary;;1,871;;2,056;;2,141;;2,100;e;2,000;;
India;;26,924;;27,291;;28,814;;31,779;;32,000;10;
Indonesiae;;3,010;;2,780;;2,460;;2,040;r;2,800;;
Iran;;6,600;;6,890;;7,293;;7,869;;9,382;5;
Iraqe;;50;;50;;--;;--;;--;;
Ireland;;375;;110;;--;;--;e;--;;
Israele;;270;;220;;150;;150;;250;;
Italy;;26,544;;26,483;;25,930;;26,832;r;28,317;5;
Japan;;106,444;;102,866;;107,745;r;110,511;r;112,718;5;
Jordane;;30;;30;;30;;134;r;135;;
Kazakhstan;;4,770;;4,691;;4,868;;5,067;;5,400;;
Korea, Northe;;1,000;;1,000;;1,030;r;1,090;r;1,070;;
Korea, Republic of;;43,107;r;43,852;r;45,390;r;46,310;r;47,500;;
Latviae;;500;;510;e;507;r;546;r;520;;
Libya;;1,055;;846;e;886;;1,007;r;1,026;5;
Luxembourg;;2,571;;2,725;;2,736;;2,675;r;2,684;5;
Macedonia;;161;r;218;r;225;r;291;r;300;;
Malaysia;;3,650;;4,100;;4,722;;3,960;r;4,100;;
Mauritaniae;;5;5;5;;5;;5;;5;;
