TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1999;;2000;;2001;;2002;;2003e;;
Albaniae;;15;;65;;94;;100;;100;;
Algeria;;758;;842;;850;;1,091;r;1,051;5;
Argentina;;3,797;;4,472;;4,107;;4,363;;5,044;5;
Australia;;8,158;;7,812;;7,600;;8,242;;8,300;;
Austria;;5,213;;5,725;;5,887;;6,208;;6,200;;
Bangladeshe, 6;;36;;35;;30;;30;;25;;
Belarus;;1,449;;1,623;;1,500;;1,500;e;1,570;;
Belgium;;10,972;;11,637;;10,783;;11,495;;11,000;;
Bosnia and Herzegovinae;;60;;77;;84;;85;;90;;
Brazil7;;24,600;r;27,865;;26,718;r;29,605;r;29,600;;
Bulgaria;;1,889;;2,017;;1,942;;1,860;r, e;1,900;;
Burmae;;24;;24;;24;;24;;24;;
Canada;;16,300;;15,900;;16,300;;16,300;;16,300;;
Chile7;;1,291;;1,352;;1,247;r;1,279;r;1,377;5;
China8;;124,260;;128,500;;151,630;;182,370;r;220,120;5;
Colombia;;534;;660;;638;;664;r;668;5;
Croatia;;77;;71;;58;;34;r;35;;
Cuba;;303;;327;;270;;264;r;225;;
Czech Republic;;5,613;;6,216;;6,316;;6,512;r;6,500;;
Denmark;;748;;803;;746;;392;e;--;;
Dominican Republic;;43;;36;;33;r;61;r;60;;
Ecuador;;53;;58;;60;;67;;80;5;
Egypt;;2,619;;2,820;e;3,800;;4,358;r;4,315;5;
El Salvador;;34;;41;;39;;49;;57;5;
Finland;;3,956;;4,096;;3,938;;4,004;;4,766;5;
France;;20,211;;21,002;;19,431;;20,524;;20,000;;
Georgia;;7;;(9);r;--;r;--;r;--;;
Germany;;42,056;;46,376;;44,775;;44,999;;45,000;;
Ghana, all from scrap;;75;;75;;75;;75;e;75;;
Greece;;951;;1,056;;1,281;;1,835;;1,800;;
Guatemala;;80;;166;;202;;216;;226;5;
Hong Konge;;450;;500;;500;;500;;500;;
Hungary;;1,813;;1,871;;2,056;;2,141;r;2,100;;
India;;24,269;;26,924;;27,291;;28,814;;31,779;5;
Indonesiae;;2,890;;3,010;;2,780;;2,460;r;2,500;;
Iran;;6,277;;6,600;;6,890;r;7,293;r;7,869;5;
Iraqe;;50;;50;;50;;--;r;--;;
Ireland;;335;;375;;110;;--;;--;;
Israele;;280;;270;;220;;150;;150;;
Italy;;24,964;;26,544;;26,483;;25,930;;26,000;;
Japan;;94,192;;106,444;;102,866;;107,745;;110,511;5;
Jordane;;30;;30;;30;;30;;30;;
Kazakhstan;;4,116;;4,770;;4,691;;4,868;;5,067;5;
Korea, Northe;;1,000;;1,000;;1,000;;1,000;;1,000;;
Korea, Republic of;;41,042;;43,107;;43,852;;45,390;;46,306;5;
Latvia;;484;;500;;510;e;505;e;500;;
Libya;;945;;1,055;;846;e;886;r;989;5;
Luxembourg;;2,477;;2,571;;2,725;;2,736;;2,700;;
Macedonia;;49;;50;;50;;50;e;50;;
Malaysia;;2,770;;3,650;;4,100;;4,722;r;4,700;;
Mauritania;;5;;5;;5;e;5;e;5;;
Mexico;;15,243;;15,586;;13,292;;14,050;;15,237;5;
Moldova;;796;;909;;966;;514;r;500;;
Moroccoe;;5;;5;;5;;5;;5;;
Netherlands;;6,075;;5,667;;6,037;;6,144;;6,000;;
New Zealand;;744;;765;;770;e;750;e;750;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 11--Continued;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1999;;2000;;2001;;2002;;2003e;;
Norway;;611;;620;;635;;694;e;698;;
Pakistane;;500;;500;;500;;500;;500;;
Paraguay;;56;;77;;71;;80;;91;5;
Peru;;559;;749;;750;e;750;e;750;;
Philippinese;;530;5;530;;530;;530;;340;;
Poland;;8,853;;10,498;;8,809;;8,369;;8,400;;
Portugal;;1,044;;1,060;;728;;800;e;800;;
Qatar;;629;;744;;908;;1,027;r;1,054;5;
Romania;;4,392;;4,770;;4,930;;5,491;r;5,500;;
Russia;;51,524;;59,098;;59,030;;59,777;;62,710;5;
Saudi Arabia;;2,610;;2,973;;3,413;;3,570;r, e;3,944;5;
Serbia and Montenegro;;226;;682;;598;;596;;700;;
Singaporee;;500;;500;;400;;400;;400;;
Slovakia;;3,569;;3,447;;3,676;;4,275;r;4,000;;
Slovenia;;405;;519;;462;;481;r, e;500;;
South Africa;;6,830;;8,481;;8,821;;9,095;r;9,486;5;
Spain;;14,886;;15,920;;16,500;;16,358;;16,000;;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,075;;5,227;;5,518;;5,754;;5,707;5;
