TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2012;;2013;;2014;;2015;;2016;;
Afghanistan;;--;;--;;--;;--;;24;;
Albania;;390;r;312;r;310;r, e;280;r, e;100;e;;;;
Algeria;;557;;417;;415;;650;;650;;
Argentina;;4,995;;5,186;;5,488;;5,028;r;4,126;;
Australia;;4,851;r;4,731;r;4,582;r;4,935;r;5,259;;
Austria;;7,421;;7,953;;7,876;;7,687;;7,438;;
Azerbaijan;;268;r;223;r;324;r;302;r;180;e;;;;
Bahrain;;950;e;970;e;970;e;970;e;--;;
Belarus;;2,869;r;2,395;r;2,598;r;2,579;r;2,188;;
Belgium;;7,301;;7,093;;7,331;;7,257;;7,687;;
Bosnia and Herzegovina, ingot production;;700;;722;;792;r;796;r;806;;
Brazil4;;34,524;;34,163;;33,912;r;33,300;r;31,275;;
Bulgaria;;633;;523;;612;;543;;527;;
Canada;;13,507;;12,417;;12,730;;12,473;;12,646;;
Chile4;;1,671;;1,323;;1,079;;1,112;;1,153;;
China5;;723,880;r;779,040;r;822,300;r;803,820;r;808,366;;
Colombia;;1,302;;1,236;;1,208;;1,211;;1,272;;
Croatia;;1;;135;;167;;122;r;--;;
Cuba;;277;;267;r;258;r;222;r;244;;
Czechia;;5,072;;5,171;;5,360;;5,262;;5,305;;
Ecuador;;425;;570;;667;;720;;576;;
Egypt;;6,627;;6,754;;6,485;;5,506;;5,036;;
El Salvador;;72;;118;;121;;124;;100;;
Ethiopia, all from scrape;;--;;--;;--;;--;;690;;
Finland;;3,759;;3,517;;3,807;;3,988;;4,101;;
France;;15,609;;15,685;;16,143;;14,984;;14,413;;
Germany;;42,661;;42,645;;42,943;;42,676;;42,080;;
Greece;;1,247;r;1,030;r;1,022;;910;;1,158;;
Guatemala;;334;;385;;395;;403;;314;;
Hungary;;1,542;;883;;1,152;;1,675;;1,274;;
India;;77,264;;81,299;;87,292;;89,026;;95,477;;
Indonesia;;2,254;;2,644;;4,428;;4,854;;4,746;;
Iran;;14,463;;15,422;;16,331;;16,146;;17,895;;
Iraq;;--;;--;;--;;--;;--;;
Israele;;300;;300;;300;;300;;300;;
Italy;;27,257;;23,093;;23,714;;22,018;;23,373;;
Japan;;107,232;;110,595;;110,666;;105,134;;104,775;;
Jordane;;150;;150;;150;;150;;150;;
Kazakhstan;;2,610;r;2,738;r;2,909;r;2,948;r;4,236;;
Kenyae;;20;;--;r;20;;20;;20;;
Korea, North;;1,222;r;1,210;r;1,220;r;1,079;r;1,250;e;;;;
Korea, Republic of;;69,073;;66,061;;71,542;r;69,670;;68,576;;
Kuwait;;975;;1,150;;1,150;;1,150;;--;;
Latvia;;805;;198;;--;;--;;--;;
Libya;;315;;712;;712;;352;;492;;
Luxembourg;;2,208;;2,090;;2,193;;2,127;;2,175;;
Macedonia;;225;r;146;r;196;r;165;r;169;;
Malaysia;;5,612;;4,693;;4,316;;3,784;;2,764;;
Mauritania;;5;;5;;5;;5;;5;e;;;;
Mexico;;18,073;;18,242;;18,930;;18,228;r;18,809;;
Moldova;;317;r;190;;344;r;430;r;126;;
Mongoliae;;35;;40;;45;;45;;50;;
Montenegro;;120;;70;;140;;150;;120;e;;;;
Morocco;;539;r;558;;500;r;516;e;520;;
Netherlands;;6,879;;6,713;;6,964;;6,995;;6,917;;
New Zealand;;912;e;900;e;859;;793;e;577;;
Nigeriae;;--;;--;;--;;--;;100;;
Norway;;700;;605;e;600;e;590;e;620;;
Oman;;300;;500;;1,500;;2,000;;2,000;e;;;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2012;;2013;;2014;;2015;;2016;;
Pakistan;;1,631;;1,845;;2,423;;2,892;;3,553;;
Paraguay;;44;;45;;47;;48;;35;;
Peru;;981;;1,069;r;1,078;;1,082;;1,168;;
Philippines;;1,260;;1,308;;1,196;;968;;1,075;;
Poland;;8,543;r;8,199;r;8,800;r;9,337;r;9,001;;
Portugal;;1,960;;2,050;;2,070;;2,030;;2,010;;
Qatar;;2,443;r;2,536;r;3,474;r;2,593;;2,521;;
Romania;;3,417;r;3,071;r;3,193;r;3,346;r;3,276;;
Russia;;70,392;r;68,861;r;70,548;r;69,421;r;70,808;;
Rwandae;;15;;15;;15;;15;;15;;
Saudi Arabia;;5,203;;5,471;;6,291;;5,229;;5,461;;
Serbia;;346;;396;;583;;955;;1,173;;
Singapore;;688;;434;;540;;501;;520;;
Slovakia;;4,403;;4,511;;4,705;;4,562;;4,808;;
Slovenia;;632;;618;;615;;604;;613;;
South Africa;;6,938;;7,162;;6,412;;6,417;;6,141;;
Spain;;16,639;;14,252;;14,249;;14,845;;13,616;;
Sweden;;4,326;;4,404;;4,539;;4,374;;4,617;;
Switzerland;;1,450;;1,530;;1,475;;1,475;;1,500;e;;;;
Syriae;;10;;10;;5;;5;;5;;
Taiwan;;20,664;;22,282;;23,121;;21,392;;21,751;;
Tanzaniae;;--;;--;;--;;--;;210;;
Thailand;;3,328;;3,579;;4,095;;3,718;;3,825;;
Trinidad and Tobago;;624;r;616;;483;r;267;r;36;;
Tunisia;;109;r;109;r;101;r;50;e;50;e;;;;
Turkey;;35,885;;34,654;;34,035;;31,517;r;33,163;;
