TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY 1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2006;;2007;;2008;;2009;;2010;;
Albania;;206;;263;;380;;440;;440;e;
Algeria;;1,158;;1,278;;646;;458;;700;;
Argentina;;5,533;;5,387;;5,441;;4,014;;5,138;;
Australia;;7,937;;8,047;;7,724;;6,135;;7,140;;
Austria;;7,129;;7,578;;7,594;;5,662;;7,206;;
Azerbaijan;;54;;273;;300;e;79;r;129;;
Bangladeshe, 5;;10;;--;6;--;;--;;--;;
Belarus;;2,100;;2,214;;2,660;;2,449;r;2,672;;
Belgium;;11,238;;10,692;;10,676;;5,636;;8,088;;
Bosnia and Herzegovina, ingot production;;490;;533;;608;;519;;593;;
Brazil7;;30,901;;33,782;;33,726;r;26,506;r;33,200;e;
Bulgaria;;2,124;;1,909;;1,330;;726;;740;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;15,493;;15,569;;15,130;;9,000;e;12,000;e;
Chile7;;1,627;;1,679;;1,523;;1,308;r;992;e;
China8;;419,150;;489,290;;500,490;;572,180;r;626,650;;
Colombia;;1,221;;1,245;;1,053;;1,079;;1,209;;
Croatia;;81;;76;;122;r;52;;110;e;
Cuba;;257;;262;;274;;274;e;265;e;
Czech Republic;;6,862;;7,059;;6,387;;4,594;;5,180;;
Ecuador;;85;;87;;128;r;259;r;368;;
Egypt;;6,045;;6,224;;6,198;;5,508;;6,700;;
El Salvador;;72;;73;;71;r;56;r;51;;
Ethiopia, all from scrape;;60;;110;;150;;150;;150;;
Finland;;5,052;;4,431;;4,418;;3,078;;3,100;;
France;;19,857;;19,252;;17,874;;12,836;;15,416;;
Germany;;47,224;;48,550;;45,833;;32,670;r;43,830;;
Ghana, all from scrape;;25;;25;;--;;--;;--;;
Greece;;2,416;;2,554;;2,400;e;2,082;;2,100;;
Guatemala;;292;;349;;250;;224;;272;;
Hong Konge;;550;;550;;550;;550;;500;;
Hungary;;2,144;;2,317;;2,160;;1,425;r;1,678;;
India;;49,450;r;53,468;r;57,791;r;63,527;r;68,321;;
Indonesia;;3,759;;4,160;;3,915;;3,500;e;3,700;;
Irane;;9,789;6;10,051;6;9,960;;10,000;;12,000;;
Israele;;480;;480;;480;;380;r;430;e;
Italy;;31,550;;31,990;;30,477;;19,737;;25,751;;
Japan;;116,266;;120,203;;118,739;;87,500;;109,600;;
Jordane;;150;;150;;150;;150;;150;;
Kazakhstan;;4,245;;4,784;;4,244;;4,147;;4,256;;
Korea, Northe;;1,180;;1,230;;1,279;6;1,300;;1,300;;
Korea, Republic of;;48,455;;51,517;;53,322;;48,752;r;49,000;e;
Latviae;;550;;550;;550;;550;;550;;
Libya;;1,151;;1,151;;1,137;;914;;1,100;;
Luxembourg;;2,802;;2,858;;2,582;;2,215;;2,563;;
Macedonia;;360;;372;;252;;276;r;291;;
Malaysia;;5,834;;6,895;;6,423;;5,787;r;6,100;e;
Mauritania;;1;;1;;2;;2;e;2;e;
Mexico;;16,313;;17,573;;17,209;;14,172;;17,041;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY 1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2006;;2007;;2008;;2009;;2010;;
Moldova;;675;;995;;885;;425;;240;e;
Montenegro;;163;;174;;202;;90;r;95;e;
Morocco;;314;;314;;478;;480;e;480;e;
Netherlands;;6,372;;7,368;;6,853;;5,194;;6,651;;
New Zealand;;862;;845;;853;;765;r;850;e;
Norwaye;;679;;680;;590;;591;6;600;;
Pakistan;;933;r;1,090;;1,100;;1,100;e;1,100;e;
Paraguay;;118;;132;;130;;130;e;130;e;
Perue;;896;6;881;6;1,150;;1,200;;1,200;;
Philippines;;558;;718;;711;;700;e;700;e;
Poland;;9,992;;10,621;;9,727;;7,129;r;8,008;;
Portugale;;1,400;;1,400;;1,400;;1,400;;1,400;;
Qatar;;1,003;;1,147;;1,406;;1,400;r;2,000;;
Romania;;6,266;;6,261;;5,035;;2,761;r;3,896;;
Russia;;70,816;;72,389;;68,700;;59,166;;66,700;e;
Saudi Arabiae;;3,974;6;4,644;6;4,670;;4,700;;5,000;;
Serbia;;1,837;;1,478;;1,662;;1,061;r;1,254;;
Singaporee;;607;;620;;600;;620;;650;;
Slovakia;;5,094;;5,100;;4,489;;3,747;;4,588;;
Slovenia;;627;;638;;642;;430;r;606;;
South Africa;;9,718;;9,098;;8,269;;7,484;;8,480;;
Spain;;18,391;;18,999;;19,048;;19,100;e;19,100;e;
Sri Lankae;;30;;30;;30;;30;;30;;
Swedene;;5,435;6;5,673;6;5,500;;5,000;;5,000;;
Switzerland;;1,252;;1,264;;1,260;;981;;1,000;;
Syriae;;70;;70;;70;6;70;;70;;
Taiwan;;19,203;;20,883;;19,222;;15,566;;20,498;;
Thailand;;4,914;r;5,565;r;5,211;r;3,645;r;4,000;e;
