TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2005;;2006;;2007;;2008;;2009;;
Albania;;180;;206;;263;;380;r;440;;
Algeria;;1,007;;1,158;;1,278;;646;;458;;
Argentina;;5,386;;5,533;;5,387;;5,441;r;4,014;;
Australia;;7,788;;7,937;;8,047;;7,724;r;6,135;;
Austria;;7,031;;7,129;;7,578;;7,594;r;5,662;p;
Azerbaijan;;286;;54;;273;;300;e;200;e;
Bangladeshe, 5;;20;;10;;--;6;--;;--;;
Belarus;;2,076;;2,100;;2,214;;2,660;;2,330;;
Belgium;;8,906;;11,238;;10,692;;10,676;r;5,636;;
Bosnia and Herzegovina, ingot production;;289;r;490;r;533;r;608;r;519;;
Brazil7;;31,631;;30,901;;33,782;;33,716;r;33,750;p;
Bulgaria;;1,969;;2,124;;1,909;;1,330;;726;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;15,327;;15,493;;15,569;;15,100;;9,000;e;
Chile7;;1,537;;1,627;;1,679;;1,523;r;1,302;;
China8;;353,240;;419,150;;489,290;;500,490;;567,840;;
Colombia;;842;e;1,221;;1,245;r;1,053;r;1,079;;
Croatia;;74;;81;;76;;115;r, e;52;e;
Cuba;;245;;257;;262;;274;;274;e;
Czech Republic;;6,189;;6,862;;7,059;;6,387;r;4,594;;
Ecuador;;84;;85;;87;;85;e;85;e;
Egypt;;5,603;;6,045;;6,224;;6,198;;5,508;;
El Salvador;;48;;72;;73;;72;e;72;e;
Ethiopia, all from scrape;;60;;60;;110;;150;;150;;
Finland;;4,738;;5,052;;4,431;;4,418;r;3,078;;
France;;19,481;;19,857;;19,252;;17,874;;12,836;;
Germany;;44,524;;47,224;;48,550;;45,833;;32,671;p;
Ghana, all from scrape;;25;;25;;25;;--;r;--;;
Greece;;2,266;;2,416;;2,554;;2,400;e;2,082;;
Guatemala;;207;;292;;349;;250;r;224;;
Hong Konge;;500;;550;;550;;550;;550;;
Hungary;;2,005;;2,144;;2,317;;2,160;r;1,401;;
India;;45,800;;49,500;;53,100;;55,200;;56,600;;
Indonesia;;3,675;;3,759;;4,160;r;3,915;r;3,500;e;
Iran;;9,405;;9,789;;10,051;;9,960;e;10,000;e;
Israele;;480;;480;;480;;480;;430;;
Italy;;29,061;;31,550;;31,990;;30,477;;19,737;;
Japan;;112,471;;116,266;;120,203;;118,739;;87,500;;
Jordane;;150;;150;;150;;150;;150;;
Kazakhstan;;4,477;;4,245;;4,784;;4,244;r;4,147;;
Korea, Northe;;1,070;;1,180;;1,230;;1,279;6;1,300;;
Korea, Republic of;;47,820;;48,455;;51,517;;53,322;;53,300;e;
Latviae;;550;;550;;550;;550;;550;;
Libya;;1,255;;1,151;;1,151;;1,137;;914;;
Luxembourg;;2,194;;2,802;;2,858;r;2,582;r;2,215;;
Macedonia;;326;;360;;372;;252;r;278;e;
Malaysia;;5,296;;5,834;;6,895;;6,423;r;6,600;e;
Mauritania;;1;;1;;1;;2;;2;e;
Mexico;;16,202;;16,313;;17,573;;17,209;r;14,172;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2005;;2006;;2007;;2008;;2009;;
Moldova;;1,016;;675;;995;;885;;425;;
Montenegro;;104;9;163;;174;;202;r;50;e;
Morocco;;205;;314;;314;;478;r;480;;
Netherlands;;6,919;;6,372;;7,368;r;6,853;r;5,194;;
New Zealand;;889;;862;;845;;853;;800;e;
Norwaye;;701;;679;;680;;590;r;591;6;
Pakistan;;825;;1,040;;1,090;;1,100;;1,100;e;
Paraguay;;101;;118;r;132;r;130;r;130;p, e;
Peru;;790;;896;;881;;1,150;e;1,200;e;
Philippines;;470;;558;;718;;711;r;700;e;
Poland;;8,336;;9,992;;10,621;;9,727;;7,208;;
Portugal;;1,400;6;1,400;;1,400;;1,400;;1,400;;
Qatar;;1,057;;1,003;;1,147;;1,406;;1,028;;
Romania;;5,632;;6,266;;6,261;;5,035;;2,699;;
Russia;;66,186;;70,816;;72,389;;68,700;;59,166;;
Saudi Arabia;;4,185;;3,974;;4,644;;4,670;e;4,700;e;
Serbia;;1,286;9;1,837;;1,478;;1,662;;1,097;;
Singaporee;;572;;607;;620;;600;;620;;
Slovakia;;4,547;r;5,094;r;5,100;r;4,489;r;3,747;;
Slovenia;;583;;627;;638;;642;r;436;;
South Africa;;9,494;;9,718;;9,098;;8,269;r;7,484;;
Spain;;17,826;;18,391;;18,999;;19,048;;19,100;p, e;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,692;;5,435;;5,673;;5,500;e;5,000;e;
Switzerland;;1,158;;1,252;;1,264;;1,260;;981;;
Syriae;;70;;70;;70;;70;r, 6;70;;
Taiwan;;18,567;;19,203;;20,883;;19,222;;15,566;;
Thailand;;5,161;;5,210;;5,470;;5,470;e;5,470;e;
Trinidad and Tobago;;711;;674;;682;;675;e;675;e;
Tunisia;;66;;68;;61;;82;r;155;;
Turkey;;20,960;;23,308;;25,750;;26,400;e;25,000;e;
Uganda;;30;;30;;30;;30;;25;;
Ukraine;;38,636;;40,899;;42,830;;37,107;;29,757;;
United Arab Emiratese;;70;;70;;90;;90;;90;;
United Kingdom;;13,210;;13,931;;14,300;;13,538;;10,080;p;
United States;;94,900;;98,200;;98,100;;91,900;;59,400;;
Uruguay;;64;;57;;71;;70;r;70;p, e;
Uzbekistane;;607;;730;e;740;e;686;r;716;;
Venezuela;;4,907;;4,864;;5,005;;4,240;;5,000;p, e;
Vietnam;;890;;1,869;r;2,024;;2,250;r;2,250;e;
Zimbabwe;;107;;24;;23;;10;e;10;e;
    Total;;1,140,000;;1,250,000;;1,350,000;;1,330,000;;1,240,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as ;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through September 8, 2010.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to;;;;;;;;;;;;
 make reliable estimates of output levels.;;;;;;;;;;;;
5Data for year ending June 30 of that stated.;;;;;;;;;;;;
6Reported figure.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
9Montenegro and Serbia formally declared independence from each other in June 2006 and dissolved their union. Production is ;;;;;;;;;;;;
reported individually now.;;;;;;;;;;;;
