TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2008;;2009;;2010;;2011;;2012;;
Albania;;380;;440;;390;r, e;464;r;500;e;
Algeria;;646;;543;;696;;440;;500;;
Argentina;;5,441;;4,014;;5,138;;5,655;;4,995;;
Australia;;7,724;;6,135;;7,140;;6,538;;4,894;;
Austria;;7,594;;5,662;;7,206;;7,474;;7,421;;
Azerbaijan;;75;;79;;129;;232;r;235;e;
Belarus;;2,660;;2,449;;2,672;;2,779;r;2,750;e;
Belgium;;10,676;;5,636;;7,973;r;8,026;r;7,386;;
Bosnia and Herzegovina, ingot production;;608;;519;;591;;649;;700;;
Brazil5;;33,726;;26,506;;33,033;r;35,200;r;35,000;e;
Bulgaria;;1,330;;726;;740;;834;;633;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;14,845;;9,245;;13,003;;12,891;r;13,507;p;
Chile5;;1,523;;1,308;;1,011;;1,615;r;1,683;;
China6;;500,490;;572,180;;637,230;;685,280;r;716,540;;
Colombia;;1,053;;1,079;;1,209;;1,290;;1,324;;
Croatiae;;122;7;52;7;110;;100;;100;;
Cubae;;274;7;274;;265;;290;;317;;
Czech Republic;;6,387;;4,594;;5,180;;5,583;;5,072;;
Ecuador;;128;;259;;368;;525;;479;;
Egypt;;6,198;;5,508;;6,700;;6,486;;6,600;;
El Salvador;;71;;56;;51;;100;;92;;
Ethiopia, all from scrape;;150;;150;;150;;130;;130;;
Finland;;4,418;;3,078;;4,029;r;3,989;r;3,759;;
France;;17,874;;12,836;;15,416;;15,800;;15,607;;
Germany;;45,833;;32,671;;43,830;;44,284;r;42,661;;
Greece;;2,400;;2,082;;2,100;;2,000;e;1,800;;
Guatemala;;250;;224;;272;;445;;301;;
Hong Konge;;550;;550;;500;;200;;--;;
Hungary;;2,097;;1,403;;1,678;;1,746;r;1,543;;
India;;57,800;;63,500;;68,300;;73,500;r;77,600;;
Indonesia;;3,915;;3,500;e;3,700;;3,600;r;3,700;;
Irane;;9,960;7;10,000;;12,000;;13,000;;14,500;;
Israele;;480;;380;;430;;430;r;430;;
Italy;;30,477;;19,737;;25,751;;28,700;;27,227;;
Japan;;118,739;;87,534;;109,599;;107,601;r;107,232;;
Jordane;;150;;150;;150;;150;;100;;
Kazakhstan;;4,244;;3,324;r;3,338;r;3,699;r;2,606;;
