TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2010;;2011;;2012;;2013;;2014;x;
Albania;;390;e;464;;382;;401;;400;;
Algeria;;696;;440;;500;;440;;415;;
Argentina;;5,138;;5,655;;4,995;;5,188;;5,488;;
Australia;;7,140;;6,538;;4,904;;4,640;;4,607;;
Austria;;7,206;;7,474;;7,421;;7,400;e;7,876;;
Azerbaijan;;129;;234;;268;;223;r;288;;
Belarus;;2,672;;2,779;;2,869;;2,395;;2,513;;
Belgium;;7,973;;8,026;;7,386;;7,093;;7,331;;
Bosnia and Herzegovina, ingot production;;591;;649;;700;;722;;793;;
Brazil5;;32,928;r;35,220;r;34,524;r;34,163;r;33,897;;
Bulgaria;;740;;834;;633;;522;;612;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;13,003;;12,891;;13,507;;12,400;e;12,730;;
Chile5;;1,011;;1,615;;1,683;;1,321;;1,079;;
China6;;637,230;;685,280;;716,540;;779,040;;822,698;;
Colombia;;1,209;;1,290;;1,324;;1,297;;1,208;;
Croatia;;103;;163;;1;;135;r;167;;
Cuba;;280;r;282;r;279;r;267;r;258;;
Czech Republic;;5,180;;5,583;;5,072;;5,171;;5,360;;
Ecuador;;368;;525;;479;;562;;662;;
Egypt;;6,700;;6,486;;6,600;;6,754;;6,495;;
El Salvador;;64;;100;;72;;72;e;121;;
Ethiopia, all from scrape;;150;;130;;130;;130;;130;;
Finland;;4,029;;3,989;;3,759;;3,517;;3,807;;
France;;15,416;;15,800;;15,607;;15,685;;16,143;;
Germany;;43,830;;44,284;;42,661;;42,641;;42,943;;
Greece;;1,839;;1,993;;2,000;;2,000;e;1,022;;
Guatemala;;274;;294;;334;;385;r;395;;
Hungary;;1,678;;1,733;;1,543;;883;r;1,152;;
India;;68,976;;73,471;;77,561;;81,213;;86,530;;
Indonesia;;3,700;;3,600;;2,300;;2,644;r;4,428;;
Irane;;12,000;;13,000;;14,500;;15,400;;16,331;;
Israele;;430;;430;;430;;430;;430;;
Italy;;25,751;;28,700;;27,227;;24,058;;23,714;;
Japan;;109,599;;107,601;;107,232;;110,571;;110,666;;
Jordane;;150;;150;;100;;100;;100;;
Kazakhstan;;3,338;;3,699;;2,606;;2,800;e;3,681;;
Kenyae;;260;;290;;290;;290;;410;;
Korea, Northe;;1,300;;1,300;;1,300;;1,300;;1,300;;
Korea, Republic of;;58,914;;68,519;;39,321;;81,213;;71,036;;
Latviae;;655;;515;;800;;NA;;NA;;
Libya;;825;;100;;300;;715;;968;;
Luxembourg;;2,563;;2,521;;2,232;;2,090;r;2,193;;
Macedonia;;291;;386;;225;;146;;145;;
Malaysia;;5,693;;5,941;;5,612;;5,700;e;5,700;;
Mexico;;16,870;r;18,110;r;18,073;r;18,420;;18,995;;
Moldova;;242;;321;;317;;190;;344;;
Montenegro;;48;;61;;28;;20;e;30;;
Morocco;;455;;460;;475;;558;;502;;
Netherlands;;6,651;;6,900;;6,867;;6,713;;6,964;;
New Zealand;;853;;844;;912;;900;e;881;;
Norway;;514;;620;;590;;605;;600;;
Pakistan;;415;r;358;r;198;r;165;r;142;;
Paraguaye;;59;;30;;44;7;45;;47;;
Peru;;880;;877;;981;;1,090;;1,078;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2010;;2011;;2012;;2013;;2014;;
Philippines;;1,050;;1,200;;1,260;r;1,308;r;1,196;;
Poland;;7,996;;8,777;;8,543;;8,198;;8,558;;
Portugal;;1,351;;1,942;r;1,960;r;2,050;r;2,070;;
Qatar;;1,705;;1,821;;2,100;;2,236;;3,047;;
Romania;;3,896;;3,811;;3,417;;3,071;;3,158;;
Russia;;66,800;;68,100;;68,500;e;69,400;;71,461;;
Saudi Arabiae;;5,000;;5,300;;5,200;;5,400;;6,291;;
Serbia;;1,254;;1,324;;346;8;396;;583;;
Singaporee;;728;;650;;700;;700;;700;;
Slovakia;;4,580;;4,236;;4,250;;4,000;e;4,705;;
Slovenia;;566;;706;;600;;600;e;615;;
South Africa;;7,617;;7,546;;6,938;;7,200;e;6,550;;
Spain;;16,343;;15,591;;15,600;e;15,600;e;14,249;;
Sweden;;4,844;;4,866;;4,326;;4,404;;4,539;;
Switzerland;;1,320;;1,400;;1,500;e;1,500;e;1,475;;
Syria;;63;;63;;10;;10;e;5;;
Taiwan;;18,975;;21,927;;19,927;;21,466;;23,121;;
Thailand;;4,145;r;4,238;r;3,728;r;3,579;r;4,095;;
Trinidad and Tobago;;572;;604;;624;;616;;483;;
Tunisia;;115;;119;;180;;180;e;109;;
Turkey;;29,030;;34,103;;35,885;;34,650;;34,035;;
Ugandae;;59;;65;;60;;60;;60;;
Ukraine;;33,559;;35,332;;32,912;;33,160;;27,170;;
United Arab Emiratese;;500;;2,000;;2,800;;2,878;7;2,390;;
United Kingdom;;9,709;;9,478;;9,819;;11,855;;12,120;;
United States;;80,500;;86,400;;88,700;;86,900;;88,200;;
Uruguay;;65;;81;;78;;90;;94;;
Uzbekistan;;731;;733;;736;;740;e;730;;
Venezuela;;2,207;;2,300;;2,360;;2,250;;1,485;;
Vietnam;;4,314;;4,900;r;4,298;r;5,774;r;5,847;;
Zimbabwee;;14;;15;;15;;15;;15;;
Total;;1,430,000;;1,520,000;;1,510,000;r;1,620,000;;1,670,000;;
eEstimated. rRevised. NA Not available.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as ;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Includes data available through February 10, 2016.;;;;;;;;;;;;
4In addition to the countries listed, Hong Kong, Mauritania, Mozambique, and Sri Lanka are known to have steelmaking plants, but ;;;;;;;;;;;;
available information is inadequate to make reliable estimates of output levels.;;;;;;;;;;;;
5Does not include castings.;;;;;;;;;;;;
