TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2003;;2004;;2005;;2006;;2007;;
Albania;;86;;98;;87;r;100;r;100;e;
Algeria;;1,051;;1,014;;1,007;;1,158;r;1,278;;
Argentina;;5,033;;5,133;r;5,386;r;5,533;;5,387;p;
Australia;;9,678;;8,353;;7,788;;7,937;;8,047;;
Austria;;6,261;;6,530;;7,031;;6,487;r;6,871;;
Azerbaijan;;56;;90;;286;;54;;273;;
Bangladeshe, 5;;25;;25;;20;;20;;--;6;
Belarus;;1,570;;1,900;;2,076;;2,100;r;2,214;;
Belgium;;11,114;;11,698;;8,906;r;11,238;r;11,000;e;
Bosnia and Herzegovina;;166;r;117;r;283;r;469;;550;;
Brazil7;;31,150;;32,918;;31,631;;30,900;r;31,800;;
Bulgaria;;2,317;;2,106;;1,969;;2,124;r;2,050;e;
Burmae;;25;;25;;25;;25;;25;;
Canada;;15,928;r;16,305;r;15,327;r;15,493;r;15,569;;
Chile7;;1,377;;1,579;;1,536;;1,627;;1,666;p;
China8;;222,340;;272,450;;353,240;;419,150;r;489,240;;
Colombia;;668;;730;e;842;r;1,221;r;1,260;p;
Croatia;;434;r;80;r;74;r;81;r;75;e;
Cuba;;210;;193;;245;;257;r;260;e;
Czech Republic;;6,783;;7,033;;6,189;;6,862;r;7,059;;
Dominican Republice;;--;r;--;r;--;r;--;r;--;6;
Ecuador;;80;;72;r;84;r;85;r;87;p;
Egypt;;4,368;r;4,777;r;5,565;r;6,004;r;6,182;;
El Salvador;;57;;59;;48;;72;r;73;p;
Ethiopia, all from scrape;;6;;30;;60;;60;;110;;
Finland;;4,766;;4,833;;4,738;r;5,052;r;5,000;e;
France;;19,803;r;20,770;;19,481;;19,857;r;19,252;;
Germany;;44,809;;46,374;;44,524;;47,224;r;48,550;;
Ghana, all from scrape;;25;r;25;r;25;r;25;r;25;;
Greece;;1,701;;1,967;;2,266;;2,416;r;2,400;e;
Guatemala;;226;;232;;207;r;292;;349;p;
Hong Konge;;500;;500;;500;;550;;550;;
Hungary;;1,983;r;1,957;r;1,962;;2,029;r;2,227;;
India;;31,779;;32,600;;45,800;r;49,500;r;53,100;;
Indonesia;;2,042;;2,412;;3,675;r;3,800;;3,900;;
Iran;;7,869;;8,682;r;9,405;;9,800;e;10,100;e;
Israele;;180;r;370;r;480;r;480;r;480;;
Italy;;26,832;;28,317;;29,061;;31,550;;31,990;;
Japan;;110,511;;112,718;;112,471;;116,266;r;120,203;;
Jordane;;135;6;140;6;150;r;150;r;150;;
Kazakhstan;;5,069;r;5,372;r;4,477;r;4,245;r;4,784;;
Korea, Northe;;1,090;;1,070;;1,070;;1,180;r;1,230;;
Korea, Republic of;;46,310;;47,521;;47,820;;48,455;r;51,517;;
Latviae;;546;6;554;6;550;;550;;550;;
Libya;;1,007;;1,026;;1,260;;1,151;r;1,250;e;
Luxembourg;;2,675;;2,684;;2,194;;2,802;r;2,800;e;
Macedonia;;291;;315;r;321;r;326;r;359;;
Malaysia;;3,960;;5,698;;5,296;;5,834;r;6,000;e;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2003;;2004;;2005;;2006;;2007;;
Mauritania;;5;e;5;e;1;r;1;r;1;e;
Mexico;;15,159;;16,737;;16,202;r;16,313;;16,300;e;
Moldova;;886;;1,013;;1,016;r;675;;995;;
Montenegro;;(9);10;(9);10;(9);10;50;;174;;
Morocco;;5;e;5;e;205;r;314;r;314;;
Netherlands;;6,571;;6,848;;6,919;;6,372;r;6,400;e;
New Zealand;;750;;850;;889;r;862;r;845;;
Norwaye;;698;;695;;701;r;679;r;680;;
Pakistan;;1,000;r;1,145;r;825;r;1,040;r;1,090;;
Paraguay;;91;r;107;r;101;r;115;r;105;e;
Peru;;669;r;725;r;790;r;896;r;750;e;
Philippines;;500;r;400;r;470;r;558;r;590;;
Poland;;9,107;;10,578;r;8,336;;9,992;r;10,631;;
Portugal;;730;r;730;r;1,400;r;1,400;r;1,400;e;
Qatar;;1,054;;1,089;;1,057;;1,003;r;1,147;;
Romania;;5,692;r;6,077;r;5,632;r;6,266;r;6,261;;
Russia;;62,710;;65,646;;66,186;;70,816;r;72,389;;
Saudi Arabia;;3,944;;3,902;;4,185;;3,974;r;4,600;e;
Serbia;;(9);10;(9);10;(9);10;1,837;;2,000;e;
Serbia and Montenegro;;576;;1,197;r;1,314;r;XX;r, 10;XX;10;
Singaporee;;561;r;610;r;572;r;607;r;620;;
Slovakia;;4,709;r;4,564;r;4,242;r;4,848;r;4,800;;
Slovenia;;541;;566;r;583;r;627;;638;;
South Africa;;9,481;;9,500;r;9,494;r;9,718;r;9,100;;
Spain;;16,287;;17,684;;17,711;;18,400;e;18,400;e;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,707;;5,949;;5,692;r;5,435;r;5,500;e;
Switzerland;;1,000;e;1,000;e;1,158;r;1,252;r;1,264;;
Syriae;;70;;70;;70;;70;;70;;
Taiwan;;18,832;;19,604;;18,567;;19,203;;20,450;;
Thailand;;3,572;;4,533;;5,161;;5,210;r;5,470;;
Trinidad and Tobago;;923;;815;r;711;r;674;r;670;e;
Tunisia;;86;e;70;r;66;r;68;r;61;;
Turkey;;18,298;;20,478;;20,960;;23,308;r;25,750;;
Uganda;;30;r;30;r;30;r;30;r;30;;
Ukraine;;36,900;e;38,740;;38,636;;40,899;;42,830;;
United Arab Emiratese;;50;;70;;70;;70;;90;;
United Kingdom;;13,128;;13,766;;13,210;;13,931;r;14,300;;
United States;;93,700;;99,700;;94,900;;98,200;;98,100;;
Uruguay;;41;;58;;64;;57;r;71;;
Uzbekistane;;472;;602;6;607;6;730;;740;;
Venezuela;;3,930;;4,575;;4,907;;4,900;e;4,864;;
Vietnam;;544;;689;;890;;1,400;r;2,000;e;
Zimbabwe;;152;;135;r;107;r;24;r;23;;
    Total;;974,000;;1,060,000;;1,140,000;;1,250,000;r;1,340,000;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
eEstimated. pPreliminary. rRevised. XX Not applicable. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.    ;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material ;;;;;;;;;;;;
reported as “liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through July 28, 2008.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information ;;;;;;;;;;;;
is inadequate to make reliable estimates of output levels.;;;;;;;;;;;;
5Data for year ending June 30 of that stated.;;;;;;;;;;;;
6Reported figure.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that Chinese Government considers as official statistical data.;;;;;;;;;;;;
9Country listed separately, but data is included in “Serbia and Montenegro.” In 2003-05, Montenegro’s steel ;;;;;;;;;;;;
production figures, in thousand metric tons, are as follows: 2003—6; 2004—30; and 2005—28. Serbia’s steel  ;;;;;;;;;;;;
production figures are for 2003–05, in thousand metric tons, as follows: 2003—569; 2004—1,167; and 2005—1,286.;;;;;;;;;;;;
10Montenegro and Serbia formally declared independence in June 2006 from each other and dissolved their union.;;;;;;;;;;;;
