TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2007;;2008;;2009;;2010;;2011;;
Albania;;263;;380;;440;;440;e;440;e;
Algeria;;1,278;;646;;543;r;696;r;440;;
Argentina;;5,387;;5,441;;4,014;;5,138;;5,655;;
Australia;;8,047;;7,724;;6,135;;7,140;;6,538;;
Austria;;7,578;;7,594;;5,662;;7,206;;7,474;;
Azerbaijan;;273;;75;r;79;;129;;150;e;
Belarus;;2,214;;2,660;;2,449;;2,672;;2,700;e;
Belgium;;10,692;;10,676;;5,636;;8,088;;8,000;e;
Bosnia and Herzegovina, ingot production;;533;;608;;519;;591;r;649;;
Brazil5;;33,782;;33,726;;26,506;;32,928;r;33,100;p;
Bulgaria;;1,909;;1,330;;726;;740;;834;;
Burmae;;25;;25;;25;;25;;25;;
Canada;;15,572;r;14,845;r;9,245;r;13,003;r;12,891;p;
Chile5;;1,679;;1,523;;1,308;;1,011;r;1,620;e;
China6;;489,290;;500,490;;572,180;;637,230;r;683,270;;
Colombia;;1,245;;1,053;;1,079;;1,209;;1,290;;
Croatia;;76;;122;;52;;110;e;100;e;
Cubae;;262;7;274;7;274;;265;;290;;
Czech Republic;;7,059;;6,387;;4,594;;5,180;;5,583;;
Ecuador;;87;;128;;259;r;368;;525;;
Egypt;;6,224;;6,198;;5,508;;6,700;;6,486;;
El Salvador;;73;;71;;56;r;51;;100;;
Ethiopia, all from scrape;;110;;150;;150;;150;;130;;
Finland;;4,431;;4,418;;3,078;;4,000;r;4,000;e;
France;;19,252;;17,874;;12,836;;15,416;;15,800;;
Germany;;48,550;;45,833;;32,671;r;43,830;;44,288;;
Ghana, all from scrape;;25;;--;;--;;--;;--;;
Greece;;2,554;;2,400;e;2,082;;2,100;;2,000;e;
Guatemala;;349;;250;;224;;272;;445;;
Hong Konge;;550;;550;;550;;500;;200;;
Hungary;;2,227;r;2,097;r;1,403;r;1,678;;1,733;;
India;;53,500;r;57,800;r;63,500;r;68,300;r;72,200;;
Indonesia;;4,160;;3,915;;3,500;e;3,700;;3,800;;
Irane;;10,051;7;9,960;;10,000;;12,000;;13,000;;
Israele;;480;;480;;380;;430;;480;;
Italy;;31,990;;30,477;;19,737;;25,751;;28,700;;
Japan;;120,203;;118,739;;87,534;r;109,599;r;107,595;;
Jordane;;150;;150;;150;;150;;150;;
Kazakhstan;;4,784;;4,244;;4,147;;4,256;;4,808;;
Korea, Northe;;1,230;;1,279;7;1,300;;1,300;;1,300;;
Korea, Republic of;;51,517;;53,322;;48,752;;58,914;r;68,519;;
Latviae;;550;;550;;550;;550;;550;;
Libya;;1,151;;1,137;;914;;825;r;100;;
Luxembourg;;2,858;;2,582;;2,215;;2,563;;2,500;;
Macedonia;;372;;252;;276;;291;;386;;
Malaysia;;6,895;;6,423;;5,354;r;5,693;r;5,800;;
Mauritaniae;;1;7;2;7;2;;2;;2;;
Mexico;;17,573;;17,209;;14,172;;17,041;;18,100;;
Moldova;;995;;885;;426;r;242;r;321;;
Montenegro;;174;;202;;90;;95;e;100;;
Moroccoe;;314;7;478;7;480;;480;;475;;
Netherlands;;7,368;;6,853;;5,194;;6,651;;6,900;;
New Zealand;;845;;853;;765;;853;r;844;;
Norwaye;;680;;590;;591;7;600;;600;;
Pakistane;;1,090;7;1,100;7;1,100;;1,100;;1,200;;
Paraguaye;;132;7;130;7;130;;130;;130;;
Perue;;881;7;1,150;;1,200;;1,200;;1,200;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2007;;2008;;2009;;2010;;2011;;
Philippinese;;718;7;711;7;824;r;800;r;800;;
Poland;;10,621;;9,727;;7,129;;7,996;r;8,794;;
Portugale;;1,400;;1,400;;1,400;;1,400;;1,400;;
Qatar;;1,147;;1,406;;1,400;;2,000;;2,000;;
Romania;;6,261;;5,035;;2,761;;3,896;;3,800;;
Russia;;72,389;;68,700;;59,166;;66,300;r;68,000;e;
Saudi Arabiae;;4,644;7;4,670;;4,700;;5,000;;5,300;;
Serbia;;1,478;;1,662;;1,097;r;1,254;;1,324;;
Singaporee;;620;;600;;620;;650;;650;e;
Slovakia;;5,100;;4,489;;3,747;;4,588;;4,500;e;
Slovenia;;638;;642;;430;;606;;600;e;
South Africa;;9,098;;8,246;r;7,484;;7,617;r;6,650;e;
Spaine;;18,999;7;19,048;7;19,100;;19,100;;19,100;;
Sri Lankae;;30;;30;;30;;30;;30;;
Swedene;;5,673;7;5,500;;5,000;;4,800;r;4,900;;
Switzerland;;1,264;;1,260;;981;;1,300;r;1,250;;
Syriae;;70;;70;7;70;;70;;70;;
Taiwan;;20,883;;19,222;;15,566;;20,498;;22,879;;
Thailand;;5,565;;5,211;;3,645;;4,145;r;4,100;e;
Trinidad and Tobago;;682;;489;;417;;572;;610;;
Tunisia;;61;;82;;155;;180;;150;;
Turkeye;;25,750;7;26,809;7;25,000;;30,000;;34,000;;
Ugandae;;30;;30;;25;;20;r;10;;
Ukraine;;42,830;;37,279;r;29,855;r;33,559;;35,332;;
United Arab Emiratese;;90;;90;;90;;90;;100;;
United Kingdom;;14,300;;13,538;;10,080;;9,709;;9,500;;
United States;;98,100;;91,900;;59,400;;80,500;;86,400;;
Uruguaye;;71;7;70;7;70;;70;;70;;
Uzbekistane;;740;;686;7;716;7;745;;760;;
Venezuelae;;5,005;7;4,240;7;5,000;;5,000;;5,000;;
Vietnam;;2,024;;2,250;;2,700;;4,314;r;4,300;e;
Zimbabwee;;23;7;10;;10;;--;;--;;
    Total;;1,350,000;;1,330,000;;1,240,000;;1,440,000;r;1,520,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported ;;;;;;;;;;;;
as “liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through September 7, 2012.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate ;;;;;;;;;;;;
 to make reliable estimates of output levels.;;;;;;;;;;;;
5Excludes castings.;;;;;;;;;;;;
6Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
7Reported figure.;;;;;;;;;;;;
