code;country;year;value
DZA;Algeria;2003;1051
ARG;Argentina;2003;5033
AUS;Australia;2003;8300
AUT;Austria;2003;6261
BGD;Bangladesh;2003;25
BLR;Belarus;2003;1570
BEL;Belgium;2003;11114
BIH;Bosnia and Herzegovina;2003;90
BRA;Brazil;2003;31200
BGR;Bulgaria;2003;1900
MMR;Burma;2003;25
CAN;Canada;2003;17000
CHL;Chile;2003;1377
CHN;China;2003;222340
COL;Colombia;2003;668
HRV;Croatia;2003;35
CUB;Cuba;2003;268
CZE;Czechia;2003;6500
DNK;Denmark;2003;NA
DOM;Dominican Republic;2003;61
ECU;Ecuador;2003;80
EGY;Egypt;2003;4398
SLV;El Salvador;2003;57
FIN;Finland;2003;4766
FRA;France;2003;19578
GEO;Georgia;2003;NA
DEU;Germany;2003;44809
GHA;Ghana;2003;75
GRC;Greece;2003;1701
GTM;Guatemala;2003;226
HKG;Hong Kong;2003;500
HUN;Hungary;2003;2100
IND;India;2003;31779
IDN;Indonesia;2003;2040
IRN;Iran;2003;7869
IRQ;Iraq;2003;NA
IRL;Ireland;2003;NA
ISR;Israel;2003;150
ITA;Italy;2003;26832
JPN;Japan;2003;110511
JOR;Jordan;2003;134
KAZ;Kazakhstan;2003;5067
PRK;Korea, North;2003;1090
KOR;Korea, Republic of;2003;46310
LVA;Latvia;2003;546
LBY;Libya;2003;1007
LUX;Luxembourg;2003;2675
;Macedonia;2003;291
MYS;Malaysia;2003;3960
MRT;Mauritania;2003;5
MEX;Mexico;2003;15159
MDA;Moldova;2003;500
MAR;Morocco;2003;5
NLD;Netherlands;2003;6571
NZL;New Zealand;2003;750
NOR;Norway;2003;698
PAK;Pakistan;2003;500
PRY;Paraguay;2003;91
PER;Peru;2003;750
PHL;Philippines;2003;340
POL;Poland;2003;9100
PRT;Portugal;2003;722
QAT;Qatar;2003;1054
ROU;Romania;2003;6000
RUS;Russia;2003;62710
SAU;Saudi Arabia;2003;3944
SRB;Serbia;2003;700
SGP;Singapore;2003;400
SVK;Slovakia;2003;4600
SVN;Slovenia;2003;500
ZAF;South Africa;2003;9481
ESP;Spain;2003;16287
LKA;Sri Lanka;2003;30
SWE;Sweden;2003;5707
CHE;Switzerland;2003;1000
SYR;Syria;2003;70
TWN;Taiwan;2003;18832
THA;Thailand;2003;3572
TTO;Trinidad and Tobago;2003;923
TUN;Tunisia;2003;86
TUR;Turkey;2003;18298
UGA;Uganda;2003;7
UKR;Ukraine;2003;36900
ARE;United Arab Emirates;2003;50
GBR;United Kingdom;2003;13128
USA;United States;2003;93700
URY;Uruguay;2003;40
UZB;Uzbekistan;2003;472
VEN;Venezuela;2003;3930
VNM;Vietnam;2003;544
ZWE;Zimbabwe;2003;152
WLD;Total;2003;972000
ALB;Albania;2004;100
DZA;Algeria;2004;1014
ARG;Argentina;2004;5125
AUS;Australia;2004;4811
AUT;Austria;2004;6530
BGD;Bangladesh;2004;25
BLR;Belarus;2004;1900
BEL;Belgium;2004;11698
BIH;Bosnia and Herzegovina;2004;120
BRA;Brazil;2004;32918
BGR;Bulgaria;2004;2106
MMR;Burma;2004;25
CAN;Canada;2004;17000
CHL;Chile;2004;1579
CHN;China;2004;272450
COL;Colombia;2004;745
HRV;Croatia;2004;68
CUB;Cuba;2004;197
CZE;Czechia;2004;7033
DNK;Denmark;2004;NA
DOM;Dominican Republic;2004;61
ECU;Ecuador;2004;72
EGY;Egypt;2004;4757
SLV;El Salvador;2004;59
FIN;Finland;2004;4833
FRA;France;2004;20770
DEU;Germany;2004;46374
GHA;Ghana;2004;75
GRC;Greece;2004;1967
GTM;Guatemala;2004;232
HKG;Hong Kong;2004;500
HUN;Hungary;2004;1984
IND;India;2004;32000
IDN;Indonesia;2004;2412
IRN;Iran;2004;9382
IRQ;Iraq;2004;NA
IRL;Ireland;2004;NA
ISR;Israel;2004;280
ITA;Italy;2004;28317
JPN;Japan;2004;112718
JOR;Jordan;2004;140
KAZ;Kazakhstan;2004;5400
PRK;Korea, North;2004;1070
KOR;Korea, Republic of;2004;47521
LVA;Latvia;2004;554
LBY;Libya;2004;1026
LUX;Luxembourg;2004;2684
;Macedonia;2004;309
MYS;Malaysia;2004;5698
MRT;Mauritania;2004;5
MEX;Mexico;2004;16730
MDA;Moldova;2004;1013
MAR;Morocco;2004;5
NLD;Netherlands;2004;6848
NZL;New Zealand;2004;800
NOR;Norway;2004;695
PAK;Pakistan;2004;500
PRY;Paraguay;2004;107
PER;Peru;2004;750
PHL;Philippines;2004;360
POL;Poland;2004;10593
PRT;Portugal;2004;720
QAT;Qatar;2004;1046
ROU;Romania;2004;6042
RUS;Russia;2004;65646
SAU;Saudi Arabia;2004;3902
SRB;Serbia;2004;1167
SGP;Singapore;2004;500
SVK;Slovakia;2004;4454
SVN;Slovenia;2004;565
ZAF;South Africa;2004;9504
ESP;Spain;2004;17684
LKA;Sri Lanka;2004;30
SWE;Sweden;2004;5949
CHE;Switzerland;2004;1000
SYR;Syria;2004;70
TWN;Taiwan;2004;19604
THA;Thailand;2004;4533
TTO;Trinidad and Tobago;2004;783
TUN;Tunisia;2004;63
TUR;Turkey;2004;20478
UGA;Uganda;2004;7
UKR;Ukraine;2004;38740
ARE;United Arab Emirates;2004;70
GBR;United Kingdom;2004;13766
USA;United States;2004;99700
URY;Uruguay;2004;55
UZB;Uzbekistan;2004;602
VEN;Venezuela;2004;4575
VNM;Vietnam;2004;658
ZWE;Zimbabwe;2004;150
WLD;Total;2004;1060000
ALB;Albania;2005;145
DZA;Algeria;2005;1007
ARG;Argentina;2005;5384
AUS;Australia;2005;7788
AUT;Austria;2005;7031
BGD;Bangladesh;2005;20
BLR;Belarus;2005;2076
BEL;Belgium;2005;10422
BIH;Bosnia and Herzegovina;2005;370
BRA;Brazil;2005;31631
BGR;Bulgaria;2005;1969
MMR;Burma;2005;25
CAN;Canada;2005;17000
CHL;Chile;2005;1536
CHN;China;2005;353240
COL;Colombia;2005;830
HRV;Croatia;2005;73
CUB;Cuba;2005;245
CZE;Czechia;2005;6189
DNK;Denmark;2005;NA
DOM;Dominican Republic;2005;61
ECU;Ecuador;2005;85
EGY;Egypt;2005;4760
SLV;El Salvador;2005;48
FIN;Finland;2005;4800
FRA;France;2005;19481
DEU;Germany;2005;44524
GHA;Ghana;2005;75
GRC;Greece;2005;2266
GTM;Guatemala;2005;208
HKG;Hong Kong;2005;500
HUN;Hungary;2005;1962
IND;India;2005;40900
IDN;Indonesia;2005;3700
IRN;Iran;2005;9405
ISR;Israel;2005;350
ITA;Italy;2005;29061
JPN;Japan;2005;112471
JOR;Jordan;2005;140
KAZ;Kazakhstan;2005;4452
PRK;Korea, North;2005;1070
KOR;Korea, Republic of;2005;47820
LVA;Latvia;2005;550
LBY;Libya;2005;1260
LUX;Luxembourg;2005;2194
;Macedonia;2005;310
MYS;Malaysia;2005;5296
MRT;Mauritania;2005;5
MEX;Mexico;2005;16195
MDA;Moldova;2005;1000
MAR;Morocco;2005;5
NLD;Netherlands;2005;6919
NZL;New Zealand;2005;813
NOR;Norway;2005;690
PAK;Pakistan;2005;700
PRY;Paraguay;2005;103
PER;Peru;2005;750
PHL;Philippines;2005;550
POL;Poland;2005;8336
PRT;Portugal;2005;725
QAT;Qatar;2005;1057
ROU;Romania;2005;5854
RUS;Russia;2005;66186
SAU;Saudi Arabia;2005;4185
SRB;Serbia;2005;1292
SGP;Singapore;2005;600
SVK;Slovakia;2005;4482
SVN;Slovenia;2005;585
ZAF;South Africa;2005;9492
ESP;Spain;2005;17711
LKA;Sri Lanka;2005;30
SWE;Sweden;2005;6000
CHE;Switzerland;2005;1000
SYR;Syria;2005;70
TWN;Taiwan;2005;18567
THA;Thailand;2005;5161
TTO;Trinidad and Tobago;2005;800
TUN;Tunisia;2005;60
TUR;Turkey;2005;20960
UGA;Uganda;2005;7
UKR;Ukraine;2005;38636
ARE;United Arab Emirates;2005;70
GBR;United Kingdom;2005;13210
USA;United States;2005;94900
URY;Uruguay;2005;64
UZB;Uzbekistan;2005;607
VEN;Venezuela;2005;4907
VNM;Vietnam;2005;890
ZWE;Zimbabwe;2005;119
WLD;Total;2005;1140000
ALB;Albania;2006;100
DZA;Algeria;2006;1158
ARG;Argentina;2006;5533
AUS;Australia;2006;7937
AUT;Austria;2006;6487
AZE;Azerbaijan;2006;54
BGD;Bangladesh;2006;20
BLR;Belarus;2006;2100
BEL;Belgium;2006;11238
BIH;Bosnia and Herzegovina;2006;469
BRA;Brazil;2006;30900
BGR;Bulgaria;2006;2124
MMR;Burma;2006;25
CAN;Canada;2006;15493
CHL;Chile;2006;1627
CHN;China;2006;419150
COL;Colombia;2006;1221
HRV;Croatia;2006;81
CUB;Cuba;2006;257
CZE;Czechia;2006;6862
DOM;Dominican Republic;2006;NA
ECU;Ecuador;2006;85
EGY;Egypt;2006;6004
SLV;El Salvador;2006;72
ETH;Ethiopia;2006;60
FIN;Finland;2006;5052
FRA;France;2006;19857
DEU;Germany;2006;47224
GHA;Ghana;2006;25
GRC;Greece;2006;2416
GTM;Guatemala;2006;292
HKG;Hong Kong;2006;550
HUN;Hungary;2006;2029
IND;India;2006;49500
IDN;Indonesia;2006;3800
IRN;Iran;2006;9800
ISR;Israel;2006;480
ITA;Italy;2006;31550
JPN;Japan;2006;116266
JOR;Jordan;2006;150
KAZ;Kazakhstan;2006;4245
PRK;Korea, North;2006;1180
KOR;Korea, Republic of;2006;48455
LVA;Latvia;2006;550
LBY;Libya;2006;1151
LUX;Luxembourg;2006;2802
;Macedonia;2006;326
MYS;Malaysia;2006;5834
MRT;Mauritania;2006;1
MEX;Mexico;2006;16313
MDA;Moldova;2006;675
MNE;Montenegro;2006;50
MAR;Morocco;2006;314
NLD;Netherlands;2006;6372
NZL;New Zealand;2006;862
NOR;Norway;2006;679
PAK;Pakistan;2006;1040
PRY;Paraguay;2006;115
PER;Peru;2006;896
PHL;Philippines;2006;558
POL;Poland;2006;9992
PRT;Portugal;2006;1400
QAT;Qatar;2006;1003
ROU;Romania;2006;6266
RUS;Russia;2006;70816
SAU;Saudi Arabia;2006;3974
SRB;Serbia;2006;1837
SRB;Serbia;2006;NA
SGP;Singapore;2006;607
SVK;Slovakia;2006;4848
SVN;Slovenia;2006;627
ZAF;South Africa;2006;9718
ESP;Spain;2006;18400
LKA;Sri Lanka;2006;30
SWE;Sweden;2006;5435
CHE;Switzerland;2006;1252
SYR;Syria;2006;70
TWN;Taiwan;2006;19203
THA;Thailand;2006;5210
TTO;Trinidad and Tobago;2006;674
TUN;Tunisia;2006;68
TUR;Turkey;2006;23308
UGA;Uganda;2006;30
UKR;Ukraine;2006;40899
ARE;United Arab Emirates;2006;70
GBR;United Kingdom;2006;13931
USA;United States;2006;98200
URY;Uruguay;2006;57
UZB;Uzbekistan;2006;730
VEN;Venezuela;2006;4900
VNM;Vietnam;2006;1400
ZWE;Zimbabwe;2006;24
WLD;Total;2006;1250000
ALB;Albania;2007;263
DZA;Algeria;2007;1278
ARG;Argentina;2007;5387
AUS;Australia;2007;8047
AUT;Austria;2007;7578
AZE;Azerbaijan;2007;273
BGD;Bangladesh;2007;NA
BLR;Belarus;2007;2214
BEL;Belgium;2007;10692
;Bosnia and Herzegovina, ingot production;2007;514
BRA;Brazil;2007;33782
BGR;Bulgaria;2007;1909
MMR;Burma;2007;25
CAN;Canada;2007;15569
CHL;Chile;2007;1679
CHN;China;2007;489290
COL;Colombia;2007;1260
HRV;Croatia;2007;76
CUB;Cuba;2007;262
CZE;Czechia;2007;7059
ECU;Ecuador;2007;87
EGY;Egypt;2007;6224
SLV;El Salvador;2007;73
ETH;Ethiopia;2007;110
FIN;Finland;2007;4431
FRA;France;2007;19252
DEU;Germany;2007;48550
GHA;Ghana;2007;25
GRC;Greece;2007;2554
GTM;Guatemala;2007;349
HKG;Hong Kong;2007;550
HUN;Hungary;2007;2317
IND;India;2007;53100
IDN;Indonesia;2007;3900
IRN;Iran;2007;10051
ISR;Israel;2007;480
ITA;Italy;2007;31990
JPN;Japan;2007;120203
JOR;Jordan;2007;150
KAZ;Kazakhstan;2007;4784
PRK;Korea, North;2007;1230
KOR;Korea, Republic of;2007;51517
LVA;Latvia;2007;550
LBY;Libya;2007;1151
LUX;Luxembourg;2007;2800
;Macedonia;2007;372
MYS;Malaysia;2007;6895
MRT;Mauritania;2007;1
MEX;Mexico;2007;17573
MDA;Moldova;2007;995
MNE;Montenegro;2007;174
MAR;Morocco;2007;314
NLD;Netherlands;2007;6400
NZL;New Zealand;2007;845
NOR;Norway;2007;680
PAK;Pakistan;2007;1090
PRY;Paraguay;2007;95
PER;Peru;2007;881
PHL;Philippines;2007;718
POL;Poland;2007;10621
PRT;Portugal;2007;1400
QAT;Qatar;2007;1147
ROU;Romania;2007;6261
RUS;Russia;2007;72389
SAU;Saudi Arabia;2007;4644
SRB;Serbia;2007;1478
SRB;Serbia;2007;NA
SGP;Singapore;2007;620
SVK;Slovakia;2007;4800
SVN;Slovenia;2007;638
ZAF;South Africa;2007;9098
ESP;Spain;2007;18999
LKA;Sri Lanka;2007;30
SWE;Sweden;2007;5673
CHE;Switzerland;2007;1264
SYR;Syria;2007;70
TWN;Taiwan;2007;20883
THA;Thailand;2007;5470
TTO;Trinidad and Tobago;2007;682
TUN;Tunisia;2007;61
TUR;Turkey;2007;25750
UGA;Uganda;2007;30
UKR;Ukraine;2007;42830
ARE;United Arab Emirates;2007;90
GBR;United Kingdom;2007;14300
USA;United States;2007;98100
URY;Uruguay;2007;71
UZB;Uzbekistan;2007;740
VEN;Venezuela;2007;5005
VNM;Vietnam;2007;2024
ZWE;Zimbabwe;2007;23
WLD;Total;2007;1350000
ALB;Albania;2008;380
DZA;Algeria;2008;646
ARG;Argentina;2008;5441
AUS;Australia;2008;7724
AUT;Austria;2008;7594
AZE;Azerbaijan;2008;300
BGD;Bangladesh;2008;NA
BLR;Belarus;2008;2660
BEL;Belgium;2008;10676
;Bosnia and Herzegovina, ingot production;2008;608
BRA;Brazil;2008;33716
BGR;Bulgaria;2008;1330
MMR;Burma;2008;25
CAN;Canada;2008;15100
CHL;Chile;2008;1523
CHN;China;2008;500490
COL;Colombia;2008;1053
HRV;Croatia;2008;115
CUB;Cuba;2008;274
CZE;Czechia;2008;6387
ECU;Ecuador;2008;85
EGY;Egypt;2008;6198
SLV;El Salvador;2008;72
ETH;Ethiopia;2008;150
FIN;Finland;2008;4418
FRA;France;2008;17874
DEU;Germany;2008;45833
GHA;Ghana;2008;NA
GRC;Greece;2008;2400
GTM;Guatemala;2008;250
HKG;Hong Kong;2008;550
HUN;Hungary;2008;2160
IND;India;2008;55200
IDN;Indonesia;2008;3915
IRN;Iran;2008;9960
ISR;Israel;2008;480
ITA;Italy;2008;30477
JPN;Japan;2008;118739
JOR;Jordan;2008;150
KAZ;Kazakhstan;2008;4244
PRK;Korea, North;2008;1279
KOR;Korea, Republic of;2008;53322
LVA;Latvia;2008;550
LBY;Libya;2008;1137
LUX;Luxembourg;2008;2582
;Macedonia;2008;252
MYS;Malaysia;2008;6423
MRT;Mauritania;2008;2
MEX;Mexico;2008;17209
MDA;Moldova;2008;885
MNE;Montenegro;2008;202
MAR;Morocco;2008;478
NLD;Netherlands;2008;6853
NZL;New Zealand;2008;853
NOR;Norway;2008;590
PAK;Pakistan;2008;1100
PRY;Paraguay;2008;130
PER;Peru;2008;1150
PHL;Philippines;2008;711
POL;Poland;2008;9727
PRT;Portugal;2008;1400
QAT;Qatar;2008;1406
ROU;Romania;2008;5035
RUS;Russia;2008;68700
SAU;Saudi Arabia;2008;4670
SRB;Serbia;2008;1662
SGP;Singapore;2008;600
SVK;Slovakia;2008;4489
SVN;Slovenia;2008;642
ZAF;South Africa;2008;8269
ESP;Spain;2008;19048
LKA;Sri Lanka;2008;30
SWE;Sweden;2008;5500
CHE;Switzerland;2008;1260
SYR;Syria;2008;70
TWN;Taiwan;2008;19222
THA;Thailand;2008;5470
TTO;Trinidad and Tobago;2008;675
TUN;Tunisia;2008;82
TUR;Turkey;2008;26400
UGA;Uganda;2008;30
UKR;Ukraine;2008;37107
ARE;United Arab Emirates;2008;90
GBR;United Kingdom;2008;13538
USA;United States;2008;91900
URY;Uruguay;2008;70
UZB;Uzbekistan;2008;686
VEN;Venezuela;2008;4240
VNM;Vietnam;2008;2250
ZWE;Zimbabwe;2008;10
WLD;Total;2008;1330000
ALB;Albania;2009;440
DZA;Algeria;2009;458
ARG;Argentina;2009;4014
AUS;Australia;2009;6135
AUT;Austria;2009;5662
AZE;Azerbaijan;2009;79
BGD;Bangladesh;2009;NA
BLR;Belarus;2009;2449
BEL;Belgium;2009;5636
;Bosnia and Herzegovina, ingot production;2009;519
BRA;Brazil;2009;26506
BGR;Bulgaria;2009;726
MMR;Burma;2009;25
CAN;Canada;2009;9000
CHL;Chile;2009;1308
CHN;China;2009;572180
COL;Colombia;2009;1079
HRV;Croatia;2009;52
CUB;Cuba;2009;274
CZE;Czechia;2009;4594
ECU;Ecuador;2009;259
EGY;Egypt;2009;5508
SLV;El Salvador;2009;56
ETH;Ethiopia;2009;150
FIN;Finland;2009;3078
FRA;France;2009;12836
DEU;Germany;2009;32670
GHA;Ghana;2009;NA
GRC;Greece;2009;2082
GTM;Guatemala;2009;224
HKG;Hong Kong;2009;550
HUN;Hungary;2009;1425
IND;India;2009;63527
IDN;Indonesia;2009;3500
IRN;Iran;2009;10000
ISR;Israel;2009;380
ITA;Italy;2009;19737
JPN;Japan;2009;87500
JOR;Jordan;2009;150
KAZ;Kazakhstan;2009;4147
PRK;Korea, North;2009;1300
KOR;Korea, Republic of;2009;48752
LVA;Latvia;2009;550
LBY;Libya;2009;914
LUX;Luxembourg;2009;2215
;Macedonia;2009;276
MYS;Malaysia;2009;5787
MRT;Mauritania;2009;2
MEX;Mexico;2009;14172
MDA;Moldova;2009;425
MNE;Montenegro;2009;90
MAR;Morocco;2009;480
NLD;Netherlands;2009;5194
NZL;New Zealand;2009;765
NOR;Norway;2009;591
PAK;Pakistan;2009;1100
PRY;Paraguay;2009;130
PER;Peru;2009;1200
PHL;Philippines;2009;700
POL;Poland;2009;7129
PRT;Portugal;2009;1400
QAT;Qatar;2009;1400
ROU;Romania;2009;2761
RUS;Russia;2009;59166
SAU;Saudi Arabia;2009;4700
SRB;Serbia;2009;1061
SGP;Singapore;2009;620
SVK;Slovakia;2009;3747
SVN;Slovenia;2009;430
ZAF;South Africa;2009;7484
ESP;Spain;2009;19100
LKA;Sri Lanka;2009;30
SWE;Sweden;2009;5000
CHE;Switzerland;2009;981
SYR;Syria;2009;70
TWN;Taiwan;2009;15566
THA;Thailand;2009;3645
TTO;Trinidad and Tobago;2009;417
TUN;Tunisia;2009;155
TUR;Turkey;2009;25000
UGA;Uganda;2009;25
UKR;Ukraine;2009;29757
ARE;United Arab Emirates;2009;90
GBR;United Kingdom;2009;10080
USA;United States;2009;59400
URY;Uruguay;2009;70
UZB;Uzbekistan;2009;716
VEN;Venezuela;2009;5000
VNM;Vietnam;2009;2700
ZWE;Zimbabwe;2009;10
WLD;Total;2009;1240000
ALB;Albania;2010;440
DZA;Algeria;2010;696
ARG;Argentina;2010;5138
AUS;Australia;2010;7140
AUT;Austria;2010;7206
AZE;Azerbaijan;2010;129
BLR;Belarus;2010;2672
BEL;Belgium;2010;8088
;Bosnia and Herzegovina, ingot production;2010;591
BRA;Brazil;2010;32928
BGR;Bulgaria;2010;740
MMR;Burma;2010;25
CAN;Canada;2010;13003
CHL;Chile;2010;1011
CHN;China;2010;637230
COL;Colombia;2010;1209
HRV;Croatia;2010;110
CUB;Cuba;2010;265
CZE;Czechia;2010;5180
ECU;Ecuador;2010;368
EGY;Egypt;2010;6700
SLV;El Salvador;2010;51
ETH;Ethiopia;2010;150
FIN;Finland;2010;4000
FRA;France;2010;15416
DEU;Germany;2010;43830
GHA;Ghana;2010;NA
GRC;Greece;2010;2100
GTM;Guatemala;2010;272
HKG;Hong Kong;2010;500
HUN;Hungary;2010;1678
IND;India;2010;68300
IDN;Indonesia;2010;3700
IRN;Iran;2010;12000
ISR;Israel;2010;430
ITA;Italy;2010;25751
JPN;Japan;2010;109599
JOR;Jordan;2010;150
KAZ;Kazakhstan;2010;4256
PRK;Korea, North;2010;1300
KOR;Korea, Republic of;2010;58914
LVA;Latvia;2010;550
LBY;Libya;2010;825
LUX;Luxembourg;2010;2563
;Macedonia;2010;291
MYS;Malaysia;2010;5693
MRT;Mauritania;2010;2
MEX;Mexico;2010;17041
MDA;Moldova;2010;242
MNE;Montenegro;2010;95
MAR;Morocco;2010;480
NLD;Netherlands;2010;6651
NZL;New Zealand;2010;853
NOR;Norway;2010;600
PAK;Pakistan;2010;1100
PRY;Paraguay;2010;130
PER;Peru;2010;1200
PHL;Philippines;2010;800
POL;Poland;2010;7996
PRT;Portugal;2010;1400
QAT;Qatar;2010;2000
ROU;Romania;2010;3896
RUS;Russia;2010;66300
SAU;Saudi Arabia;2010;5000
SRB;Serbia;2010;1254
SGP;Singapore;2010;650
SVK;Slovakia;2010;4588
SVN;Slovenia;2010;606
ZAF;South Africa;2010;7617
ESP;Spain;2010;19100
LKA;Sri Lanka;2010;30
SWE;Sweden;2010;4800
CHE;Switzerland;2010;1300
SYR;Syria;2010;70
TWN;Taiwan;2010;20498
THA;Thailand;2010;4145
TTO;Trinidad and Tobago;2010;572
TUN;Tunisia;2010;180
TUR;Turkey;2010;30000
UGA;Uganda;2010;20
UKR;Ukraine;2010;33559
ARE;United Arab Emirates;2010;90
GBR;United Kingdom;2010;9709
USA;United States;2010;80500
URY;Uruguay;2010;70
UZB;Uzbekistan;2010;745
VEN;Venezuela;2010;5000
VNM;Vietnam;2010;4314
ZWE;Zimbabwe;2010;NA
WLD;Total;2010;1440000
ALB;Albania;2011;464
DZA;Algeria;2011;440
ARG;Argentina;2011;5655
AUS;Australia;2011;6538
AUT;Austria;2011;7474
AZE;Azerbaijan;2011;232
BLR;Belarus;2011;2779
BEL;Belgium;2011;8026
;Bosnia and Herzegovina, ingot production;2011;649
BRA;Brazil;2011;35200
BGR;Bulgaria;2011;834
MMR;Burma;2011;25
CAN;Canada;2011;12891
CHL;Chile;2011;1615
CHN;China;2011;685280
COL;Colombia;2011;1290
